Barcode,Anatomical
cellid_000000091-1,Dm-3
cellid_000000092-1,Dm-3
cellid_000000093-1,Vd-r
cellid_000000094-1,Dm-3
cellid_000000095-1,Vd-r
cellid_000000096-1,Vd-r
cellid_000000097-1,Vd-r
cellid_000000098-1,Dm-3
cellid_000000099-1,Dm-3
cellid_000000100-1,Dm-3
cellid_000000101-1,Dm-3
cellid_000000102-1,Dm-3
cellid_000000103-1,Dm-3
cellid_000000104-1,Dm-3
cellid_000000105-1,Dm-3
cellid_000000106-1,Dm-3
cellid_000000107-1,Dm-3
cellid_000000108-1,Dm-3
cellid_000000109-1,Vd-r
cellid_000000110-1,Dm-3
cellid_000000111-1,Dm-3
cellid_000000112-1,Dm-3
cellid_000000113-1,Dm-3
cellid_000000114-1,Dm-3
cellid_000000115-1,Dm-3
cellid_000000116-1,Dm-3
cellid_000000117-1,Dm-3
cellid_000000118-1,Dm-3
cellid_000000119-1,Dm-3
cellid_000000120-1,Dm-3
cellid_000000121-1,Vd-r
cellid_000000122-1,Dm-3
cellid_000000123-1,Vd-r
cellid_000000124-1,Vd-r
cellid_000000125-1,Dm-3
cellid_000000126-1,Dm-3
cellid_000000128-1,Dm-3
cellid_000000129-1,Dm-3
cellid_000000130-1,Vd-r
cellid_000000131-1,Dm-3
cellid_000000132-1,Dm-3
cellid_000000133-1,Vd-r
cellid_000000134-1,Dm-3
cellid_000000135-1,Vd-r
cellid_000000136-1,Dm-3
cellid_000000137-1,Dm-3
cellid_000000138-1,Vd-r
cellid_000000139-1,Dm-3
cellid_000000140-1,Vd-r
cellid_000000141-1,Dm-3
cellid_000000142-1,Dm-3
cellid_000000143-1,Dm-3
cellid_000000144-1,Dm-3
cellid_000000145-1,Dm-3
cellid_000000146-1,Dm-3
cellid_000000147-1,Dm-3
cellid_000000148-1,Dm-3
cellid_000000149-1,Dm-3
cellid_000000150-1,Dm-3
cellid_000000151-1,Dm-3
cellid_000000152-1,Dm-3
cellid_000000153-1,Vd-r
cellid_000000154-1,Dm-3
cellid_000000155-1,Dm-3
cellid_000000156-1,Vd-r
cellid_000000157-1,Dm-3
cellid_000000158-1,Dm-3
cellid_000000159-1,Vd-r
cellid_000000160-1,Dm-3
cellid_000000161-1,Dm-3
cellid_000000162-1,Dm-3
cellid_000000163-1,Vd-r
cellid_000000164-1,Dm-3
cellid_000000165-1,Vd-r
cellid_000000166-1,Dm-3
cellid_000000167-1,Dm-3
cellid_000000168-1,Dm-3
cellid_000000169-1,Vd-r
cellid_000000170-1,Dm-3
cellid_000000171-1,Dm-3
cellid_000000172-1,Dm-3
cellid_000000173-1,Dm-3
cellid_000000174-1,Dm-3
cellid_000000175-1,Dm-3
cellid_000000176-1,Vd-r
cellid_000000177-1,Dm-3
cellid_000000178-1,Dm-3
cellid_000000179-1,Dm-3
cellid_000000180-1,Dm-3
cellid_000000181-1,Vd-r
cellid_000000182-1,Vd-r
cellid_000000183-1,Dm-3
cellid_000000184-1,Vd-r
cellid_000000185-1,Dm-3
cellid_000000186-1,Dm-3
cellid_000000187-1,Dm-3
cellid_000000188-1,Dm-3
cellid_000000189-1,Dm-3
cellid_000000190-1,Dm-3
cellid_000000191-1,Dm-3
cellid_000000192-1,Dm-3
cellid_000000193-1,Dm-3
cellid_000000194-1,Dm-3
cellid_000000195-1,Dm-3
cellid_000000197-1,Dm-3
cellid_000000198-1,Dm-3
cellid_000000199-1,Vd-r
cellid_000000200-1,Dm-3
cellid_000000201-1,Vd-r
cellid_000000202-1,Dm-3
cellid_000000203-1,Dm-3
cellid_000000204-1,Dm-3
cellid_000000205-1,Dm-3
cellid_000000206-1,Vd-r
cellid_000000207-1,Dm-3
cellid_000000208-1,Vd-r
cellid_000000209-1,Dm-3
cellid_000000210-1,Dm-3
cellid_000000211-1,Dm-3
cellid_000000212-1,Vd-r
cellid_000000213-1,Dm-3
cellid_000000214-1,Vd-r
cellid_000000215-1,Dm-3
cellid_000000216-1,Dm-3
cellid_000000217-1,Dm-3
cellid_000000218-1,Vd-r
cellid_000000219-1,Vd-r
cellid_000000220-1,Dm-3
cellid_000000221-1,Dm-3
cellid_000000222-1,Vd-r
cellid_000000223-1,Vd-r
cellid_000000224-1,Vd-r
cellid_000000225-1,Vd-r
cellid_000000226-1,Dm-3
cellid_000000227-1,Dm-3
cellid_000000228-1,Dm-3
cellid_000000229-1,Dm-3
cellid_000000230-1,Vd-r
cellid_000000231-1,Dm-3
cellid_000000232-1,Dm-3
cellid_000000233-1,Dm-3
cellid_000000234-1,Dm-3
cellid_000000235-1,Dm-3
cellid_000000236-1,Vd-r
cellid_000000237-1,Dm-3
cellid_000000238-1,Dm-3
cellid_000000239-1,Dm-3
cellid_000000240-1,Dm-3
cellid_000000241-1,Vd-r
cellid_000000242-1,Vd-r
cellid_000000243-1,Dm-3
cellid_000000244-1,Dm-3
cellid_000000245-1,Dm-3
cellid_000000246-1,Vd-r
cellid_000000247-1,Dm-3
cellid_000000248-1,Vd-r
cellid_000000249-1,Dm-3
cellid_000000250-1,Dm-3
cellid_000000251-1,Dm-3
cellid_000000252-1,Vd-r
cellid_000000253-1,Dm-3
cellid_000000254-1,Dm-3
cellid_000000255-1,Dm-3
cellid_000000256-1,Dm-3
cellid_000000257-1,Vd-r
cellid_000000258-1,Dm-3
cellid_000000259-1,Dm-3
cellid_000000260-1,Dm-3
cellid_000000261-1,Dm-3
cellid_000000262-1,Dm-3
cellid_000000263-1,Vd-r
cellid_000000264-1,Dm-3
cellid_000000265-1,Dm-3
cellid_000000266-1,Dm-3
cellid_000000267-1,Vd-r
cellid_000000268-1,Vd-r
cellid_000000269-1,Dm-3
cellid_000000270-1,Dm-3
cellid_000000271-1,Dm-3
cellid_000000272-1,Vd-r
cellid_000000273-1,Dm-3
cellid_000000274-1,Vd-r
cellid_000000275-1,Vd-r
cellid_000000276-1,Dm-3
cellid_000000278-1,Dm-3
cellid_000000279-1,Dm-3
cellid_000000280-1,Dm-3
cellid_000000281-1,Dm-3
cellid_000000282-1,Dm-3
cellid_000000283-1,Dm-3
cellid_000000284-1,Dm-3
cellid_000000285-1,Dm-3
cellid_000000286-1,Dm-3
cellid_000000287-1,Vd-r
cellid_000000288-1,Vd-r
cellid_000000289-1,Dm-3
cellid_000000290-1,Dm-3
cellid_000000291-1,Dm-3
cellid_000000292-1,Dm-3
cellid_000000293-1,Dm-3
cellid_000000294-1,Dm-3
cellid_000000295-1,Dm-3
cellid_000000296-1,Dm-3
cellid_000000297-1,Dm-3
cellid_000000298-1,Dm-3
cellid_000000299-1,Dm-3
cellid_000000300-1,Dm-3
