Barcode,Anatomical
cellid_000000009-1,NDILI
cellid_000000011-1,NDILI
cellid_000000012-1,NDILI
cellid_000000015-1,NDILI
cellid_000000016-1,NDILI
cellid_000000017-1,NDILI
cellid_000000020-1,NDILI
cellid_000000021-1,NDILI
cellid_000000023-1,NDILI
cellid_000000024-1,NDILI
cellid_000000026-1,NDILI
cellid_000000030-1,NDILI
cellid_000000034-1,NDILI
cellid_000000035-1,NDILI
cellid_000000036-1,NDILI
cellid_000000038-1,NDILI
cellid_000000040-1,NDILI
cellid_000000041-1,NDILI
cellid_000000044-1,NDILI
cellid_000000046-1,NDILI
cellid_000000052-1,NDILI
cellid_000000053-1,NDILI
cellid_000000054-1,NDILI
cellid_000000055-1,NDILI
cellid_000000056-1,NDILI
cellid_000000058-1,NDILI
cellid_000000061-1,NDILI
cellid_000000068-1,NDILI
cellid_000000070-1,NDILI
cellid_000000073-1,NDILI
cellid_000000074-1,NDILI
cellid_000000075-1,NDILI
cellid_000000076-1,NDILI
cellid_000000079-1,NDILI
cellid_000000081-1,NDILI
cellid_000000082-1,NDILI
cellid_000000088-1,NDILI
cellid_000000089-1,NDILI
cellid_000000099-1,NDILI
cellid_000000102-1,NDILI
cellid_000000104-1,NDILI
cellid_000000107-1,NDILI
cellid_000000109-1,NDILI
cellid_000000110-1,NDILI
cellid_000000114-1,NDILI
cellid_000000115-1,NDILI
cellid_000000121-1,NDILI
cellid_000000130-1,NDILI
cellid_000000135-1,NDILI
cellid_000000137-1,NDILI
cellid_000000140-1,NDILI
cellid_000000144-1,NDILI
cellid_000000148-1,NDILI
cellid_000000149-1,NDILI
cellid_000000150-1,NDILI
cellid_000000153-1,NDILI
cellid_000000154-1,NDILI
cellid_000000155-1,NDILI
cellid_000000156-1,NDILI
cellid_000000157-1,NDILI
cellid_000000162-1,NDILI
cellid_000000163-1,NDILI
cellid_000000165-1,NDILI
cellid_000000166-1,NDILI
cellid_000000167-1,NDILI
cellid_000000169-1,NDILI
cellid_000000170-1,NDILI
cellid_000000171-1,NDILI
cellid_000000172-1,NDILI
cellid_000000174-1,NDILI
cellid_000000176-1,NDILI
cellid_000000178-1,NDILI
cellid_000000180-1,NDILI
cellid_000000181-1,NDILI
cellid_000000182-1,NDILI
cellid_000000185-1,NDILI
cellid_000000191-1,NDILI
cellid_000000192-1,NDILI
cellid_000000193-1,NDILI
cellid_000000194-1,NDILI
cellid_000000201-1,NDILI
cellid_000000203-1,NDILI
cellid_000000205-1,NDILI
cellid_000000208-1,NDILI
cellid_000000210-1,NDILI
cellid_000000216-1,NDILI
cellid_000000217-1,NDILI
cellid_000000218-1,NDILI
cellid_000000219-1,NDILI
cellid_000000221-1,NDILI
cellid_000000223-1,NDILI
cellid_000000225-1,NDILI
cellid_000000229-1,NDILI
cellid_000000230-1,NDILI
cellid_000000231-1,NDILI
cellid_000000232-1,NDILI
cellid_000000240-1,NDILI
cellid_000000242-1,NDILI
cellid_000000244-1,NDILI
cellid_000000245-1,NDILI
cellid_000000246-1,NDILI
cellid_000000248-1,NDILI
cellid_000000254-1,NDILI
cellid_000000255-1,NDILI
cellid_000000258-1,NDILI
cellid_000000261-1,NDILI
cellid_000000263-1,NDILI
cellid_000000264-1,NDILI
cellid_000000268-1,NDILI
cellid_000000271-1,NDILI
cellid_000000272-1,NDILI
cellid_000000274-1,NDILI
cellid_000000278-1,NDILI
cellid_000000284-1,NDILI
cellid_000000287-1,NDILI
cellid_000000288-1,NDILI
cellid_000000289-1,NDILI
cellid_000000294-1,NDILI
cellid_000000295-1,NDILI
