Barcode,Coltan DIssection
cellid_000002310-1,included
cellid_000002311-1,included
cellid_000002312-1,included
cellid_000002317-1,included
cellid_000002319-1,included
cellid_000002321-1,included
cellid_000002322-1,included
cellid_000002327-1,included
cellid_000002332-1,included
cellid_000002334-1,included
cellid_000002340-1,included
cellid_000002341-1,included
cellid_000002344-1,included
cellid_000002352-1,included
cellid_000002358-1,included
cellid_000002361-1,included
cellid_000002364-1,included
cellid_000002365-1,included
cellid_000002366-1,included
cellid_000002369-1,included
cellid_000002370-1,included
cellid_000002378-1,included
cellid_000002380-1,included
cellid_000002381-1,included
cellid_000002386-1,included
cellid_000002393-1,included
cellid_000002399-1,included
cellid_000002403-1,included
cellid_000002405-1,included
cellid_000002408-1,included
cellid_000002410-1,included
cellid_000002411-1,included
cellid_000002423-1,included
cellid_000002431-1,included
cellid_000002435-1,included
cellid_000002436-1,included
cellid_000002442-1,included
cellid_000002444-1,included
cellid_000002452-1,included
cellid_000002454-1,included
cellid_000002457-1,included
cellid_000002463-1,included
cellid_000002464-1,included
cellid_000002469-1,included
cellid_000002471-1,included
cellid_000002474-1,included
cellid_000002475-1,included
cellid_000002478-1,included
cellid_000002481-1,included
cellid_000002485-1,included
cellid_000002489-1,included
cellid_000002496-1,included
cellid_000002500-1,included
cellid_000002509-1,included
cellid_000002511-1,included
cellid_000002523-1,included
cellid_000002524-1,included
cellid_000002530-1,included
cellid_000002533-1,included
cellid_000002534-1,included
cellid_000002535-1,included
cellid_000002536-1,included
cellid_000002538-1,included
cellid_000002541-1,included
cellid_000002542-1,included
cellid_000002545-1,included
cellid_000002546-1,included
cellid_000002549-1,included
cellid_000002551-1,included
cellid_000002556-1,included
cellid_000002559-1,included
cellid_000002561-1,included
cellid_000002563-1,included
cellid_000002564-1,included
cellid_000002571-1,included
cellid_000002580-1,included
cellid_000002584-1,included
cellid_000002585-1,included
cellid_000002587-1,included
cellid_000002589-1,included
cellid_000002599-1,included
cellid_000002602-1,included
cellid_000002613-1,included
cellid_000002618-1,included
cellid_000002619-1,included
cellid_000002628-1,included
cellid_000002635-1,included
cellid_000002642-1,included
cellid_000002644-1,included
cellid_000002648-1,included
cellid_000002659-1,included
cellid_000002661-1,included
cellid_000002663-1,included
cellid_000002664-1,included
cellid_000002670-1,included
cellid_000002672-1,included
cellid_000002673-1,included
cellid_000002679-1,included
cellid_000002683-1,included
cellid_000002692-1,included
cellid_000002696-1,included
cellid_000002699-1,included
cellid_000002702-1,included
cellid_000002711-1,included
cellid_000002735-1,included
cellid_000002736-1,included
cellid_000002739-1,included
cellid_000002747-1,included
cellid_000002748-1,included
cellid_000002757-1,included
cellid_000002759-1,included
cellid_000002770-1,included
cellid_000002772-1,included
cellid_000002777-1,included
cellid_000002782-1,included
cellid_000002783-1,included
cellid_000002784-1,included
cellid_000002801-1,included
cellid_000002803-1,included
cellid_000002806-1,included
cellid_000002807-1,included
cellid_000002810-1,included
cellid_000002812-1,included
cellid_000002814-1,included
cellid_000002820-1,included
cellid_000002821-1,included
cellid_000002822-1,included
cellid_000002827-1,included
cellid_000002833-1,included
cellid_000002835-1,included
cellid_000002844-1,included
cellid_000002846-1,included
cellid_000002853-1,included
cellid_000002857-1,included
cellid_000002863-1,included
cellid_000002864-1,included
cellid_000002869-1,included
cellid_000002872-1,included
cellid_000002873-1,included
cellid_000002879-1,included
cellid_000002884-1,included
cellid_000002887-1,included
cellid_000002890-1,included
cellid_000002895-1,included
cellid_000002902-1,included
cellid_000002908-1,included
cellid_000002909-1,included
cellid_000002912-1,included
cellid_000002914-1,included
cellid_000002917-1,included
cellid_000002921-1,included
cellid_000002925-1,included
cellid_000002931-1,included
cellid_000002932-1,included
cellid_000002937-1,included
cellid_000002938-1,included
cellid_000002942-1,included
cellid_000002946-1,included
cellid_000002956-1,included
cellid_000002960-1,included
cellid_000002963-1,included
cellid_000002964-1,included
cellid_000002973-1,included
cellid_000002979-1,included
cellid_000002982-1,included
cellid_000002985-1,included
cellid_000002987-1,included
cellid_000002996-1,included
cellid_000003001-1,included
cellid_000003002-1,included
cellid_000003006-1,included
cellid_000003009-1,included
cellid_000003014-1,included
cellid_000003024-1,included
cellid_000003031-1,included
cellid_000003033-1,included
cellid_000003036-1,included
cellid_000003039-1,included
cellid_000003044-1,included
cellid_000003047-1,included
cellid_000003051-1,included
cellid_000003054-1,included
cellid_000003056-1,included
cellid_000003057-1,included
cellid_000003072-1,included
cellid_000003082-1,included
cellid_000003086-1,included
cellid_000003096-1,included
cellid_000003097-1,included
cellid_000003099-1,included
cellid_000003108-1,included
cellid_000003109-1,included
cellid_000003115-1,included
cellid_000003119-1,included
cellid_000003120-1,included
cellid_000003129-1,included
cellid_000003133-1,included
cellid_000003138-1,included
cellid_000003146-1,included
cellid_000003151-1,included
cellid_000003154-1,included
cellid_000003157-1,included
cellid_000003162-1,included
cellid_000003164-1,included
cellid_000003168-1,included
cellid_000003173-1,included
cellid_000003178-1,included
cellid_000003179-1,included
cellid_000003181-1,included
cellid_000003182-1,included
cellid_000003184-1,included
cellid_000003195-1,included
cellid_000003198-1,included
cellid_000003201-1,included
cellid_000003204-1,included
cellid_000003206-1,included
cellid_000003209-1,included
cellid_000003216-1,included
cellid_000003219-1,included
cellid_000003220-1,included
cellid_000003234-1,included
cellid_000003236-1,included
cellid_000003237-1,included
cellid_000003250-1,included
cellid_000003257-1,included
cellid_000003259-1,included
cellid_000003264-1,included
cellid_000003268-1,included
cellid_000003274-1,included
cellid_000003279-1,included
cellid_000003289-1,included
cellid_000003294-1,included
cellid_000003298-1,included
cellid_000003300-1,included
cellid_000003304-1,included
cellid_000003306-1,included
cellid_000003307-1,included
cellid_000003309-1,included
cellid_000003317-1,included
cellid_000003325-1,included
cellid_000003326-1,included
cellid_000003327-1,included
cellid_000003330-1,included
cellid_000003334-1,included
cellid_000003337-1,included
cellid_000003346-1,included
cellid_000003355-1,included
cellid_000003359-1,included
cellid_000003364-1,included
cellid_000003369-1,included
cellid_000003372-1,included
cellid_000003373-1,included
cellid_000003378-1,included
cellid_000003384-1,included
cellid_000003385-1,included
cellid_000003390-1,included
cellid_000003393-1,included
cellid_000003401-1,included
cellid_000003402-1,included
cellid_000003405-1,included
cellid_000003411-1,included
cellid_000003419-1,included
cellid_000003421-1,included
cellid_000003425-1,included
cellid_000003431-1,included
cellid_000003432-1,included
cellid_000003437-1,included
cellid_000003438-1,included
cellid_000003448-1,included
cellid_000003455-1,included
cellid_000003465-1,included
cellid_000003467-1,included
cellid_000003469-1,included
cellid_000003476-1,included
cellid_000003479-1,included
cellid_000003490-1,included
cellid_000003503-1,included
cellid_000003505-1,included
cellid_000003511-1,included
cellid_000003512-1,included
cellid_000003514-1,included
cellid_000003516-1,included
cellid_000003522-1,included
cellid_000003523-1,included
cellid_000003527-1,included
cellid_000003538-1,included
cellid_000003542-1,included
cellid_000003549-1,included
cellid_000003550-1,included
cellid_000003553-1,included
cellid_000003559-1,included
cellid_000003564-1,included
cellid_000003568-1,included
cellid_000003575-1,included
cellid_000003577-1,included
cellid_000003580-1,included
cellid_000003585-1,included
cellid_000003589-1,included
cellid_000003590-1,included
cellid_000003597-1,included
cellid_000003604-1,included
cellid_000003605-1,included
cellid_000003606-1,included
cellid_000003607-1,included
cellid_000003612-1,included
cellid_000003616-1,included
cellid_000003619-1,included
cellid_000003620-1,included
cellid_000003624-1,included
cellid_000003625-1,included
cellid_000003638-1,included
cellid_000003640-1,included
cellid_000003649-1,included
cellid_000003653-1,included
cellid_000003672-1,included
cellid_000003676-1,included
cellid_000003678-1,included
cellid_000003686-1,included
cellid_000003694-1,included
cellid_000003704-1,included
cellid_000003706-1,included
cellid_000003717-1,included
cellid_000003726-1,included
cellid_000003734-1,included
cellid_000003739-1,included
cellid_000003747-1,included
cellid_000003749-1,included
cellid_000003750-1,included
cellid_000003757-1,included
cellid_000003759-1,included
cellid_000003760-1,included
cellid_000003767-1,included
cellid_000003768-1,included
cellid_000003771-1,included
cellid_000003774-1,included
cellid_000003781-1,included
cellid_000003786-1,included
cellid_000003789-1,included
cellid_000003792-1,included
cellid_000003804-1,included
cellid_000003805-1,included
cellid_000003806-1,included
cellid_000003817-1,included
cellid_000003819-1,included
