"","Barcode","Coltan.DIssection","Barcode_updated"
"13846","cellid_000018920-1","included","cellid_000018920-16P17"
"13847","cellid_000018921-1","included","cellid_000018921-16P17"
"13848","cellid_000018922-1","included","cellid_000018922-16P17"
"13849","cellid_000018924-1","included","cellid_000018924-16P17"
"13850","cellid_000018926-1","included","cellid_000018926-16P17"
"13851","cellid_000018927-1","included","cellid_000018927-16P17"
"13852","cellid_000018928-1","included","cellid_000018928-16P17"
"13853","cellid_000018929-1","included","cellid_000018929-16P17"
"13854","cellid_000018935-1","included","cellid_000018935-16P17"
"13855","cellid_000018936-1","included","cellid_000018936-16P17"
"13856","cellid_000018938-1","included","cellid_000018938-16P17"
"13857","cellid_000018939-1","included","cellid_000018939-16P17"
"13858","cellid_000018944-1","included","cellid_000018944-16P17"
"13859","cellid_000018945-1","included","cellid_000018945-16P17"
"13860","cellid_000018948-1","included","cellid_000018948-16P17"
"13861","cellid_000018949-1","included","cellid_000018949-16P17"
"13862","cellid_000018950-1","included","cellid_000018950-16P17"
"13863","cellid_000018951-1","included","cellid_000018951-16P17"
"13864","cellid_000018952-1","included","cellid_000018952-16P17"
"13865","cellid_000018955-1","included","cellid_000018955-16P17"
"13866","cellid_000018956-1","included","cellid_000018956-16P17"
"13867","cellid_000018964-1","included","cellid_000018964-16P17"
"13868","cellid_000018965-1","included","cellid_000018965-16P17"
"13869","cellid_000018967-1","included","cellid_000018967-16P17"
"13870","cellid_000018968-1","included","cellid_000018968-16P17"
"13871","cellid_000018973-1","included","cellid_000018973-16P17"
"13872","cellid_000018974-1","included","cellid_000018974-16P17"
"13873","cellid_000018975-1","included","cellid_000018975-16P17"
"13874","cellid_000018976-1","included","cellid_000018976-16P17"
"13875","cellid_000018981-1","included","cellid_000018981-16P17"
"13876","cellid_000019163-1","included","cellid_000019163-16P17"
"13877","cellid_000020545-1","included","cellid_000020545-16P17"
"13878","cellid_000020616-1","included","cellid_000020616-16P17"
"13879","cellid_000020850-1","included","cellid_000020850-16P17"
"13880","cellid_000020933-1","included","cellid_000020933-16P17"
"13881","cellid_000025125-1","included","cellid_000025125-16P17"
"13882","cellid_000025126-1","included","cellid_000025126-16P17"
"13883","cellid_000025127-1","included","cellid_000025127-16P17"
"13884","cellid_000025128-1","included","cellid_000025128-16P17"
"13885","cellid_000025129-1","included","cellid_000025129-16P17"
"13886","cellid_000025130-1","included","cellid_000025130-16P17"
"13887","cellid_000025131-1","included","cellid_000025131-16P17"
"13888","cellid_000025132-1","included","cellid_000025132-16P17"
"13889","cellid_000025133-1","included","cellid_000025133-16P17"
"13890","cellid_000025134-1","included","cellid_000025134-16P17"
"13891","cellid_000025135-1","included","cellid_000025135-16P17"
"13892","cellid_000025136-1","included","cellid_000025136-16P17"
"13893","cellid_000025137-1","included","cellid_000025137-16P17"
"13894","cellid_000025138-1","included","cellid_000025138-16P17"
"13895","cellid_000025139-1","included","cellid_000025139-16P17"
"13896","cellid_000025140-1","included","cellid_000025140-16P17"
"13897","cellid_000025141-1","included","cellid_000025141-16P17"
"13898","cellid_000025142-1","included","cellid_000025142-16P17"
"13899","cellid_000025143-1","included","cellid_000025143-16P17"
"13900","cellid_000025144-1","included","cellid_000025144-16P17"
"13901","cellid_000025145-1","included","cellid_000025145-16P17"
"13902","cellid_000025146-1","included","cellid_000025146-16P17"
"13903","cellid_000025147-1","included","cellid_000025147-16P17"
"13904","cellid_000025148-1","included","cellid_000025148-16P17"
"13905","cellid_000025149-1","included","cellid_000025149-16P17"
"13906","cellid_000025150-1","included","cellid_000025150-16P17"
"13907","cellid_000025151-1","included","cellid_000025151-16P17"
"13908","cellid_000025152-1","included","cellid_000025152-16P17"
"13909","cellid_000025153-1","included","cellid_000025153-16P17"
"13910","cellid_000025154-1","included","cellid_000025154-16P17"
"13911","cellid_000025155-1","included","cellid_000025155-16P17"
"13912","cellid_000025156-1","included","cellid_000025156-16P17"
"13913","cellid_000025157-1","included","cellid_000025157-16P17"
"13914","cellid_000025158-1","included","cellid_000025158-16P17"
"13915","cellid_000025159-1","included","cellid_000025159-16P17"
"13916","cellid_000025160-1","included","cellid_000025160-16P17"
"13917","cellid_000025161-1","included","cellid_000025161-16P17"
"13918","cellid_000025162-1","included","cellid_000025162-16P17"
"13919","cellid_000025163-1","included","cellid_000025163-16P17"
"13920","cellid_000025164-1","included","cellid_000025164-16P17"
"13921","cellid_000025165-1","included","cellid_000025165-16P17"
"13922","cellid_000025166-1","included","cellid_000025166-16P17"
"13923","cellid_000025167-1","included","cellid_000025167-16P17"
"13924","cellid_000025168-1","included","cellid_000025168-16P17"
"13925","cellid_000025169-1","included","cellid_000025169-16P17"
"13926","cellid_000025170-1","included","cellid_000025170-16P17"
"13927","cellid_000025171-1","included","cellid_000025171-16P17"
"13928","cellid_000025172-1","included","cellid_000025172-16P17"
"13929","cellid_000025173-1","included","cellid_000025173-16P17"
"13930","cellid_000025174-1","included","cellid_000025174-16P17"
"13931","cellid_000025175-1","included","cellid_000025175-16P17"
"13932","cellid_000025176-1","included","cellid_000025176-16P17"
"13933","cellid_000025177-1","included","cellid_000025177-16P17"
"13934","cellid_000025178-1","included","cellid_000025178-16P17"
"13935","cellid_000025179-1","included","cellid_000025179-16P17"
"13936","cellid_000025180-1","included","cellid_000025180-16P17"
"13937","cellid_000025181-1","included","cellid_000025181-16P17"
"13938","cellid_000025182-1","included","cellid_000025182-16P17"
"13939","cellid_000025183-1","included","cellid_000025183-16P17"
"13940","cellid_000025184-1","included","cellid_000025184-16P17"
"13941","cellid_000025185-1","included","cellid_000025185-16P17"
"13942","cellid_000025186-1","included","cellid_000025186-16P17"
"13943","cellid_000025187-1","included","cellid_000025187-16P17"
"13944","cellid_000025188-1","included","cellid_000025188-16P17"
"13945","cellid_000025189-1","included","cellid_000025189-16P17"
"13946","cellid_000025190-1","included","cellid_000025190-16P17"
"13947","cellid_000025191-1","included","cellid_000025191-16P17"
"13948","cellid_000025192-1","included","cellid_000025192-16P17"
"13949","cellid_000025193-1","included","cellid_000025193-16P17"
"13950","cellid_000025194-1","included","cellid_000025194-16P17"
"13951","cellid_000025195-1","included","cellid_000025195-16P17"
"13952","cellid_000025196-1","included","cellid_000025196-16P17"
"13953","cellid_000025197-1","included","cellid_000025197-16P17"
"13954","cellid_000025198-1","included","cellid_000025198-16P17"
"13955","cellid_000025199-1","included","cellid_000025199-16P17"
"13956","cellid_000025200-1","included","cellid_000025200-16P17"
"13957","cellid_000025201-1","included","cellid_000025201-16P17"
"13958","cellid_000025202-1","included","cellid_000025202-16P17"
"13959","cellid_000025203-1","included","cellid_000025203-16P17"
"13960","cellid_000025204-1","included","cellid_000025204-16P17"
"13961","cellid_000025205-1","included","cellid_000025205-16P17"
