"","Barcode","Coltan.DIssection","Barcode_updated"
"1","cellid_000000008-1","included","cellid_000000008-16P17"
"2","cellid_000000009-1","included","cellid_000000009-16P17"
"3","cellid_000000011-1","included","cellid_000000011-16P17"
"4","cellid_000000014-1","included","cellid_000000014-16P17"
"5","cellid_000000015-1","included","cellid_000000015-16P17"
"6","cellid_000000019-1","included","cellid_000000019-16P17"
"7","cellid_000000024-1","included","cellid_000000024-16P17"
"8","cellid_000000026-1","included","cellid_000000026-16P17"
"9","cellid_000000035-1","included","cellid_000000035-16P17"
"10","cellid_000000039-1","included","cellid_000000039-16P17"
"11","cellid_000000046-1","included","cellid_000000046-16P17"
"12","cellid_000000051-1","included","cellid_000000051-16P17"
"13","cellid_000000053-1","included","cellid_000000053-16P17"
"14","cellid_000000054-1","included","cellid_000000054-16P17"
"15","cellid_000000055-1","included","cellid_000000055-16P17"
"16","cellid_000000057-1","included","cellid_000000057-16P17"
"17","cellid_000000059-1","included","cellid_000000059-16P17"
"18","cellid_000000061-1","included","cellid_000000061-16P17"
"19","cellid_000000065-1","included","cellid_000000065-16P17"
"20","cellid_000000068-1","included","cellid_000000068-16P17"
"21","cellid_000000069-1","included","cellid_000000069-16P17"
"22","cellid_000000071-1","included","cellid_000000071-16P17"
"23","cellid_000000072-1","included","cellid_000000072-16P17"
"24","cellid_000000079-1","included","cellid_000000079-16P17"
"25","cellid_000000082-1","included","cellid_000000082-16P17"
"26","cellid_000000085-1","included","cellid_000000085-16P17"
"27","cellid_000000088-1","included","cellid_000000088-16P17"
"28","cellid_000000091-1","included","cellid_000000091-16P17"
"29","cellid_000000093-1","included","cellid_000000093-16P17"
"30","cellid_000000095-1","included","cellid_000000095-16P17"
"31","cellid_000000097-1","included","cellid_000000097-16P17"
"32","cellid_000000099-1","included","cellid_000000099-16P17"
"33","cellid_000000102-1","included","cellid_000000102-16P17"
"34","cellid_000000103-1","included","cellid_000000103-16P17"
"35","cellid_000000104-1","included","cellid_000000104-16P17"
"36","cellid_000000105-1","included","cellid_000000105-16P17"
"37","cellid_000000106-1","included","cellid_000000106-16P17"
"38","cellid_000000108-1","included","cellid_000000108-16P17"
"39","cellid_000000110-1","included","cellid_000000110-16P17"
"40","cellid_000000111-1","included","cellid_000000111-16P17"
"41","cellid_000000115-1","included","cellid_000000115-16P17"
"42","cellid_000000116-1","included","cellid_000000116-16P17"
"43","cellid_000000118-1","included","cellid_000000118-16P17"
"44","cellid_000000120-1","included","cellid_000000120-16P17"
"45","cellid_000000126-1","included","cellid_000000126-16P17"
"46","cellid_000000128-1","included","cellid_000000128-16P17"
"47","cellid_000000134-1","included","cellid_000000134-16P17"
"48","cellid_000000135-1","included","cellid_000000135-16P17"
"49","cellid_000000136-1","included","cellid_000000136-16P17"
"50","cellid_000000144-1","included","cellid_000000144-16P17"
"51","cellid_000000147-1","included","cellid_000000147-16P17"
"52","cellid_000000148-1","included","cellid_000000148-16P17"
"53","cellid_000000151-1","included","cellid_000000151-16P17"
"54","cellid_000000152-1","included","cellid_000000152-16P17"
"55","cellid_000000153-1","included","cellid_000000153-16P17"
"56","cellid_000000156-1","included","cellid_000000156-16P17"
"57","cellid_000000161-1","included","cellid_000000161-16P17"
"58","cellid_000000163-1","included","cellid_000000163-16P17"
"59","cellid_000000166-1","included","cellid_000000166-16P17"
"60","cellid_000000168-1","included","cellid_000000168-16P17"
"61","cellid_000000172-1","included","cellid_000000172-16P17"
"62","cellid_000000176-1","included","cellid_000000176-16P17"
"63","cellid_000000177-1","included","cellid_000000177-16P17"
"64","cellid_000000180-1","included","cellid_000000180-16P17"
"65","cellid_000000184-1","included","cellid_000000184-16P17"
"66","cellid_000000187-1","included","cellid_000000187-16P17"
"67","cellid_000000188-1","included","cellid_000000188-16P17"
"68","cellid_000000190-1","included","cellid_000000190-16P17"
"69","cellid_000000195-1","included","cellid_000000195-16P17"
"70","cellid_000000198-1","included","cellid_000000198-16P17"
"71","cellid_000000201-1","included","cellid_000000201-16P17"
"72","cellid_000000203-1","included","cellid_000000203-16P17"
"73","cellid_000000204-1","included","cellid_000000204-16P17"
"74","cellid_000000207-1","included","cellid_000000207-16P17"
"75","cellid_000000214-1","included","cellid_000000214-16P17"
"76","cellid_000000216-1","included","cellid_000000216-16P17"
"77","cellid_000000217-1","included","cellid_000000217-16P17"
"78","cellid_000000220-1","included","cellid_000000220-16P17"
"79","cellid_000000221-1","included","cellid_000000221-16P17"
"80","cellid_000000222-1","included","cellid_000000222-16P17"
"81","cellid_000000223-1","included","cellid_000000223-16P17"
"82","cellid_000000224-1","included","cellid_000000224-16P17"
"83","cellid_000000225-1","included","cellid_000000225-16P17"
"84","cellid_000000226-1","included","cellid_000000226-16P17"
"85","cellid_000000227-1","included","cellid_000000227-16P17"
"86","cellid_000000228-1","included","cellid_000000228-16P17"
"87","cellid_000000229-1","included","cellid_000000229-16P17"
"88","cellid_000000230-1","included","cellid_000000230-16P17"
"89","cellid_000000231-1","included","cellid_000000231-16P17"
"90","cellid_000000232-1","included","cellid_000000232-16P17"
"91","cellid_000000233-1","included","cellid_000000233-16P17"
"92","cellid_000000234-1","included","cellid_000000234-16P17"
"93","cellid_000000235-1","included","cellid_000000235-16P17"
"94","cellid_000000236-1","included","cellid_000000236-16P17"
"95","cellid_000000237-1","included","cellid_000000237-16P17"
"96","cellid_000000238-1","included","cellid_000000238-16P17"
"97","cellid_000000239-1","included","cellid_000000239-16P17"
"98","cellid_000000240-1","included","cellid_000000240-16P17"
"99","cellid_000000241-1","included","cellid_000000241-16P17"
"100","cellid_000000242-1","included","cellid_000000242-16P17"
"101","cellid_000000243-1","included","cellid_000000243-16P17"
"102","cellid_000000244-1","included","cellid_000000244-16P17"
"103","cellid_000000245-1","included","cellid_000000245-16P17"
"104","cellid_000000246-1","included","cellid_000000246-16P17"
"105","cellid_000000247-1","included","cellid_000000247-16P17"
"106","cellid_000000248-1","included","cellid_000000248-16P17"
"107","cellid_000000249-1","included","cellid_000000249-16P17"
"108","cellid_000000250-1","included","cellid_000000250-16P17"
"109","cellid_000000251-1","included","cellid_000000251-16P17"
"110","cellid_000000252-1","included","cellid_000000252-16P17"
"111","cellid_000000253-1","included","cellid_000000253-16P17"
"112","cellid_000000254-1","included","cellid_000000254-16P17"
"113","cellid_000000255-1","included","cellid_000000255-16P17"
"114","cellid_000000256-1","included","cellid_000000256-16P17"
"115","cellid_000000257-1","included","cellid_000000257-16P17"
"116","cellid_000000258-1","included","cellid_000000258-16P17"
"117","cellid_000000259-1","included","cellid_000000259-16P17"
"118","cellid_000000260-1","included","cellid_000000260-16P17"
"119","cellid_000000261-1","included","cellid_000000261-16P17"
"120","cellid_000000262-1","included","cellid_000000262-16P17"
"121","cellid_000000263-1","included","cellid_000000263-16P17"
"122","cellid_000000264-1","included","cellid_000000264-16P17"
"123","cellid_000000265-1","included","cellid_000000265-16P17"
"124","cellid_000000266-1","included","cellid_000000266-16P17"
"125","cellid_000000267-1","included","cellid_000000267-16P17"
"126","cellid_000000268-1","included","cellid_000000268-16P17"
"127","cellid_000000269-1","included","cellid_000000269-16P17"
"128","cellid_000000270-1","included","cellid_000000270-16P17"
"129","cellid_000000271-1","included","cellid_000000271-16P17"
"130","cellid_000000272-1","included","cellid_000000272-16P17"
"131","cellid_000000273-1","included","cellid_000000273-16P17"
"132","cellid_000000274-1","included","cellid_000000274-16P17"
"133","cellid_000000275-1","included","cellid_000000275-16P17"
"134","cellid_000000276-1","included","cellid_000000276-16P17"
"135","cellid_000000277-1","included","cellid_000000277-16P17"
"136","cellid_000000278-1","included","cellid_000000278-16P17"
"137","cellid_000000279-1","included","cellid_000000279-16P17"
"138","cellid_000000280-1","included","cellid_000000280-16P17"
"139","cellid_000000281-1","included","cellid_000000281-16P17"
"140","cellid_000000282-1","included","cellid_000000282-16P17"
"141","cellid_000000283-1","included","cellid_000000283-16P17"
"142","cellid_000000284-1","included","cellid_000000284-16P17"
"143","cellid_000000285-1","included","cellid_000000285-16P17"
"144","cellid_000000286-1","included","cellid_000000286-16P17"
"145","cellid_000000287-1","included","cellid_000000287-16P17"
"146","cellid_000000288-1","included","cellid_000000288-16P17"
"147","cellid_000000289-1","included","cellid_000000289-16P17"
"148","cellid_000000290-1","included","cellid_000000290-16P17"
"149","cellid_000000291-1","included","cellid_000000291-16P17"
"150","cellid_000000292-1","included","cellid_000000292-16P17"
"151","cellid_000000293-1","included","cellid_000000293-16P17"
"152","cellid_000000294-1","included","cellid_000000294-16P17"
"153","cellid_000000295-1","included","cellid_000000295-16P17"
"154","cellid_000000296-1","included","cellid_000000296-16P17"
"155","cellid_000000297-1","included","cellid_000000297-16P17"
"156","cellid_000000298-1","included","cellid_000000298-16P17"
"157","cellid_000000299-1","included","cellid_000000299-16P17"
"158","cellid_000000300-1","included","cellid_000000300-16P17"
"159","cellid_000000301-1","included","cellid_000000301-16P17"
"160","cellid_000000302-1","included","cellid_000000302-16P17"
"161","cellid_000000303-1","included","cellid_000000303-16P17"
"162","cellid_000000304-1","included","cellid_000000304-16P17"
"163","cellid_000000305-1","included","cellid_000000305-16P17"
"164","cellid_000000306-1","included","cellid_000000306-16P17"
"165","cellid_000000307-1","included","cellid_000000307-16P17"
"166","cellid_000000308-1","included","cellid_000000308-16P17"
"167","cellid_000000309-1","included","cellid_000000309-16P17"
"168","cellid_000000311-1","included","cellid_000000311-16P17"
"169","cellid_000000312-1","included","cellid_000000312-16P17"
"170","cellid_000000313-1","included","cellid_000000313-16P17"
"171","cellid_000000314-1","included","cellid_000000314-16P17"
"172","cellid_000000315-1","included","cellid_000000315-16P17"
"173","cellid_000000316-1","included","cellid_000000316-16P17"
"174","cellid_000000317-1","included","cellid_000000317-16P17"
"175","cellid_000000318-1","included","cellid_000000318-16P17"
"176","cellid_000000319-1","included","cellid_000000319-16P17"
"177","cellid_000000320-1","included","cellid_000000320-16P17"
"178","cellid_000000321-1","included","cellid_000000321-16P17"
"179","cellid_000000322-1","included","cellid_000000322-16P17"
"180","cellid_000000323-1","included","cellid_000000323-16P17"
"181","cellid_000000324-1","included","cellid_000000324-16P17"
"182","cellid_000000325-1","included","cellid_000000325-16P17"
"183","cellid_000000326-1","included","cellid_000000326-16P17"
"184","cellid_000000327-1","included","cellid_000000327-16P17"
"185","cellid_000000328-1","included","cellid_000000328-16P17"
"186","cellid_000000329-1","included","cellid_000000329-16P17"
"187","cellid_000000330-1","included","cellid_000000330-16P17"
"188","cellid_000000331-1","included","cellid_000000331-16P17"
"189","cellid_000000332-1","included","cellid_000000332-16P17"
"190","cellid_000000333-1","included","cellid_000000333-16P17"
"191","cellid_000000334-1","included","cellid_000000334-16P17"
"192","cellid_000000335-1","included","cellid_000000335-16P17"
"193","cellid_000000336-1","included","cellid_000000336-16P17"
"194","cellid_000000337-1","included","cellid_000000337-16P17"
"195","cellid_000000338-1","included","cellid_000000338-16P17"
"196","cellid_000000339-1","included","cellid_000000339-16P17"
"197","cellid_000000340-1","included","cellid_000000340-16P17"
"198","cellid_000000341-1","included","cellid_000000341-16P17"
"199","cellid_000000342-1","included","cellid_000000342-16P17"
"200","cellid_000000343-1","included","cellid_000000343-16P17"
"201","cellid_000000344-1","included","cellid_000000344-16P17"
"202","cellid_000000345-1","included","cellid_000000345-16P17"
"203","cellid_000000346-1","included","cellid_000000346-16P17"
"204","cellid_000000347-1","included","cellid_000000347-16P17"
"205","cellid_000000348-1","included","cellid_000000348-16P17"
"206","cellid_000000349-1","included","cellid_000000349-16P17"
"207","cellid_000000350-1","included","cellid_000000350-16P17"
"208","cellid_000000351-1","included","cellid_000000351-16P17"
"209","cellid_000000352-1","included","cellid_000000352-16P17"
"210","cellid_000000353-1","included","cellid_000000353-16P17"
"211","cellid_000000354-1","included","cellid_000000354-16P17"
"212","cellid_000000355-1","included","cellid_000000355-16P17"
"213","cellid_000000356-1","included","cellid_000000356-16P17"
"214","cellid_000000357-1","included","cellid_000000357-16P17"
"215","cellid_000000358-1","included","cellid_000000358-16P17"
"216","cellid_000000359-1","included","cellid_000000359-16P17"
"217","cellid_000000360-1","included","cellid_000000360-16P17"
"218","cellid_000000361-1","included","cellid_000000361-16P17"
"219","cellid_000000362-1","included","cellid_000000362-16P17"
"220","cellid_000000363-1","included","cellid_000000363-16P17"
"221","cellid_000000364-1","included","cellid_000000364-16P17"
"222","cellid_000000365-1","included","cellid_000000365-16P17"
"223","cellid_000000366-1","included","cellid_000000366-16P17"
"224","cellid_000000367-1","included","cellid_000000367-16P17"
"225","cellid_000000368-1","included","cellid_000000368-16P17"
"226","cellid_000000369-1","included","cellid_000000369-16P17"
"227","cellid_000000370-1","included","cellid_000000370-16P17"
"228","cellid_000000371-1","included","cellid_000000371-16P17"
"229","cellid_000000372-1","included","cellid_000000372-16P17"
"230","cellid_000000373-1","included","cellid_000000373-16P17"
"231","cellid_000000374-1","included","cellid_000000374-16P17"
"232","cellid_000000375-1","included","cellid_000000375-16P17"
"233","cellid_000000376-1","included","cellid_000000376-16P17"
"234","cellid_000000377-1","included","cellid_000000377-16P17"
"235","cellid_000000378-1","included","cellid_000000378-16P17"
"236","cellid_000000379-1","included","cellid_000000379-16P17"
"237","cellid_000000380-1","included","cellid_000000380-16P17"
"238","cellid_000000381-1","included","cellid_000000381-16P17"
"239","cellid_000000382-1","included","cellid_000000382-16P17"
"240","cellid_000000383-1","included","cellid_000000383-16P17"
"241","cellid_000000384-1","included","cellid_000000384-16P17"
"242","cellid_000000385-1","included","cellid_000000385-16P17"
"243","cellid_000000386-1","included","cellid_000000386-16P17"
"244","cellid_000000387-1","included","cellid_000000387-16P17"
"245","cellid_000000388-1","included","cellid_000000388-16P17"
"246","cellid_000000389-1","included","cellid_000000389-16P17"
"247","cellid_000000390-1","included","cellid_000000390-16P17"
"248","cellid_000000391-1","included","cellid_000000391-16P17"
"249","cellid_000000392-1","included","cellid_000000392-16P17"
"250","cellid_000000393-1","included","cellid_000000393-16P17"
"251","cellid_000000394-1","included","cellid_000000394-16P17"
"252","cellid_000000395-1","included","cellid_000000395-16P17"
"253","cellid_000000396-1","included","cellid_000000396-16P17"
"254","cellid_000000397-1","included","cellid_000000397-16P17"
"255","cellid_000000398-1","included","cellid_000000398-16P17"
"256","cellid_000000399-1","included","cellid_000000399-16P17"
"257","cellid_000000400-1","included","cellid_000000400-16P17"
"258","cellid_000000401-1","included","cellid_000000401-16P17"
"259","cellid_000000402-1","included","cellid_000000402-16P17"
"260","cellid_000000403-1","included","cellid_000000403-16P17"
"261","cellid_000000404-1","included","cellid_000000404-16P17"
"262","cellid_000000405-1","included","cellid_000000405-16P17"
"263","cellid_000000406-1","included","cellid_000000406-16P17"
"264","cellid_000000407-1","included","cellid_000000407-16P17"
"265","cellid_000000408-1","included","cellid_000000408-16P17"
"266","cellid_000000409-1","included","cellid_000000409-16P17"
"267","cellid_000000410-1","included","cellid_000000410-16P17"
"268","cellid_000000411-1","included","cellid_000000411-16P17"
"269","cellid_000000412-1","included","cellid_000000412-16P17"
"270","cellid_000000413-1","included","cellid_000000413-16P17"
"271","cellid_000000414-1","included","cellid_000000414-16P17"
"272","cellid_000000415-1","included","cellid_000000415-16P17"
"273","cellid_000000416-1","included","cellid_000000416-16P17"
"274","cellid_000000417-1","included","cellid_000000417-16P17"
"275","cellid_000000418-1","included","cellid_000000418-16P17"
"276","cellid_000000419-1","included","cellid_000000419-16P17"
"277","cellid_000000420-1","included","cellid_000000420-16P17"
"278","cellid_000000421-1","included","cellid_000000421-16P17"
"279","cellid_000000422-1","included","cellid_000000422-16P17"
"280","cellid_000000423-1","included","cellid_000000423-16P17"
"281","cellid_000000424-1","included","cellid_000000424-16P17"
"282","cellid_000000425-1","included","cellid_000000425-16P17"
"283","cellid_000000426-1","included","cellid_000000426-16P17"
"284","cellid_000000427-1","included","cellid_000000427-16P17"
"285","cellid_000000428-1","included","cellid_000000428-16P17"
"286","cellid_000000429-1","included","cellid_000000429-16P17"
"287","cellid_000000430-1","included","cellid_000000430-16P17"
"288","cellid_000000431-1","included","cellid_000000431-16P17"
"289","cellid_000000432-1","included","cellid_000000432-16P17"
"290","cellid_000000433-1","included","cellid_000000433-16P17"
"291","cellid_000000434-1","included","cellid_000000434-16P17"
"292","cellid_000000435-1","included","cellid_000000435-16P17"
"293","cellid_000000436-1","included","cellid_000000436-16P17"
"294","cellid_000000437-1","included","cellid_000000437-16P17"
"295","cellid_000000438-1","included","cellid_000000438-16P17"
"296","cellid_000000439-1","included","cellid_000000439-16P17"
"297","cellid_000000440-1","included","cellid_000000440-16P17"
"298","cellid_000000441-1","included","cellid_000000441-16P17"
"299","cellid_000000442-1","included","cellid_000000442-16P17"
"300","cellid_000000443-1","included","cellid_000000443-16P17"
"301","cellid_000000444-1","included","cellid_000000444-16P17"
"302","cellid_000000445-1","included","cellid_000000445-16P17"
"303","cellid_000000446-1","included","cellid_000000446-16P17"
"304","cellid_000000447-1","included","cellid_000000447-16P17"
"305","cellid_000000448-1","included","cellid_000000448-16P17"
"306","cellid_000000449-1","included","cellid_000000449-16P17"
"307","cellid_000000450-1","included","cellid_000000450-16P17"
"308","cellid_000000451-1","included","cellid_000000451-16P17"
"309","cellid_000000452-1","included","cellid_000000452-16P17"
"310","cellid_000000453-1","included","cellid_000000453-16P17"
"311","cellid_000000454-1","included","cellid_000000454-16P17"
"312","cellid_000000455-1","included","cellid_000000455-16P17"
"313","cellid_000000456-1","included","cellid_000000456-16P17"
"314","cellid_000000457-1","included","cellid_000000457-16P17"
"315","cellid_000000458-1","included","cellid_000000458-16P17"
"316","cellid_000000459-1","included","cellid_000000459-16P17"
"317","cellid_000000460-1","included","cellid_000000460-16P17"
"318","cellid_000000461-1","included","cellid_000000461-16P17"
"319","cellid_000000462-1","included","cellid_000000462-16P17"
"320","cellid_000000463-1","included","cellid_000000463-16P17"
"321","cellid_000000464-1","included","cellid_000000464-16P17"
"322","cellid_000000465-1","included","cellid_000000465-16P17"
"323","cellid_000000466-1","included","cellid_000000466-16P17"
"324","cellid_000000467-1","included","cellid_000000467-16P17"
"325","cellid_000000468-1","included","cellid_000000468-16P17"
"326","cellid_000000469-1","included","cellid_000000469-16P17"
"327","cellid_000000470-1","included","cellid_000000470-16P17"
"328","cellid_000000471-1","included","cellid_000000471-16P17"
"329","cellid_000000472-1","included","cellid_000000472-16P17"
"330","cellid_000000473-1","included","cellid_000000473-16P17"
"331","cellid_000000474-1","included","cellid_000000474-16P17"
"332","cellid_000000475-1","included","cellid_000000475-16P17"
"333","cellid_000000476-1","included","cellid_000000476-16P17"
"334","cellid_000000477-1","included","cellid_000000477-16P17"
"335","cellid_000000478-1","included","cellid_000000478-16P17"
"336","cellid_000000479-1","included","cellid_000000479-16P17"
"337","cellid_000000480-1","included","cellid_000000480-16P17"
"338","cellid_000000481-1","included","cellid_000000481-16P17"
"339","cellid_000000482-1","included","cellid_000000482-16P17"
"340","cellid_000000483-1","included","cellid_000000483-16P17"
"341","cellid_000000484-1","included","cellid_000000484-16P17"
"342","cellid_000000485-1","included","cellid_000000485-16P17"
"343","cellid_000000486-1","included","cellid_000000486-16P17"
"344","cellid_000000487-1","included","cellid_000000487-16P17"
"345","cellid_000000488-1","included","cellid_000000488-16P17"
"346","cellid_000000489-1","included","cellid_000000489-16P17"
"347","cellid_000000490-1","included","cellid_000000490-16P17"
"348","cellid_000000491-1","included","cellid_000000491-16P17"
"349","cellid_000000492-1","included","cellid_000000492-16P17"
"350","cellid_000000493-1","included","cellid_000000493-16P17"
"351","cellid_000000494-1","included","cellid_000000494-16P17"
"352","cellid_000000495-1","included","cellid_000000495-16P17"
"353","cellid_000000496-1","included","cellid_000000496-16P17"
"354","cellid_000000497-1","included","cellid_000000497-16P17"
"355","cellid_000000498-1","included","cellid_000000498-16P17"
"356","cellid_000000499-1","included","cellid_000000499-16P17"
"357","cellid_000000500-1","included","cellid_000000500-16P17"
"358","cellid_000000501-1","included","cellid_000000501-16P17"
"359","cellid_000000502-1","included","cellid_000000502-16P17"
"360","cellid_000000503-1","included","cellid_000000503-16P17"
"361","cellid_000000504-1","included","cellid_000000504-16P17"
"362","cellid_000000505-1","included","cellid_000000505-16P17"
"363","cellid_000000506-1","included","cellid_000000506-16P17"
"364","cellid_000000507-1","included","cellid_000000507-16P17"
"365","cellid_000000508-1","included","cellid_000000508-16P17"
"366","cellid_000000509-1","included","cellid_000000509-16P17"
"367","cellid_000000510-1","included","cellid_000000510-16P17"
"368","cellid_000000511-1","included","cellid_000000511-16P17"
"369","cellid_000000512-1","included","cellid_000000512-16P17"
"370","cellid_000000513-1","included","cellid_000000513-16P17"
"371","cellid_000000514-1","included","cellid_000000514-16P17"
"372","cellid_000000515-1","included","cellid_000000515-16P17"
"373","cellid_000000516-1","included","cellid_000000516-16P17"
"374","cellid_000000517-1","included","cellid_000000517-16P17"
"375","cellid_000000518-1","included","cellid_000000518-16P17"
"376","cellid_000000519-1","included","cellid_000000519-16P17"
"377","cellid_000000520-1","included","cellid_000000520-16P17"
"378","cellid_000000521-1","included","cellid_000000521-16P17"
"379","cellid_000000522-1","included","cellid_000000522-16P17"
"380","cellid_000000523-1","included","cellid_000000523-16P17"
"381","cellid_000000524-1","included","cellid_000000524-16P17"
"382","cellid_000000525-1","included","cellid_000000525-16P17"
"383","cellid_000000526-1","included","cellid_000000526-16P17"
"384","cellid_000000527-1","included","cellid_000000527-16P17"
"385","cellid_000000528-1","included","cellid_000000528-16P17"
"386","cellid_000000529-1","included","cellid_000000529-16P17"
"387","cellid_000000530-1","included","cellid_000000530-16P17"
"388","cellid_000000531-1","included","cellid_000000531-16P17"
"389","cellid_000000532-1","included","cellid_000000532-16P17"
"390","cellid_000000533-1","included","cellid_000000533-16P17"
"391","cellid_000000534-1","included","cellid_000000534-16P17"
"392","cellid_000000535-1","included","cellid_000000535-16P17"
"393","cellid_000000536-1","included","cellid_000000536-16P17"
"394","cellid_000000537-1","included","cellid_000000537-16P17"
"395","cellid_000000538-1","included","cellid_000000538-16P17"
"396","cellid_000000539-1","included","cellid_000000539-16P17"
"397","cellid_000000540-1","included","cellid_000000540-16P17"
"398","cellid_000000541-1","included","cellid_000000541-16P17"
"399","cellid_000000542-1","included","cellid_000000542-16P17"
"400","cellid_000000543-1","included","cellid_000000543-16P17"
"401","cellid_000000544-1","included","cellid_000000544-16P17"
"402","cellid_000000545-1","included","cellid_000000545-16P17"
"403","cellid_000000546-1","included","cellid_000000546-16P17"
"404","cellid_000000548-1","included","cellid_000000548-16P17"
"405","cellid_000000549-1","included","cellid_000000549-16P17"
"406","cellid_000000550-1","included","cellid_000000550-16P17"
"407","cellid_000000551-1","included","cellid_000000551-16P17"
"408","cellid_000000552-1","included","cellid_000000552-16P17"
"409","cellid_000000553-1","included","cellid_000000553-16P17"
"410","cellid_000000554-1","included","cellid_000000554-16P17"
"411","cellid_000000555-1","included","cellid_000000555-16P17"
"412","cellid_000000556-1","included","cellid_000000556-16P17"
"413","cellid_000000557-1","included","cellid_000000557-16P17"
"414","cellid_000000558-1","included","cellid_000000558-16P17"
"415","cellid_000000559-1","included","cellid_000000559-16P17"
"416","cellid_000000560-1","included","cellid_000000560-16P17"
"417","cellid_000000561-1","included","cellid_000000561-16P17"
"418","cellid_000000562-1","included","cellid_000000562-16P17"
"419","cellid_000000563-1","included","cellid_000000563-16P17"
"420","cellid_000000564-1","included","cellid_000000564-16P17"
"421","cellid_000000565-1","included","cellid_000000565-16P17"
"422","cellid_000000566-1","included","cellid_000000566-16P17"
"423","cellid_000000567-1","included","cellid_000000567-16P17"
"424","cellid_000000568-1","included","cellid_000000568-16P17"
"425","cellid_000000569-1","included","cellid_000000569-16P17"
"426","cellid_000000570-1","included","cellid_000000570-16P17"
"427","cellid_000000571-1","included","cellid_000000571-16P17"
"428","cellid_000000572-1","included","cellid_000000572-16P17"
"429","cellid_000000573-1","included","cellid_000000573-16P17"
"430","cellid_000000574-1","included","cellid_000000574-16P17"
"431","cellid_000000575-1","included","cellid_000000575-16P17"
"432","cellid_000000576-1","included","cellid_000000576-16P17"
"433","cellid_000000577-1","included","cellid_000000577-16P17"
"434","cellid_000000578-1","included","cellid_000000578-16P17"
"435","cellid_000000579-1","included","cellid_000000579-16P17"
"436","cellid_000000580-1","included","cellid_000000580-16P17"
"437","cellid_000000581-1","included","cellid_000000581-16P17"
"438","cellid_000000582-1","included","cellid_000000582-16P17"
"439","cellid_000000583-1","included","cellid_000000583-16P17"
"440","cellid_000000584-1","included","cellid_000000584-16P17"
"441","cellid_000000585-1","included","cellid_000000585-16P17"
"442","cellid_000000586-1","included","cellid_000000586-16P17"
"443","cellid_000000587-1","included","cellid_000000587-16P17"
"444","cellid_000000588-1","included","cellid_000000588-16P17"
"445","cellid_000000589-1","included","cellid_000000589-16P17"
"446","cellid_000000590-1","included","cellid_000000590-16P17"
"447","cellid_000000592-1","included","cellid_000000592-16P17"
"448","cellid_000000593-1","included","cellid_000000593-16P17"
"449","cellid_000000594-1","included","cellid_000000594-16P17"
"450","cellid_000000595-1","included","cellid_000000595-16P17"
"451","cellid_000000596-1","included","cellid_000000596-16P17"
"452","cellid_000000597-1","included","cellid_000000597-16P17"
"453","cellid_000000598-1","included","cellid_000000598-16P17"
"454","cellid_000000599-1","included","cellid_000000599-16P17"
"455","cellid_000000600-1","included","cellid_000000600-16P17"
"456","cellid_000000601-1","included","cellid_000000601-16P17"
"457","cellid_000000602-1","included","cellid_000000602-16P17"
"458","cellid_000000603-1","included","cellid_000000603-16P17"
"459","cellid_000000604-1","included","cellid_000000604-16P17"
"460","cellid_000000605-1","included","cellid_000000605-16P17"
"461","cellid_000000606-1","included","cellid_000000606-16P17"
"462","cellid_000000607-1","included","cellid_000000607-16P17"
"463","cellid_000000608-1","included","cellid_000000608-16P17"
"464","cellid_000000609-1","included","cellid_000000609-16P17"
"465","cellid_000000610-1","included","cellid_000000610-16P17"
"466","cellid_000000611-1","included","cellid_000000611-16P17"
"467","cellid_000000612-1","included","cellid_000000612-16P17"
"468","cellid_000000613-1","included","cellid_000000613-16P17"
"469","cellid_000000614-1","included","cellid_000000614-16P17"
"470","cellid_000000615-1","included","cellid_000000615-16P17"
"471","cellid_000000616-1","included","cellid_000000616-16P17"
"472","cellid_000000617-1","included","cellid_000000617-16P17"
"473","cellid_000000618-1","included","cellid_000000618-16P17"
"474","cellid_000000619-1","included","cellid_000000619-16P17"
"475","cellid_000000620-1","included","cellid_000000620-16P17"
"476","cellid_000000621-1","included","cellid_000000621-16P17"
"477","cellid_000000622-1","included","cellid_000000622-16P17"
"478","cellid_000000623-1","included","cellid_000000623-16P17"
"479","cellid_000000624-1","included","cellid_000000624-16P17"
"480","cellid_000000625-1","included","cellid_000000625-16P17"
"481","cellid_000000626-1","included","cellid_000000626-16P17"
"482","cellid_000000627-1","included","cellid_000000627-16P17"
"483","cellid_000000628-1","included","cellid_000000628-16P17"
"484","cellid_000000629-1","included","cellid_000000629-16P17"
"485","cellid_000000630-1","included","cellid_000000630-16P17"
"486","cellid_000000631-1","included","cellid_000000631-16P17"
"487","cellid_000000632-1","included","cellid_000000632-16P17"
"488","cellid_000000633-1","included","cellid_000000633-16P17"
"489","cellid_000000634-1","included","cellid_000000634-16P17"
"490","cellid_000000635-1","included","cellid_000000635-16P17"
"491","cellid_000000636-1","included","cellid_000000636-16P17"
"492","cellid_000000637-1","included","cellid_000000637-16P17"
"493","cellid_000000638-1","included","cellid_000000638-16P17"
"494","cellid_000000639-1","included","cellid_000000639-16P17"
"495","cellid_000000640-1","included","cellid_000000640-16P17"
"496","cellid_000000641-1","included","cellid_000000641-16P17"
"497","cellid_000000642-1","included","cellid_000000642-16P17"
"498","cellid_000000643-1","included","cellid_000000643-16P17"
"499","cellid_000000644-1","included","cellid_000000644-16P17"
