Barcode,Coltan Dissection
cellid_000012433-1,included
cellid_000012434-1,included
cellid_000012435-1,included
cellid_000012437-1,included
cellid_000012439-1,included
cellid_000012441-1,included
cellid_000012443-1,included
cellid_000012445-1,included
cellid_000012446-1,included
cellid_000012448-1,included
cellid_000012453-1,included
cellid_000012455-1,included
cellid_000012458-1,included
cellid_000012459-1,included
cellid_000012460-1,included
cellid_000012462-1,included
cellid_000012465-1,included
cellid_000012467-1,included
cellid_000012469-1,included
cellid_000012470-1,included
cellid_000012471-1,included
cellid_000012472-1,included
cellid_000012473-1,included
cellid_000012474-1,included
cellid_000012476-1,included
cellid_000012478-1,included
cellid_000012479-1,included
cellid_000012480-1,included
cellid_000012482-1,included
cellid_000012484-1,included
cellid_000012486-1,included
cellid_000012488-1,included
cellid_000012489-1,included
cellid_000012491-1,included
cellid_000012492-1,included
cellid_000012496-1,included
cellid_000012497-1,included
cellid_000012498-1,included
cellid_000012499-1,included
cellid_000012501-1,included
cellid_000012502-1,included
cellid_000012503-1,included
cellid_000012504-1,included
cellid_000012505-1,included
cellid_000012507-1,included
cellid_000012508-1,included
cellid_000012512-1,included
cellid_000012513-1,included
cellid_000012514-1,included
cellid_000012515-1,included
cellid_000012516-1,included
cellid_000012517-1,included
cellid_000012518-1,included
cellid_000012520-1,included
cellid_000012524-1,included
cellid_000012525-1,included
cellid_000012528-1,included
cellid_000012529-1,included
cellid_000012531-1,included
cellid_000012532-1,included
cellid_000012534-1,included
cellid_000012535-1,included
cellid_000012537-1,included
cellid_000012539-1,included
cellid_000012540-1,included
cellid_000012541-1,included
cellid_000012544-1,included
cellid_000012547-1,included
cellid_000012549-1,included
cellid_000012552-1,included
cellid_000012554-1,included
cellid_000012558-1,included
cellid_000012559-1,included
cellid_000012561-1,included
cellid_000012564-1,included
cellid_000012566-1,included
cellid_000012568-1,included
cellid_000012569-1,included
cellid_000012570-1,included
cellid_000012572-1,included
cellid_000012576-1,included
cellid_000012578-1,included
cellid_000012579-1,included
cellid_000012580-1,included
cellid_000012581-1,included
cellid_000012582-1,included
cellid_000012584-1,included
cellid_000012586-1,included
cellid_000012587-1,included
cellid_000012589-1,included
cellid_000012590-1,included
cellid_000012591-1,included
cellid_000012592-1,included
cellid_000012593-1,included
cellid_000012594-1,included
cellid_000012598-1,included
cellid_000012599-1,included
cellid_000012600-1,included
cellid_000012601-1,included
cellid_000012603-1,included
cellid_000012605-1,included
cellid_000012606-1,included
cellid_000012608-1,included
cellid_000012610-1,included
cellid_000012612-1,included
cellid_000012614-1,included
cellid_000012615-1,included
cellid_000012616-1,included
cellid_000012617-1,included
cellid_000012618-1,included
cellid_000012619-1,included
cellid_000012620-1,included
cellid_000012621-1,included
cellid_000012622-1,included
cellid_000012624-1,included
cellid_000012625-1,included
cellid_000012626-1,included
cellid_000012627-1,included
cellid_000012628-1,included
cellid_000012629-1,included
cellid_000012630-1,included
cellid_000012631-1,included
cellid_000012634-1,included
cellid_000012635-1,included
cellid_000012636-1,included
cellid_000012638-1,included
cellid_000012639-1,included
cellid_000012640-1,included
cellid_000012641-1,included
cellid_000012643-1,included
cellid_000012644-1,included
cellid_000012645-1,included
cellid_000012646-1,included
cellid_000012647-1,included
cellid_000012649-1,included
cellid_000012650-1,included
cellid_000012651-1,included
cellid_000012656-1,included
cellid_000012657-1,included
cellid_000012658-1,included
cellid_000012660-1,included
cellid_000012662-1,included
cellid_000012663-1,included
cellid_000012665-1,included
cellid_000012666-1,included
cellid_000012668-1,included
cellid_000012669-1,included
cellid_000012672-1,included
cellid_000012673-1,included
cellid_000012674-1,included
cellid_000012675-1,included
cellid_000012677-1,included
cellid_000012678-1,included
cellid_000012679-1,included
cellid_000012682-1,included
cellid_000012683-1,included
cellid_000012685-1,included
cellid_000012686-1,included
cellid_000012687-1,included
cellid_000012688-1,included
cellid_000012690-1,included
cellid_000012691-1,included
cellid_000012692-1,included
cellid_000012694-1,included
cellid_000012695-1,included
cellid_000012696-1,included
cellid_000012697-1,included
cellid_000012698-1,included
cellid_000012699-1,included
cellid_000012701-1,included
cellid_000012702-1,included
cellid_000012703-1,included
cellid_000012705-1,included
cellid_000012708-1,included
cellid_000012709-1,included
cellid_000012711-1,included
cellid_000012713-1,included
cellid_000012715-1,included
cellid_000012716-1,included
cellid_000012717-1,included
cellid_000012718-1,included
cellid_000012720-1,included
cellid_000012721-1,included
cellid_000012722-1,included
cellid_000012725-1,included
cellid_000012727-1,included
cellid_000012728-1,included
cellid_000012729-1,included
cellid_000012730-1,included
cellid_000012731-1,included
cellid_000012732-1,included
cellid_000012735-1,included
cellid_000012737-1,included
cellid_000012738-1,included
cellid_000012740-1,included
cellid_000012741-1,included
cellid_000012742-1,included
cellid_000012743-1,included
cellid_000012744-1,included
cellid_000012746-1,included
cellid_000012747-1,included
cellid_000012748-1,included
cellid_000012749-1,included
cellid_000012750-1,included
cellid_000012752-1,included
cellid_000012753-1,included
cellid_000012754-1,included
cellid_000012755-1,included
cellid_000012757-1,included
cellid_000012758-1,included
cellid_000012759-1,included
cellid_000012761-1,included
cellid_000012764-1,included
cellid_000012765-1,included
cellid_000012766-1,included
cellid_000012767-1,included
cellid_000012768-1,included
cellid_000012769-1,included
cellid_000012770-1,included
cellid_000012771-1,included
cellid_000012772-1,included
cellid_000012773-1,included
cellid_000012775-1,included
cellid_000012777-1,included
cellid_000012778-1,included
cellid_000012779-1,included
cellid_000012780-1,included
cellid_000012781-1,included
cellid_000012782-1,included
cellid_000012784-1,included
cellid_000012785-1,included
cellid_000012786-1,included
cellid_000012787-1,included
cellid_000012788-1,included
cellid_000012792-1,included
cellid_000012793-1,included
cellid_000012794-1,included
cellid_000012797-1,included
cellid_000012798-1,included
cellid_000012799-1,included
cellid_000012800-1,included
cellid_000012801-1,included
cellid_000012802-1,included
cellid_000012805-1,included
cellid_000012806-1,included
cellid_000012807-1,included
cellid_000012808-1,included
