Barcode,Coltan DIssection
cellid_000000008-1,included
cellid_000000009-1,included
cellid_000000011-1,included
cellid_000000014-1,included
cellid_000000015-1,included
cellid_000000019-1,included
cellid_000000024-1,included
cellid_000000026-1,included
cellid_000000035-1,included
cellid_000000039-1,included
cellid_000000046-1,included
cellid_000000051-1,included
cellid_000000053-1,included
cellid_000000054-1,included
cellid_000000055-1,included
cellid_000000057-1,included
cellid_000000059-1,included
cellid_000000061-1,included
cellid_000000065-1,included
cellid_000000068-1,included
cellid_000000069-1,included
cellid_000000071-1,included
cellid_000000072-1,included
cellid_000000079-1,included
cellid_000000082-1,included
cellid_000000085-1,included
cellid_000000088-1,included
cellid_000000091-1,included
cellid_000000093-1,included
cellid_000000095-1,included
cellid_000000097-1,included
cellid_000000099-1,included
cellid_000000102-1,included
cellid_000000103-1,included
cellid_000000104-1,included
cellid_000000105-1,included
cellid_000000106-1,included
cellid_000000108-1,included
cellid_000000110-1,included
cellid_000000111-1,included
cellid_000000115-1,included
cellid_000000116-1,included
cellid_000000118-1,included
cellid_000000120-1,included
cellid_000000126-1,included
cellid_000000128-1,included
cellid_000000134-1,included
cellid_000000135-1,included
cellid_000000136-1,included
cellid_000000144-1,included
cellid_000000147-1,included
cellid_000000148-1,included
cellid_000000151-1,included
cellid_000000152-1,included
cellid_000000153-1,included
cellid_000000156-1,included
cellid_000000161-1,included
cellid_000000163-1,included
cellid_000000166-1,included
cellid_000000168-1,included
cellid_000000172-1,included
cellid_000000176-1,included
cellid_000000177-1,included
cellid_000000180-1,included
cellid_000000184-1,included
cellid_000000187-1,included
cellid_000000188-1,included
cellid_000000190-1,included
cellid_000000195-1,included
cellid_000000198-1,included
cellid_000000201-1,included
cellid_000000203-1,included
cellid_000000204-1,included
cellid_000000207-1,included
cellid_000000214-1,included
cellid_000000216-1,included
cellid_000000217-1,included
cellid_000000220-1,included
cellid_000000221-1,included
cellid_000000222-1,included
cellid_000000223-1,included
cellid_000000224-1,included
cellid_000000225-1,included
cellid_000000226-1,included
cellid_000000227-1,included
cellid_000000228-1,included
cellid_000000229-1,included
cellid_000000230-1,included
cellid_000000231-1,included
cellid_000000232-1,included
cellid_000000233-1,included
cellid_000000234-1,included
cellid_000000235-1,included
cellid_000000236-1,included
cellid_000000237-1,included
cellid_000000238-1,included
cellid_000000239-1,included
cellid_000000240-1,included
cellid_000000241-1,included
cellid_000000242-1,included
cellid_000000243-1,included
cellid_000000244-1,included
cellid_000000245-1,included
cellid_000000246-1,included
cellid_000000247-1,included
cellid_000000248-1,included
cellid_000000249-1,included
cellid_000000250-1,included
cellid_000000251-1,included
cellid_000000252-1,included
cellid_000000253-1,included
cellid_000000254-1,included
cellid_000000255-1,included
cellid_000000256-1,included
cellid_000000257-1,included
cellid_000000258-1,included
cellid_000000259-1,included
cellid_000000260-1,included
cellid_000000261-1,included
cellid_000000262-1,included
cellid_000000263-1,included
cellid_000000264-1,included
cellid_000000265-1,included
cellid_000000266-1,included
cellid_000000267-1,included
cellid_000000268-1,included
cellid_000000269-1,included
cellid_000000270-1,included
cellid_000000271-1,included
cellid_000000272-1,included
cellid_000000273-1,included
cellid_000000274-1,included
cellid_000000275-1,included
cellid_000000276-1,included
cellid_000000277-1,included
cellid_000000278-1,included
cellid_000000279-1,included
cellid_000000280-1,included
cellid_000000281-1,included
cellid_000000282-1,included
cellid_000000283-1,included
cellid_000000284-1,included
cellid_000000285-1,included
cellid_000000286-1,included
cellid_000000287-1,included
cellid_000000288-1,included
cellid_000000289-1,included
cellid_000000290-1,included
cellid_000000291-1,included
cellid_000000292-1,included
cellid_000000293-1,included
cellid_000000294-1,included
cellid_000000295-1,included
cellid_000000296-1,included
cellid_000000297-1,included
cellid_000000298-1,included
cellid_000000299-1,included
cellid_000000300-1,included
cellid_000000301-1,included
cellid_000000302-1,included
cellid_000000303-1,included
cellid_000000304-1,included
cellid_000000305-1,included
cellid_000000306-1,included
cellid_000000307-1,included
cellid_000000308-1,included
cellid_000000309-1,included
cellid_000000311-1,included
cellid_000000312-1,included
cellid_000000313-1,included
cellid_000000314-1,included
cellid_000000315-1,included
cellid_000000316-1,included
cellid_000000317-1,included
cellid_000000318-1,included
cellid_000000319-1,included
cellid_000000320-1,included
cellid_000000321-1,included
cellid_000000322-1,included
cellid_000000323-1,included
cellid_000000324-1,included
cellid_000000325-1,included
cellid_000000326-1,included
cellid_000000327-1,included
cellid_000000328-1,included
cellid_000000329-1,included
cellid_000000330-1,included
cellid_000000331-1,included
cellid_000000332-1,included
cellid_000000333-1,included
cellid_000000334-1,included
cellid_000000335-1,included
cellid_000000336-1,included
cellid_000000337-1,included
cellid_000000338-1,included
cellid_000000339-1,included
cellid_000000340-1,included
cellid_000000341-1,included
cellid_000000342-1,included
cellid_000000343-1,included
cellid_000000344-1,included
cellid_000000345-1,included
cellid_000000346-1,included
cellid_000000347-1,included
cellid_000000348-1,included
cellid_000000349-1,included
cellid_000000350-1,included
cellid_000000351-1,included
cellid_000000352-1,included
cellid_000000353-1,included
cellid_000000354-1,included
cellid_000000355-1,included
cellid_000000356-1,included
cellid_000000357-1,included
cellid_000000358-1,included
cellid_000000359-1,included
cellid_000000360-1,included
cellid_000000361-1,included
cellid_000000362-1,included
cellid_000000363-1,included
cellid_000000364-1,included
cellid_000000365-1,included
cellid_000000366-1,included
cellid_000000367-1,included
cellid_000000368-1,included
cellid_000000369-1,included
cellid_000000370-1,included
cellid_000000371-1,included
cellid_000000372-1,included
cellid_000000373-1,included
cellid_000000374-1,included
cellid_000000375-1,included
cellid_000000376-1,included
cellid_000000377-1,included
cellid_000000378-1,included
cellid_000000379-1,included
cellid_000000380-1,included
cellid_000000381-1,included
cellid_000000382-1,included
cellid_000000383-1,included
cellid_000000384-1,included
cellid_000000385-1,included
cellid_000000386-1,included
cellid_000000387-1,included
cellid_000000388-1,included
cellid_000000389-1,included
cellid_000000390-1,included
cellid_000000391-1,included
cellid_000000392-1,included
cellid_000000393-1,included
cellid_000000394-1,included
cellid_000000395-1,included
cellid_000000396-1,included
cellid_000000397-1,included
cellid_000000398-1,included
cellid_000000399-1,included
cellid_000000400-1,included
cellid_000000401-1,included
cellid_000000402-1,included
cellid_000000403-1,included
cellid_000000404-1,included
cellid_000000405-1,included
cellid_000000406-1,included
cellid_000000407-1,included
cellid_000000408-1,included
cellid_000000409-1,included
cellid_000000410-1,included
cellid_000000411-1,included
cellid_000000412-1,included
cellid_000000413-1,included
cellid_000000414-1,included
cellid_000000415-1,included
cellid_000000416-1,included
cellid_000000417-1,included
cellid_000000418-1,included
cellid_000000419-1,included
cellid_000000420-1,included
cellid_000000421-1,included
cellid_000000422-1,included
cellid_000000423-1,included
cellid_000000424-1,included
cellid_000000425-1,included
cellid_000000426-1,included
cellid_000000427-1,included
cellid_000000428-1,included
cellid_000000429-1,included
cellid_000000430-1,included
cellid_000000431-1,included
cellid_000000432-1,included
cellid_000000433-1,included
cellid_000000434-1,included
cellid_000000435-1,included
cellid_000000436-1,included
cellid_000000437-1,included
cellid_000000438-1,included
cellid_000000439-1,included
cellid_000000440-1,included
cellid_000000441-1,included
cellid_000000442-1,included
cellid_000000443-1,included
cellid_000000444-1,included
cellid_000000445-1,included
cellid_000000446-1,included
cellid_000000447-1,included
cellid_000000448-1,included
cellid_000000449-1,included
cellid_000000450-1,included
cellid_000000451-1,included
cellid_000000452-1,included
cellid_000000453-1,included
cellid_000000454-1,included
cellid_000000455-1,included
cellid_000000456-1,included
cellid_000000457-1,included
cellid_000000458-1,included
cellid_000000459-1,included
