"Barcode","res_2"
"cellid_000000323-1",NA
"cellid_000000326-1","8"
"cellid_000000327-1",NA
"cellid_000000328-1",NA
"cellid_000000329-1",NA
"cellid_000000331-1",NA
"cellid_000000332-1","3"
"cellid_000000333-1",NA
"cellid_000000335-1",NA
"cellid_000000337-1",NA
"cellid_000000338-1",NA
"cellid_000000339-1",NA
"cellid_000000341-1",NA
"cellid_000000342-1",NA
"cellid_000000343-1",NA
"cellid_000000344-1",NA
"cellid_000000345-1",NA
"cellid_000000346-1",NA
"cellid_000000347-1",NA
"cellid_000000349-1",NA
"cellid_000000350-1",NA
"cellid_000000351-1",NA
"cellid_000000352-1",NA
"cellid_000000354-1",NA
"cellid_000000355-1",NA
"cellid_000000356-1",NA
"cellid_000000358-1",NA
"cellid_000000359-1",NA
"cellid_000000363-1",NA
"cellid_000000364-1","18"
"cellid_000000365-1",NA
"cellid_000000366-1",NA
"cellid_000000367-1",NA
"cellid_000000368-1",NA
"cellid_000000369-1",NA
"cellid_000000370-1",NA
"cellid_000000371-1",NA
"cellid_000000372-1",NA
"cellid_000000373-1",NA
"cellid_000000375-1",NA
"cellid_000000378-1",NA
"cellid_000000381-1",NA
"cellid_000000382-1",NA
"cellid_000000383-1",NA
"cellid_000000385-1",NA
"cellid_000000387-1",NA
"cellid_000000389-1",NA
"cellid_000000390-1",NA
"cellid_000000391-1",NA
"cellid_000000392-1",NA
"cellid_000000394-1",NA
"cellid_000000396-1",NA
"cellid_000000397-1",NA
"cellid_000000399-1",NA
"cellid_000000401-1",NA
"cellid_000000402-1",NA
"cellid_000000404-1",NA
"cellid_000000406-1",NA
"cellid_000000407-1","9"
"cellid_000000410-1",NA
"cellid_000000411-1",NA
"cellid_000000412-1",NA
"cellid_000000414-1",NA
"cellid_000000417-1",NA
"cellid_000000418-1",NA
"cellid_000000419-1",NA
"cellid_000000421-1",NA
"cellid_000000423-1",NA
"cellid_000000425-1",NA
"cellid_000000426-1",NA
"cellid_000000428-1",NA
"cellid_000000429-1",NA
"cellid_000000430-1",NA
"cellid_000000431-1",NA
"cellid_000000432-1",NA
"cellid_000000433-1",NA
"cellid_000000434-1",NA
"cellid_000000435-1","9"
"cellid_000000436-1",NA
"cellid_000000437-1",NA
"cellid_000000438-1",NA
"cellid_000000440-1",NA
"cellid_000000441-1",NA
"cellid_000000442-1",NA
"cellid_000000443-1",NA
"cellid_000000444-1","7"
"cellid_000000446-1",NA
"cellid_000000447-1",NA
"cellid_000000448-1","22"
"cellid_000000449-1",NA
"cellid_000000450-1",NA
"cellid_000000452-1",NA
"cellid_000000453-1",NA
"cellid_000000454-1",NA
"cellid_000000455-1",NA
"cellid_000000456-1",NA
"cellid_000000457-1",NA
"cellid_000000458-1",NA
"cellid_000000459-1",NA
"cellid_000000460-1",NA
"cellid_000000461-1",NA
"cellid_000000462-1",NA
"cellid_000000463-1","12"
"cellid_000000465-1",NA
"cellid_000000466-1",NA
"cellid_000000468-1",NA
"cellid_000000469-1",NA
"cellid_000000470-1",NA
"cellid_000000471-1",NA
"cellid_000000473-1",NA
"cellid_000000474-1",NA
"cellid_000000476-1",NA
"cellid_000000477-1",NA
"cellid_000000478-1",NA
"cellid_000000480-1",NA
"cellid_000000481-1",NA
"cellid_000000484-1",NA
"cellid_000000485-1","6"
"cellid_000000487-1",NA
"cellid_000000488-1",NA
"cellid_000000489-1",NA
"cellid_000000490-1",NA
"cellid_000000492-1",NA
"cellid_000000495-1",NA
"cellid_000000496-1",NA
"cellid_000000498-1",NA
"cellid_000000499-1",NA
"cellid_000000501-1",NA
"cellid_000000502-1",NA
"cellid_000000503-1",NA
"cellid_000000504-1","10"
"cellid_000000508-1",NA
"cellid_000000509-1",NA
"cellid_000000511-1",NA
"cellid_000000513-1",NA
"cellid_000000514-1",NA
"cellid_000000515-1",NA
"cellid_000000516-1",NA
"cellid_000000517-1","12"
"cellid_000000519-1",NA
"cellid_000000520-1",NA
"cellid_000000521-1",NA
"cellid_000000522-1",NA
"cellid_000000523-1",NA
"cellid_000000524-1",NA
"cellid_000000525-1",NA
"cellid_000000526-1",NA
"cellid_000000527-1",NA
"cellid_000000528-1",NA
"cellid_000000530-1",NA
"cellid_000000533-1",NA
"cellid_000000534-1",NA
"cellid_000000535-1",NA
"cellid_000000538-1",NA
"cellid_000000539-1",NA
"cellid_000000541-1",NA
"cellid_000000543-1",NA
"cellid_000000544-1",NA
"cellid_000000545-1",NA
"cellid_000000546-1",NA
"cellid_000000547-1",NA
"cellid_000000548-1",NA
"cellid_000000550-1",NA
"cellid_000000552-1",NA
"cellid_000000553-1",NA
"cellid_000000555-1",NA
"cellid_000000556-1",NA
"cellid_000000557-1",NA
"cellid_000000558-1",NA
"cellid_000000559-1",NA
"cellid_000000560-1",NA
"cellid_000000561-1",NA
"cellid_000000562-1",NA
"cellid_000000564-1",NA
"cellid_000000567-1",NA
"cellid_000000568-1",NA
"cellid_000000570-1",NA
"cellid_000000571-1",NA
"cellid_000000573-1",NA
"cellid_000000576-1",NA
"cellid_000000578-1",NA
"cellid_000000580-1",NA
"cellid_000000582-1",NA
"cellid_000000583-1",NA
"cellid_000000586-1",NA
"cellid_000000587-1",NA
"cellid_000000588-1",NA
"cellid_000000592-1",NA
"cellid_000000593-1",NA
"cellid_000000594-1",NA
"cellid_000000597-1",NA
"cellid_000000598-1",NA
"cellid_000000599-1",NA
"cellid_000000605-1","4"
"cellid_000000607-1",NA
"cellid_000000612-1",NA
"cellid_000000613-1",NA
"cellid_000000614-1",NA
"cellid_000000615-1",NA
"cellid_000000616-1",NA
"cellid_000000617-1",NA
"cellid_000000618-1","4"
"cellid_000000619-1",NA
"cellid_000000620-1",NA
"cellid_000000623-1",NA
"cellid_000000624-1",NA
"cellid_000000626-1",NA
"cellid_000000629-1",NA
"cellid_000000630-1",NA
"cellid_000000631-1",NA
"cellid_000000633-1",NA
"cellid_000000634-1",NA
"cellid_000000636-1",NA
"cellid_000000637-1",NA
"cellid_000000640-1",NA
"cellid_000000643-1",NA
"cellid_000000644-1",NA
"cellid_000000645-1",NA
"cellid_000000646-1",NA
"cellid_000000647-1",NA
"cellid_000000648-1","30"
"cellid_000000649-1",NA
"cellid_000000650-1",NA
"cellid_000000651-1",NA
"cellid_000000652-1",NA
"cellid_000000653-1",NA
"cellid_000000655-1",NA
"cellid_000000658-1",NA
"cellid_000000659-1",NA
"cellid_000000660-1",NA
"cellid_000000661-1",NA
"cellid_000000664-1",NA
"cellid_000000665-1","4"
"cellid_000000667-1",NA
"cellid_000000668-1",NA
"cellid_000000671-1",NA
"cellid_000000674-1",NA
"cellid_000000675-1",NA
"cellid_000000676-1",NA
"cellid_000000677-1",NA
"cellid_000000683-1",NA
"cellid_000000684-1",NA
"cellid_000000686-1",NA
"cellid_000000687-1",NA
"cellid_000000688-1",NA
"cellid_000000690-1",NA
"cellid_000000691-1","12"
"cellid_000000692-1","4"
"cellid_000000694-1","18"
"cellid_000000695-1",NA
"cellid_000000697-1",NA
"cellid_000000698-1",NA
"cellid_000000699-1","14"
"cellid_000000701-1",NA
"cellid_000000702-1",NA
"cellid_000000703-1",NA
"cellid_000000705-1","9"
"cellid_000000706-1",NA
"cellid_000000707-1","0"
"cellid_000000709-1",NA
"cellid_000000713-1",NA
"cellid_000000714-1",NA
"cellid_000000719-1",NA
"cellid_000000720-1",NA
"cellid_000000721-1",NA
"cellid_000000725-1",NA
"cellid_000000726-1",NA
"cellid_000000727-1",NA
"cellid_000000728-1",NA
"cellid_000000729-1",NA
"cellid_000000730-1",NA
"cellid_000000731-1",NA
"cellid_000000732-1",NA
"cellid_000000736-1",NA
"cellid_000000737-1",NA
"cellid_000000738-1",NA
"cellid_000000741-1",NA
"cellid_000000742-1",NA
"cellid_000000743-1","9"
"cellid_000000745-1",NA
"cellid_000000746-1",NA
"cellid_000000747-1",NA
"cellid_000000748-1",NA
"cellid_000000749-1",NA
"cellid_000000750-1",NA
"cellid_000000751-1",NA
"cellid_000000754-1",NA
"cellid_000000755-1",NA
"cellid_000000756-1",NA
"cellid_000000758-1",NA
"cellid_000000759-1",NA
"cellid_000000760-1",NA
"cellid_000000761-1",NA
"cellid_000000762-1",NA
"cellid_000000763-1",NA
"cellid_000000765-1",NA
"cellid_000000766-1",NA
"cellid_000000767-1",NA
"cellid_000000770-1",NA
"cellid_000000771-1",NA
"cellid_000000773-1",NA
"cellid_000000774-1",NA
"cellid_000000775-1",NA
