Barcode,Coltan Dissection
cellid_000026963-1,included
cellid_000026965-1,included
cellid_000026966-1,included
cellid_000026967-1,included
cellid_000026969-1,included
cellid_000026970-1,included
cellid_000026971-1,included
cellid_000026973-1,included
cellid_000026978-1,included
cellid_000026979-1,included
cellid_000026980-1,included
cellid_000026981-1,included
cellid_000026982-1,included
cellid_000026983-1,included
cellid_000026986-1,included
cellid_000026989-1,included
cellid_000026993-1,included
cellid_000026994-1,included
cellid_000026995-1,included
cellid_000026997-1,included
cellid_000026999-1,included
cellid_000027002-1,included
cellid_000027003-1,included
cellid_000027006-1,included
cellid_000027008-1,included
cellid_000027010-1,included
cellid_000027011-1,included
cellid_000027012-1,included
cellid_000027014-1,included
cellid_000027015-1,included
cellid_000027018-1,included
cellid_000027019-1,included
cellid_000027020-1,included
cellid_000027021-1,included
cellid_000027023-1,included
cellid_000027026-1,included
cellid_000027027-1,included
cellid_000027028-1,included
cellid_000027029-1,included
cellid_000027033-1,included
cellid_000027034-1,included
cellid_000027035-1,included
cellid_000027038-1,included
cellid_000027039-1,included
cellid_000027040-1,included
cellid_000027041-1,included
cellid_000027042-1,included
cellid_000027049-1,included
cellid_000027050-1,included
cellid_000027052-1,included
cellid_000027053-1,included
cellid_000027055-1,included
cellid_000027057-1,included
cellid_000027059-1,included
cellid_000027065-1,included
cellid_000027066-1,included
cellid_000027067-1,included
cellid_000027068-1,included
cellid_000027069-1,included
cellid_000027070-1,included
cellid_000027072-1,included
cellid_000027076-1,included
cellid_000027077-1,included
cellid_000027078-1,included
cellid_000027080-1,included
cellid_000027081-1,included
cellid_000027083-1,included
cellid_000027087-1,included
cellid_000027091-1,included
cellid_000027092-1,included
cellid_000027096-1,included
cellid_000027097-1,included
cellid_000027099-1,included
cellid_000027100-1,included
cellid_000027102-1,included
cellid_000027103-1,included
cellid_000027104-1,included
cellid_000027105-1,included
cellid_000027107-1,included
cellid_000027108-1,included
cellid_000027111-1,included
cellid_000027112-1,included
cellid_000027114-1,included
cellid_000027115-1,included
cellid_000027117-1,included
cellid_000027120-1,included
cellid_000027121-1,included
cellid_000027122-1,included
cellid_000027126-1,included
cellid_000027128-1,included
cellid_000027133-1,included
cellid_000027139-1,included
cellid_000027140-1,included
cellid_000027144-1,included
cellid_000027146-1,included
cellid_000027147-1,included
cellid_000027148-1,included
cellid_000027149-1,included
cellid_000027151-1,included
cellid_000027152-1,included
cellid_000027153-1,included
cellid_000027155-1,included
cellid_000027156-1,included
cellid_000027157-1,included
cellid_000027158-1,included
cellid_000027160-1,included
cellid_000027163-1,included
cellid_000027164-1,included
cellid_000027170-1,included
cellid_000027172-1,included
cellid_000027173-1,included
cellid_000027176-1,included
cellid_000027177-1,included
cellid_000027178-1,included
cellid_000027179-1,included
cellid_000027182-1,included
cellid_000027183-1,included
cellid_000027185-1,included
cellid_000027189-1,included
cellid_000027190-1,included
cellid_000027191-1,included
cellid_000027192-1,included
cellid_000027193-1,included
cellid_000027194-1,included
cellid_000027196-1,included
cellid_000027200-1,included
cellid_000027202-1,included
cellid_000027203-1,included
cellid_000027204-1,included
cellid_000027208-1,included
cellid_000027209-1,included
cellid_000027211-1,included
cellid_000027213-1,included
cellid_000027214-1,included
cellid_000027215-1,included
cellid_000027222-1,included
cellid_000027223-1,included
cellid_000027224-1,included
cellid_000027226-1,included
cellid_000027228-1,included
cellid_000027229-1,included
cellid_000027230-1,included
cellid_000027231-1,included
cellid_000027233-1,included
cellid_000027237-1,included
cellid_000027244-1,included
cellid_000027245-1,included
cellid_000027247-1,included
cellid_000027252-1,included
cellid_000027256-1,included
cellid_000027258-1,included
cellid_000027260-1,included
cellid_000027261-1,included
cellid_000027262-1,included
cellid_000027263-1,included
cellid_000027264-1,included
cellid_000027265-1,included
cellid_000027270-1,included
cellid_000027271-1,included
cellid_000027272-1,included
cellid_000027274-1,included
cellid_000027275-1,included
cellid_000027276-1,included
cellid_000027277-1,included
cellid_000027278-1,included
cellid_000027279-1,included
cellid_000027282-1,included
cellid_000027287-1,included
cellid_000027289-1,included
cellid_000027290-1,included
cellid_000027294-1,included
cellid_000027295-1,included
cellid_000027296-1,included
cellid_000027298-1,included
cellid_000027299-1,included
cellid_000027301-1,included
cellid_000027302-1,included
cellid_000027303-1,included
cellid_000027308-1,included
cellid_000027310-1,included
cellid_000027312-1,included
cellid_000027315-1,included
cellid_000027316-1,included
cellid_000027318-1,included
cellid_000027323-1,included
cellid_000027324-1,included
cellid_000027326-1,included
cellid_000027327-1,included
cellid_000027329-1,included
cellid_000027330-1,included
cellid_000027332-1,included
cellid_000027336-1,included
cellid_000027341-1,included
cellid_000027343-1,included
cellid_000027344-1,included
cellid_000027346-1,included
cellid_000027347-1,included
cellid_000027348-1,included
cellid_000027349-1,included
cellid_000027352-1,included
cellid_000027355-1,included
cellid_000027356-1,included
cellid_000027357-1,included
cellid_000027358-1,included
cellid_000027359-1,included
cellid_000027361-1,included
cellid_000027362-1,included
cellid_000027365-1,included
cellid_000027366-1,included
cellid_000027367-1,included
cellid_000027370-1,included
cellid_000027375-1,included
cellid_000027377-1,included
cellid_000027382-1,included
cellid_000027386-1,included
cellid_000027388-1,included
cellid_000027389-1,included
cellid_000027396-1,included
cellid_000027398-1,included
cellid_000027399-1,included
cellid_000027403-1,included
cellid_000027405-1,included
cellid_000027407-1,included
cellid_000027408-1,included
cellid_000027412-1,included
cellid_000027416-1,included
cellid_000027419-1,included
cellid_000027420-1,included
cellid_000027424-1,included
cellid_000027425-1,included
cellid_000027427-1,included
cellid_000027432-1,included
cellid_000027434-1,included
cellid_000027435-1,included
cellid_000027438-1,included
cellid_000027440-1,included
cellid_000027441-1,included
cellid_000027443-1,included
cellid_000027448-1,included
cellid_000027449-1,included
cellid_000027451-1,included
cellid_000027452-1,included
cellid_000027455-1,included
cellid_000027457-1,included
cellid_000027459-1,included
cellid_000027460-1,included
cellid_000027461-1,included
cellid_000027464-1,included
cellid_000027466-1,included
cellid_000027469-1,included
cellid_000027473-1,included
cellid_000027474-1,included
cellid_000027476-1,included
cellid_000027480-1,included
cellid_000027482-1,included
cellid_000027485-1,included
cellid_000027487-1,included
cellid_000027489-1,included
cellid_000027490-1,included
cellid_000027492-1,included
cellid_000027495-1,included
cellid_000027499-1,included
cellid_000027501-1,included
cellid_000027506-1,included
cellid_000027507-1,included
cellid_000027510-1,included
cellid_000027511-1,included
cellid_000027512-1,included
cellid_000027513-1,included
cellid_000027514-1,included
cellid_000027522-1,included
cellid_000027523-1,included
cellid_000027525-1,included
cellid_000027528-1,included
cellid_000027530-1,included
cellid_000027531-1,included
cellid_000027532-1,included
cellid_000027534-1,included
cellid_000027535-1,included
cellid_000027538-1,included
cellid_000027541-1,included
cellid_000027543-1,included
cellid_000027544-1,included
cellid_000027548-1,included
cellid_000027550-1,included
cellid_000027551-1,included
cellid_000027552-1,included
cellid_000027555-1,included
cellid_000027558-1,included
cellid_000027560-1,included
cellid_000027562-1,included
cellid_000027563-1,included
cellid_000027565-1,included
cellid_000027566-1,included
cellid_000027567-1,included
cellid_000027568-1,included
cellid_000027571-1,included
cellid_000027572-1,included
cellid_000027574-1,included
cellid_000027575-1,included
cellid_000027580-1,included
cellid_000027588-1,included
cellid_000027589-1,included
cellid_000027591-1,included
