Barcode,Dissection
cellid_000112976-1,poa dissection
cellid_000112978-1,poa dissection
cellid_000112979-1,poa dissection
cellid_000112981-1,poa dissection
cellid_000112986-1,poa dissection
cellid_000112990-1,poa dissection
cellid_000112994-1,poa dissection
cellid_000112995-1,poa dissection
cellid_000112996-1,poa dissection
cellid_000113001-1,poa dissection
cellid_000113002-1,poa dissection
cellid_000113006-1,poa dissection
cellid_000113007-1,poa dissection
cellid_000113009-1,poa dissection
cellid_000113019-1,poa dissection
cellid_000113026-1,poa dissection
cellid_000113029-1,poa dissection
cellid_000113030-1,poa dissection
cellid_000113033-1,poa dissection
cellid_000113034-1,poa dissection
cellid_000113035-1,poa dissection
cellid_000113040-1,poa dissection
cellid_000113048-1,poa dissection
cellid_000113049-1,poa dissection
cellid_000113050-1,poa dissection
cellid_000113051-1,poa dissection
cellid_000113052-1,poa dissection
cellid_000113058-1,poa dissection
cellid_000113065-1,poa dissection
cellid_000113066-1,poa dissection
cellid_000113067-1,poa dissection
cellid_000113070-1,poa dissection
cellid_000113075-1,poa dissection
cellid_000113077-1,poa dissection
cellid_000113078-1,poa dissection
cellid_000113079-1,poa dissection
cellid_000113082-1,poa dissection
cellid_000113084-1,poa dissection
cellid_000113085-1,poa dissection
cellid_000113086-1,poa dissection
cellid_000113087-1,poa dissection
cellid_000113089-1,poa dissection
cellid_000113090-1,poa dissection
cellid_000113091-1,poa dissection
cellid_000113092-1,poa dissection
cellid_000113095-1,poa dissection
cellid_000113099-1,poa dissection
cellid_000113100-1,poa dissection
cellid_000113102-1,poa dissection
cellid_000113105-1,poa dissection
cellid_000113109-1,poa dissection
cellid_000113110-1,poa dissection
cellid_000113112-1,poa dissection
cellid_000113113-1,poa dissection
cellid_000113117-1,poa dissection
cellid_000113123-1,poa dissection
cellid_000113124-1,poa dissection
cellid_000113127-1,poa dissection
cellid_000113128-1,poa dissection
cellid_000113129-1,poa dissection
cellid_000113130-1,poa dissection
cellid_000113133-1,poa dissection
cellid_000113140-1,poa dissection
cellid_000113141-1,poa dissection
cellid_000113146-1,poa dissection
cellid_000113147-1,poa dissection
cellid_000113150-1,poa dissection
cellid_000113151-1,poa dissection
cellid_000113153-1,poa dissection
cellid_000113155-1,poa dissection
cellid_000113156-1,poa dissection
cellid_000113158-1,poa dissection
cellid_000113165-1,poa dissection
cellid_000113170-1,poa dissection
cellid_000113174-1,poa dissection
cellid_000113176-1,poa dissection
cellid_000113179-1,poa dissection
cellid_000113182-1,poa dissection
cellid_000113183-1,poa dissection
cellid_000113186-1,poa dissection
cellid_000113187-1,poa dissection
cellid_000113188-1,poa dissection
cellid_000113191-1,poa dissection
cellid_000113196-1,poa dissection
cellid_000113198-1,poa dissection
cellid_000113200-1,poa dissection
cellid_000113203-1,poa dissection
cellid_000113211-1,poa dissection
cellid_000113213-1,poa dissection
cellid_000113216-1,poa dissection
cellid_000113218-1,poa dissection
cellid_000113223-1,poa dissection
cellid_000113225-1,poa dissection
cellid_000113227-1,poa dissection
cellid_000113228-1,poa dissection
cellid_000113231-1,poa dissection
cellid_000113239-1,poa dissection
cellid_000113240-1,poa dissection
cellid_000113241-1,poa dissection
cellid_000113243-1,poa dissection
cellid_000113244-1,poa dissection
cellid_000113250-1,poa dissection
cellid_000113251-1,poa dissection
cellid_000113254-1,poa dissection
cellid_000113255-1,poa dissection
cellid_000113258-1,poa dissection
cellid_000113259-1,poa dissection
cellid_000113260-1,poa dissection
cellid_000113261-1,poa dissection
