"Barcode","multiome_predicted"
"cellid_000000009-1","6"
"cellid_000000012-1","0"
"cellid_000000015-1","24"
"cellid_000000016-1","24"
"cellid_000000017-1","3"
"cellid_000000020-1","3"
"cellid_000000021-1","3"
"cellid_000000024-1","3"
"cellid_000000026-1","24"
"cellid_000000030-1","3"
"cellid_000000034-1","24"
"cellid_000000035-1","0"
"cellid_000000038-1","0"
"cellid_000000040-1","24"
"cellid_000000041-1","3"
"cellid_000000044-1","3"
"cellid_000000046-1","24"
"cellid_000000048-1","0"
"cellid_000000052-1","0"
"cellid_000000053-1","0"
"cellid_000000054-1","3"
"cellid_000000055-1","3"
"cellid_000000056-1","24"
"cellid_000000058-1","0"
"cellid_000000061-1","3"
"cellid_000000065-1","0"
"cellid_000000068-1","3"
"cellid_000000070-1","24"
"cellid_000000073-1","6"
"cellid_000000074-1","3"
"cellid_000000075-1","3"
"cellid_000000076-1","3"
"cellid_000000079-1","0"
"cellid_000000081-1","24"
"cellid_000000082-1","24"
"cellid_000000088-1","24"
"cellid_000000089-1","0"
"cellid_000000099-1","3"
"cellid_000000102-1","24"
"cellid_000000104-1","6"
"cellid_000000107-1","3"
"cellid_000000109-1","3"
"cellid_000000114-1","0"
"cellid_000000115-1","0"
"cellid_000000128-1","3"
"cellid_000000130-1","22"
"cellid_000000135-1","3"
"cellid_000000137-1","3"
"cellid_000000140-1","3"
"cellid_000000144-1","3"
"cellid_000000149-1","6"
"cellid_000000150-1","24"
"cellid_000000153-1","0"
"cellid_000000154-1","24"
"cellid_000000155-1","3"
"cellid_000000156-1","0"
"cellid_000000157-1","24"
"cellid_000000162-1","0"
"cellid_000000163-1","3"
"cellid_000000165-1","3"
"cellid_000000166-1","3"
"cellid_000000167-1","0"
"cellid_000000169-1","3"
"cellid_000000170-1","24"
"cellid_000000171-1","0"
"cellid_000000172-1","0"
"cellid_000000174-1","3"
"cellid_000000176-1","0"
"cellid_000000178-1","24"
"cellid_000000180-1","3"
"cellid_000000181-1","3"
"cellid_000000182-1","0"
"cellid_000000185-1","3"
"cellid_000000191-1","24"
"cellid_000000192-1","0"
"cellid_000000193-1","7"
"cellid_000000194-1","3"
"cellid_000000196-1","6"
"cellid_000000201-1","3"
"cellid_000000203-1","3"
"cellid_000000205-1","3"
"cellid_000000208-1","24"
"cellid_000000210-1","0"
"cellid_000000216-1","24"
"cellid_000000217-1","0"
"cellid_000000218-1","3"
"cellid_000000219-1","0"
"cellid_000000221-1","3"
"cellid_000000225-1","3"
"cellid_000000229-1","3"
"cellid_000000230-1","6"
"cellid_000000231-1","3"
"cellid_000000232-1","24"
"cellid_000000240-1","0"
"cellid_000000242-1","3"
"cellid_000000244-1","24"
"cellid_000000245-1","0"
"cellid_000000246-1","24"
"cellid_000000254-1","24"
"cellid_000000255-1","3"
"cellid_000000257-1","14"
"cellid_000000258-1","3"
"cellid_000000261-1","3"
"cellid_000000263-1","3"
"cellid_000000264-1","3"
"cellid_000000271-1","0"
"cellid_000000272-1","6"
"cellid_000000274-1","3"
"cellid_000000278-1","0"
"cellid_000000284-1","24"
"cellid_000000287-1","3"
"cellid_000000288-1","3"
"cellid_000000289-1","3"
"cellid_000000294-1","0"
"cellid_000000295-1","3"
"cellid_000000296-1","6"
"cellid_000000297-1","0"
"cellid_000000298-1","24"
"cellid_000000299-1","24"
"cellid_000000304-1","3"
"cellid_000000307-1","3"
"cellid_000000308-1","3"
"cellid_000000309-1","3"
"cellid_000000310-1","0"
"cellid_000000312-1","3"
"cellid_000000314-1","3"
"cellid_000000319-1","3"
"cellid_000000321-1","3"
"cellid_000000323-1","3"
"cellid_000000324-1","3"
"cellid_000000327-1","12"
"cellid_000000333-1","3"
"cellid_000000335-1","3"
"cellid_000000336-1","0"
"cellid_000000339-1","3"
"cellid_000000341-1","24"
"cellid_000000342-1","22"
"cellid_000000343-1","3"
"cellid_000000344-1","3"
"cellid_000000347-1","24"
"cellid_000000349-1","3"
"cellid_000000351-1","3"
"cellid_000000354-1","0"
"cellid_000000360-1","3"
"cellid_000000362-1","24"
"cellid_000000363-1","0"
"cellid_000000365-1","0"
"cellid_000000368-1","6"
"cellid_000000371-1","3"
"cellid_000000373-1","24"
"cellid_000000374-1","24"
"cellid_000000377-1","0"
"cellid_000000378-1","18"
"cellid_000000381-1","3"
"cellid_000000384-1","24"
"cellid_000000385-1","6"
"cellid_000000386-1","24"
"cellid_000000387-1","0"
"cellid_000000388-1","3"
"cellid_000000390-1","6"
"cellid_000000391-1","3"
"cellid_000000392-1","24"
"cellid_000000393-1","3"
"cellid_000000394-1","0"
"cellid_000000395-1","3"
"cellid_000000398-1","0"
"cellid_000000401-1","0"
"cellid_000000404-1","24"
"cellid_000000405-1","0"
"cellid_000000407-1","3"
"cellid_000000409-1","0"
"cellid_000000410-1","3"
"cellid_000000411-1","3"
"cellid_000000417-1","3"
"cellid_000000421-1","6"
"cellid_000000423-1","0"
"cellid_000000435-1","24"
"cellid_000000436-1","0"
"cellid_000000437-1","3"
"cellid_000000439-1","3"
"cellid_000000441-1","3"
"cellid_000000442-1","24"
"cellid_000000444-1","0"
"cellid_000000445-1","0"
"cellid_000000456-1","3"
"cellid_000000458-1","0"
"cellid_000000461-1","0"
"cellid_000000462-1","3"
"cellid_000000464-1","3"
"cellid_000000467-1","0"
"cellid_000000469-1","3"
"cellid_000000473-1","0"
"cellid_000000475-1","3"
"cellid_000000484-1","24"
"cellid_000000486-1","0"
"cellid_000000488-1","0"
"cellid_000000490-1","0"
"cellid_000000491-1","24"
"cellid_000000495-1","0"
"cellid_000000505-1","0"
"cellid_000000506-1","24"
"cellid_000000508-1","0"
"cellid_000000514-1","24"
"cellid_000000515-1","3"
"cellid_000000516-1","14"
"cellid_000000520-1","0"
"cellid_000000523-1","3"
"cellid_000000524-1","3"
"cellid_000000526-1","3"
"cellid_000000532-1","0"
"cellid_000000534-1","3"
"cellid_000000535-1","24"
"cellid_000000536-1","3"
"cellid_000000538-1","3"
"cellid_000000539-1","0"
"cellid_000000540-1","3"
"cellid_000000541-1","24"
"cellid_000000542-1","0"
"cellid_000000544-1","0"
"cellid_000000546-1","3"
"cellid_000000547-1","0"
"cellid_000000548-1","24"
"cellid_000000551-1","3"
"cellid_000000563-1","0"
"cellid_000000565-1","3"
"cellid_000000566-1","3"
"cellid_000000568-1","6"
"cellid_000000570-1","24"
"cellid_000000574-1","3"
"cellid_000000575-1","3"
"cellid_000000576-1","24"
"cellid_000000581-1","3"
"cellid_000000584-1","0"
"cellid_000000586-1","0"
"cellid_000000590-1","3"
"cellid_000000594-1","24"
"cellid_000000596-1","0"
"cellid_000000597-1","0"
"cellid_000000600-1","3"
"cellid_000000604-1","3"
"cellid_000000606-1","0"
"cellid_000000608-1","3"
"cellid_000000609-1","3"
"cellid_000000611-1","24"
"cellid_000000615-1","3"
"cellid_000000616-1","24"
"cellid_000000617-1","0"
"cellid_000000620-1","0"
"cellid_000000624-1","24"
"cellid_000000625-1","3"
"cellid_000000626-1","0"
"cellid_000000627-1","0"
"cellid_000000628-1","3"
"cellid_000000638-1","3"
"cellid_000000643-1","24"
"cellid_000000646-1","24"
"cellid_000000648-1","24"
"cellid_000000649-1","12"
"cellid_000000650-1","24"
"cellid_000000652-1","14"
"cellid_000000653-1","3"
"cellid_000000655-1","3"
"cellid_000000656-1","0"
"cellid_000000658-1","24"
