"Barcode","multiome_predicted"
"cellid_000000350-1","0"
"cellid_000000352-1","24"
"cellid_000000353-1","0"
"cellid_000000355-1","0"
"cellid_000000357-1","24"
"cellid_000000358-1","0"
"cellid_000000359-1","24"
"cellid_000000360-1","0"
"cellid_000000361-1","0"
"cellid_000000362-1","0"
"cellid_000000363-1","24"
"cellid_000000364-1","6"
"cellid_000000365-1","24"
"cellid_000000366-1","24"
"cellid_000000367-1","24"
"cellid_000000368-1","24"
"cellid_000000371-1","24"
"cellid_000000372-1","0"
"cellid_000000373-1","0"
"cellid_000000375-1","0"
"cellid_000000376-1","0"
"cellid_000000377-1","24"
"cellid_000000378-1","24"
"cellid_000000379-1","3"
"cellid_000000380-1","0"
"cellid_000000381-1","0"
"cellid_000000382-1","0"
"cellid_000000383-1","0"
"cellid_000000385-1","24"
"cellid_000000386-1","24"
"cellid_000000387-1","0"
"cellid_000000388-1","0"
"cellid_000000389-1","0"
"cellid_000000390-1","0"
"cellid_000000391-1","0"
"cellid_000000394-1","3"
"cellid_000000395-1","0"
"cellid_000000396-1","24"
"cellid_000000397-1","0"
"cellid_000000400-1","25"
"cellid_000000401-1","0"
"cellid_000000402-1","3"
"cellid_000000405-1","0"
"cellid_000000406-1","0"
"cellid_000000407-1","0"
"cellid_000000408-1","24"
"cellid_000000409-1","0"
"cellid_000000410-1","24"
"cellid_000000412-1","24"
"cellid_000000413-1","0"
"cellid_000000415-1","24"
"cellid_000000416-1","0"
"cellid_000000418-1","0"
"cellid_000000419-1","0"
"cellid_000000420-1","6"
"cellid_000000421-1","0"
"cellid_000000422-1","0"
"cellid_000000423-1","24"
"cellid_000000424-1","25"
"cellid_000000425-1","24"
"cellid_000000426-1","0"
"cellid_000000427-1","24"
"cellid_000000428-1","0"
"cellid_000000430-1","24"
"cellid_000000431-1","0"
"cellid_000000433-1","0"
"cellid_000000436-1","0"
"cellid_000000437-1","0"
"cellid_000000438-1","24"
"cellid_000000440-1","0"
"cellid_000000441-1","0"
"cellid_000000442-1","0"
"cellid_000000443-1","0"
"cellid_000000444-1","24"
"cellid_000000446-1","0"
"cellid_000000449-1","0"
"cellid_000000450-1","3"
"cellid_000000451-1","0"
"cellid_000000453-1","24"
"cellid_000000454-1","24"
"cellid_000000455-1","0"
"cellid_000000456-1","24"
"cellid_000000458-1","0"
"cellid_000000459-1","0"
"cellid_000000460-1","24"
"cellid_000000461-1","0"
"cellid_000000462-1","24"
"cellid_000000463-1","0"
"cellid_000000465-1","0"
"cellid_000000466-1","0"
"cellid_000000467-1","0"
"cellid_000000468-1","24"
"cellid_000000469-1","0"
"cellid_000000470-1","0"
"cellid_000000472-1","0"
"cellid_000000473-1","0"
"cellid_000000476-1","24"
"cellid_000000477-1","0"
"cellid_000000478-1","0"
"cellid_000000479-1","0"
"cellid_000000480-1","6"
"cellid_000000482-1","0"
"cellid_000000483-1","0"
"cellid_000000484-1","24"
"cellid_000000485-1","0"
"cellid_000000486-1","24"
"cellid_000000487-1","0"
"cellid_000000488-1","0"
"cellid_000000489-1","0"
"cellid_000000490-1","25"
"cellid_000000493-1","24"
"cellid_000000495-1","0"
"cellid_000000496-1","24"
"cellid_000000497-1","3"
"cellid_000000498-1","0"
"cellid_000000500-1","0"
"cellid_000000501-1","0"
"cellid_000000502-1","0"
"cellid_000000504-1","0"
"cellid_000000506-1","0"
"cellid_000000507-1","24"
"cellid_000000508-1","0"
"cellid_000000509-1","3"
"cellid_000000510-1","0"
"cellid_000000511-1","0"
"cellid_000000512-1","0"
"cellid_000000513-1","24"
"cellid_000000514-1","0"
"cellid_000000515-1","3"
"cellid_000000516-1","0"
"cellid_000000517-1","0"
"cellid_000000518-1","3"
"cellid_000000519-1","0"
"cellid_000000520-1","24"
"cellid_000000521-1","22"
"cellid_000000522-1","0"
"cellid_000000523-1","3"
"cellid_000000525-1","0"
"cellid_000000526-1","24"
"cellid_000000528-1","0"
"cellid_000000530-1","3"
"cellid_000000531-1","0"
"cellid_000000532-1","0"
"cellid_000000533-1","0"
"cellid_000000534-1","0"
"cellid_000000535-1","0"
"cellid_000000536-1","24"
"cellid_000000538-1","24"
"cellid_000000539-1","24"
"cellid_000000540-1","6"
"cellid_000000541-1","0"
"cellid_000000542-1","0"
"cellid_000000543-1","0"
"cellid_000000544-1","0"
"cellid_000000545-1","0"
"cellid_000000547-1","0"
"cellid_000000548-1","24"
"cellid_000000549-1","0"
"cellid_000000550-1","24"
"cellid_000000551-1","0"
"cellid_000000553-1","24"
"cellid_000000554-1","24"
"cellid_000000555-1","3"
"cellid_000000556-1","0"
"cellid_000000557-1","24"
"cellid_000000558-1","24"
"cellid_000000559-1","0"
"cellid_000000560-1","24"
"cellid_000000561-1","0"
"cellid_000000562-1","0"
"cellid_000000563-1","0"
"cellid_000000564-1","24"
"cellid_000000566-1","0"
"cellid_000000567-1","0"
"cellid_000000571-1","0"
"cellid_000000572-1","24"
"cellid_000000573-1","3"
"cellid_000000574-1","0"
"cellid_000000576-1","0"
"cellid_000000577-1","0"
"cellid_000000578-1","0"
"cellid_000000579-1","0"
"cellid_000000580-1","0"
"cellid_000000581-1","24"
"cellid_000000582-1","0"
"cellid_000000584-1","0"
"cellid_000000585-1","0"
"cellid_000000586-1","24"
"cellid_000000587-1","0"
"cellid_000000589-1","24"
"cellid_000000590-1","24"
"cellid_000000592-1","0"
"cellid_000000593-1","0"
"cellid_000000594-1","0"
"cellid_000000595-1","24"
"cellid_000000596-1","24"
"cellid_000000597-1","0"
"cellid_000000598-1","0"
"cellid_000000599-1","24"
"cellid_000000600-1","0"
"cellid_000000601-1","0"
"cellid_000000604-1","0"
"cellid_000000605-1","24"
"cellid_000000606-1","0"
"cellid_000000607-1","0"
"cellid_000000608-1","0"
"cellid_000000609-1","0"
"cellid_000000611-1","24"
"cellid_000000612-1","22"
"cellid_000000613-1","0"
"cellid_000000614-1","0"
"cellid_000000617-1","0"
"cellid_000000620-1","22"
"cellid_000000622-1","3"
"cellid_000000624-1","24"
"cellid_000000625-1","0"
"cellid_000000627-1","0"
"cellid_000000628-1","0"
"cellid_000000629-1","0"
"cellid_000000630-1","0"
"cellid_000000631-1","22"
"cellid_000000632-1","0"
"cellid_000000633-1","24"
"cellid_000000635-1","0"
"cellid_000000636-1","5"
"cellid_000000637-1","24"
"cellid_000000638-1","0"
"cellid_000000640-1","0"
"cellid_000000642-1","3"
"cellid_000000643-1","0"
"cellid_000000644-1","0"
"cellid_000000645-1","3"
"cellid_000000647-1","3"
"cellid_000000648-1","0"
"cellid_000000649-1","0"
"cellid_000000650-1","0"
"cellid_000000651-1","0"
"cellid_000000654-1","0"
"cellid_000000655-1","0"
"cellid_000000657-1","24"
"cellid_000000658-1","0"
"cellid_000000659-1","0"
"cellid_000000661-1","3"
"cellid_000000662-1","24"
"cellid_000000663-1","0"
"cellid_000000665-1","0"
"cellid_000000666-1","0"
"cellid_000000668-1","24"
"cellid_000000670-1","0"
"cellid_000000671-1","0"
"cellid_000000673-1","24"
"cellid_000000676-1","0"
"cellid_000000677-1","0"
"cellid_000000678-1","0"
"cellid_000000679-1","24"
"cellid_000000681-1","0"
"cellid_000000683-1","0"
"cellid_000000684-1","0"
"cellid_000000686-1","0"
"cellid_000000690-1","24"
"cellid_000000691-1","0"
"cellid_000000692-1","0"
"cellid_000000694-1","0"
"cellid_000000697-1","0"
"cellid_000000698-1","24"
"cellid_000000700-1","3"
"cellid_000000701-1","24"
"cellid_000000702-1","24"
"cellid_000000704-1","0"
"cellid_000000705-1","24"
"cellid_000000706-1","5"
"cellid_000000708-1","0"
"cellid_000000709-1","0"
"cellid_000000710-1","24"
"cellid_000000711-1","22"
"cellid_000000713-1","24"
"cellid_000000715-1","3"
"cellid_000000716-1","0"
"cellid_000000717-1","0"
"cellid_000000718-1","0"
"cellid_000000719-1","24"
"cellid_000000720-1","24"
"cellid_000000721-1","24"
"cellid_000000723-1","0"
"cellid_000000724-1","0"
"cellid_000000727-1","24"
"cellid_000000728-1","6"
"cellid_000000729-1","6"
"cellid_000000731-1","24"
"cellid_000000732-1","0"
