"","individual","Status","shisa9a"
"1","A12D","E",0.259322148358533
"2","A22D","D",0.792775948040285
"3","A25D","D",0.603986445809335
"4","B21F","F",0.978059301127372
"5","B21M","M",0
"6","B23F","F",0.862502298908395
"7","B23M","M",0.676150973339868
"8","C13F","F",0.33188689142978
"9","C13M","M",0.513919957355981
"10","C14F","F",0.796869919083467
"11","C14M","M",0.550565215771691
"12","C15F","F",1.29235089742314
"13","C15M","M",0.584789220257514
"14","C21D","D",0.895494612938588
"15","D4F","F",0.247011253712332
"16","D4M","M",0.530405139013613
"17","T11D","E",0.637195591460166
"18","T13D","D",0.667643843328818
"19","T14D","D",0.844715743896544
"20","T17D","NF",0.885147008582058
"21","T19D","D",0.423852317188212
"22","T5D","D",0.784275938500039
