"","individual","Status","hprt1l","tshz1","zgc:110319","pik3ap1"
"1","A12D","E",0.131977683640333,0.0199074825576852,0.0674654373657259,0.0212022350650913
"2","A22D","D",0.151175281766718,0.147384624978851,0.10775690944097,0.0574248922737426
"3","A25D","D",0.209501814588465,0.280701939108662,0.165764182246279,0.0392650222426178
"4","B21F","F",0.323603706283021,0.0726498902280645,0.152726060083845,0.0385429218772052
"5","B21M","M",0.208372771199951,0.0824526171552242,0.110125554081585,0
"6","B23F","F",0.193102188125367,0.121693727769525,0.0901666830773684,0.0793615118791434
"7","B23M","M",0.185697983322603,0.0513474378055383,0.0688028093983199,0.0254706149987459
"8","C13F","F",0.200608660180676,0.0496275405246076,0.210239687199101,0.0569402264415409
"9","C13M","M",0.114371486821021,0.0606759363817083,0.032286220802807,0.0373194000259007
"10","C14F","F",0.482620860429456,0.148060716806546,0.155498585431349,0.0267748032743512
"11","C14M","M",0.184829625184515,0.0436657304021654,0.0658176550649305,0.0513149143069235
"12","C15F","F",0.199799294898198,0.0247162591561546,0.117558796567703,0.163776197526322
"13","C15M","M",0.184547004026043,0.0444195232737018,0.0855382600267342,0.0187005201020925
"14","C21D","D",0.173270816420104,0.132922291326788,0.108849120693639,0.0324600249333971
"15","D4F","F",0.355566817147912,0.208785264325073,0.190881158564211,0.110876490262787
"16","D4M","M",0.123192192991182,0.0346130769398491,0.0760655673620271,0.011756717357893
"17","T11D","E",0.117094014799604,0.1779327107652,0.111856225327737,0.0518540972314398
"18","T13D","D",0.214105372742122,0.142308301002146,0.0720399802166838,0.0424334761289151
"19","T14D","D",0.108304641134811,0.140091341553695,0.0396691000715197,0.0235259788707373
"20","T17D","NF",0.222354340009617,0.0477812632641017,0.122690673594159,0.0267068318531425
"21","T19D","D",0.0664944748597363,0.116568688820119,0.0484772208375044,0.0155593096063872
"22","T5D","D",0.186702449073455,0.244642128583153,0.124101763207724,0.0130587605272076
