"","individual","Status","LOC111567884","kcnd1","LOC111582900"
"1","A12D","E",0.423666941708993,0.118383436381346,0
"2","A22D","D",0.280621211061304,0.195399333174226,0.0297934426533758
"3","A25D","D",0.153745985879529,0.258729966417394,0.0419290690046765
"4","B21F","F",0.425020807298953,0.0762317036825285,0
"5","B21M","M",0.621551561877687,0.183140776990924,0.0235390420032027
"6","B23F","F",0.478804539714213,0.170798498183454,0
"7","B23M","M",0.730426738851164,0.364209687001586,0
"8","C13F","F",0.345564240521852,0.116256994465369,0.0136239620750518
"9","C13M","M",0.368814401592517,0.120154836849696,0
"10","C14F","F",0.38155368759143,0.062380394797043,0
"11","C14M","M",0.50660454837133,0.135789439021261,0
"12","C15F","F",0.418174330936138,0.0392040342053877,0.012461114458478
"13","C15M","M",0.598005528934137,0.208417012063168,0.0181286803453016
"14","C21D","D",0.154706538077131,0.186689412398406,0
"15","D4F","F",0.325199422984433,0.1621771261218,0.0157958700258172
"16","D4M","M",0.282099598053532,0.300176798582646,0.0486975402733546
"17","T11D","E",0.455860955780794,0.214028106430838,0.0514873976335532
"18","T13D","D",0.312268821900411,0.180343803422077,0.0432563185746407
"19","T14D","D",0.449954230485106,0.307905619577603,0.0419081756978289
"20","T17D","NF",0.342774270325107,0.17493788553728,0.0269915204089907
"21","T19D","D",0.464189011618202,0.288907858323067,0.0373335227285073
"22","T5D","D",0.235649819409473,0.136543656532355,0.0835550931662113
