"","individual","Status","glulb","LOC111567884","LOC129348661","LOC111568891","LOC111583456","LOC111574349","ywhae1","LOC111572069","mau2","LOC111563592","gpx3","LOC111565980","shisa8b","igf2bp1","cacng1b","rragd","LOC111563451"
"1","A12D","E",0.0201947482206352,0.470440208871666,0.0158126192009329,0.0362079481313188,0.0201500227547075,0.0738315676383334,0.284204926261655,1.42762500359887,0.0499867136361104,0.0166955238920045,0.398329897774698,0.073301542878325,0.042993242374213,0.0248316494229919,0.02253701832403,0.081727251823664,0.0321061768458467
"2","A22D","D",0.0378300542599303,0.466564961523374,0.0341304720190821,0.0650291339938186,0.01254106087033,0.131368067908651,0.370462756974596,1.60020714872785,0.0965530340854956,0.0252590517349675,0.50433835525435,0.136827607146681,0.0660654336797927,0.0570748465607027,0.0347771888970147,0.0442044990503863,0.0182773233741599
"3","A25D","D",0.0642299384120042,0.375223676502038,0.00410183550695209,0.0367866399668307,0.0177773551548461,0.147444142153683,0.47058879014871,1.81174528146639,0.105772860302062,0.0209447621812227,0.372541206748208,0.15785505258592,0.0805016781506186,0.0292000365359394,0.0620135431341243,0.0552181694626769,0.0281217501807905
"4","B21F","F",0.0808441571744155,0.419959420944132,0.0182263592969861,0.123029229972953,0.0312054420929462,0.205933267961692,0.367704383737325,1.48740343233704,0.0794560834410649,0.00933738811722993,0.65586275418183,0.0452112458378112,0.050108552860592,0.0178195879992217,0.0280611289945295,0.0832365032446468,0.0362926539343622
"5","B21M","M",0.0568784745733569,0.539934087002963,0.0229336647079699,0.0541385177532426,0.0382322999045642,0.176342056106367,0.450263523248081,1.54201285142671,0.0374822266214023,0.0213631172129668,0.45301891495689,0.0782137261384367,0.0757134872328887,0.0858782169230813,0.0226413697548091,0.0423515489536094,0.0646505411389127
"6","B23F","F",0.122386321671989,0.524625691048615,0.0451842299144912,0.130912354542901,0.0330005049798015,0.145740483476421,0.227884403107799,1.40700970071832,0.0850392470843271,0.0156383339961494,0.554960395409457,0.0646807504893866,0.0301134075869668,0.00370748808088498,0.025822510394531,0.10846003841066,0.0222796573769563
"7","B23M","M",0.0572209954005213,0.515451990230237,0.0179419208797658,0.0632798799986708,0.0274761116737192,0.139033464911545,0.462382183731778,1.59106194955152,0.058634747586893,0.0193921522802334,0.463560326292259,0.166026618988717,0.110429901473631,0.0368251311506095,0.0274188236527172,0.0976421761982606,0.050705812754573
"8","C13F","F",0.0561583445735257,0.468830495819966,0.049006936685715,0.108335623766914,0.0122103966247998,0.100893974282659,0.256741473702028,1.28204442515422,0.0616343749257104,0.00373638273922535,0.451161311380029,0.0402209438635187,0.0477228006058955,0.0151850907472405,0.00943410444511465,0.104435504860982,0.0465503606526269
"9","C13M","M",0.0685059008947567,0.531641551830396,0.0107809115216217,0.022144098409161,0.0245164376390556,0.168039173186577,0.385965076226844,1.47904806437917,0.0467844927018694,0.0378246075725775,0.445880732093147,0.0970718829862494,0.0995004809329719,0.0398604902688004,0.0103447804962101,0.0486027388022335,0.0290526515209642
"10","C14F","F",0.0500980787754814,0.407376558900541,0.0459268291654537,0.0739263712509149,0.0308190447730826,0.135827998443691,0.375123027639131,1.49776774078811,0.0557971686392184,0.0103135528986937,0.486127692697612,0.0280352584423882,0.0592895749346114,0.0057423096145308,0.0237518116763316,0.123577117478644,0.0437725785644176
