"","individual","Status","LOC111567884","apoeb","cd74a"
"1","A12D","E",0.80315970242035,0.0272119739942109,0
"2","A22D","D",0.879314441276309,0.165958390570033,0
"3","A25D","D",0.393181476839453,0.0540964212150183,0
"4","B21F","F",0.9530492335789,0.195156159726585,0.194253926332945
"5","B21M","M",0.95525342905981,0.0587477361084073,0
"6","B23F","F",0.51010365789199,0.0605988073529922,0.0673668181615385
"7","B23M","M",1.15917040633051,0,0
"8","C13F","F",0.533196707325992,0.145548006219527,0.159852777675919
"9","C13M","M",1.12268952235182,0,0.0218521536648529
"10","C14F","F",1.01646832078002,0.12650609111149,0.0645826307038462
"11","C14M","M",1.64839787565082,0.144292340801676,0.0600903583618283
"12","C15F","F",0.641186725874787,0.176096227653119,0.0784593745447116
"13","C15M","M",1.3778058322342,0.0392330707917835,0
"14","C21D","D",0.700547670849292,0.110760490717884,0.0323537347345483
"15","D4F","F",0.494591340227468,0.243583441783968,0.189134599541442
"16","D4M","M",0.654680201002011,0,0.0803281431161977
"17","T11D","E",0.863304487064075,0,0
"18","T13D","D",0.60605284839445,0.0819891338085502,0.110115350694263
"19","T14D","D",0.861629062589007,0.131481269643516,0
"20","T17D","NF",0.588982931067059,0.0401713941810848,0
"21","T19D","D",0.95772254807666,0,0
"22","T5D","D",0.683581645192595,0,0
