"","individual","Status","pcdh17","syt7b"
"1","A12D","E",0.213141808593531,0.190537532219339
"2","A22D","D",0,0.500693544162879
"3","A25D","D",0,0.362193165964168
"4","B21F","F",0.0476307313699901,0.0617403420408787
"5","B21M","M",0.159689532458562,0.433085543955383
"6","B23F","F",0.128246098224417,0.18411101077625
"7","B23M","M",0.26709588828731,0.187347556108261
"8","C13F","F",0.0480067513298179,0.292408350686866
"9","C13M","M",0.119813271984683,0.146209601381173
"10","C14F","F",0.0688961074946564,0.0769240821674924
"11","C14M","M",0.0736770426061149,0.218262636729817
"12","C15F","F",0.0776096500551184,0.15860079442877
"13","C15M","M",0.277278388256148,0.230017325231127
"14","C21D","D",0.141505201992578,0.459196381739725
"15","D4F","F",0,0.162261259471374
"16","D4M","M",0.688399813099904,0.0616632928118214
"17","T11D","E",0.0249803748616471,0.110574342832869
"18","T13D","D",0.217542160749042,0.597205746448635
"19","T14D","D",0.0923760262202467,0.333229722931119
"20","T17D","NF",0.0994519289575136,0.4313146073482
"21","T19D","D",0.0207978027238669,0.428489285911959
"22","T5D","D",0.0814630388351673,0.254596895320615
