"","individual","Status","grik4","wu:fa11c10","plch2a","LOC129349400","nr1d2a","LOC111580029","fam110b","sema5ba","LOC118469121","slco2b1","LOC111572229","LOC111565980","asic2","alk","LOC111582608","LOC111584452"
"1","A12D","E",0.341188540851895,0.729645072981426,0.0571400068535387,0.617976428623198,0.18118749012502,0.325449177799627,0.12552215713263,0.760574426148556,0.0332584728582875,1.16979447108695,0.163821095264693,0.728901430957441,1.80762359880695,3.48140655811463,0.18054737329203,0.0834906062510448
"2","A22D","D",0.382854343332544,1.18543681149884,0.139178529279679,0.845817955469536,0.225482887575576,0.328498874664227,0.103819489542398,0.968821050535659,0.0980430944027938,1.73654540259794,0.288245698882047,0.60872001761621,2.0196387427931,3.63813634261265,0.389326863312178,0.13609833135461
"3","A25D","D",0.346966203346852,1.03395879674893,0.0111452257711194,0.702906534019048,0.220446539658257,0.432755984227643,0.120561540786099,0.455320795295303,0.0549376170837847,1.66860659371257,0.38341360055209,1.14463389388229,1.79916158100701,2.95589976829398,0.16652991817472,0.146473612405253
"4","B21F","F",0.116780967771921,0.285372839037452,0.043932083835743,0.0602670386300995,0.133112213366493,0.457882615540982,0,0.337301871382998,0.781523181487364,2.46923690928741,0,0.0602670386300995,1.6178799362585,1.91874335998227,0,0.056320866207799
"5","B21M","M",0.379179812206929,0.125231327906278,0.686239562005202,0.42675273255522,0.1079649619266,0.128974523013175,0.612881777420279,0.475541873903159,0,1.42237429304709,0,0.317256109580824,1.85787810661319,2.51303333015829,0.125231327906278,0.17160904456934
"6","B23F","F",0.179180167064559,0.646878331657947,0.0818014574935551,0.127370117862396,0.310528693011474,0.31981966811093,0.0783160600389688,0.498016590687075,0.673528038876371,1.27284182767772,0.0268583352386157,0.0259288537654349,0.439389104021284,1.8013446627836,0.0425414897533606,0.0747783688610204
"7","B23M","M",0.28821486750993,1.10318982310539,0.177340641818146,0.62349861653371,0.604323513643106,0.201320840992799,0.110310639255734,0.597719149266318,0.260243671064371,1.28278384622803,0.303278791431017,0.595792598650885,1.37787123314133,2.41368753411398,0.178866275469421,0.0271874833746859
"8","C13F","F",0.0966665077666182,0.473560077863257,0.0993651395797647,0.141563053514616,0.299177846700544,0.206067032019709,0.0530760757072926,0.291897374911424,0.437304352180416,1.97936973342992,0,0.0321082218963841,0.43294333032725,2.60837542292338,0.0424793051755824,0.228950375998376
"9","C13M","M",0.270147067977394,0.709447754581944,0.0801739321799528,0.159158073600425,0.812144400837351,0.179269042585014,0.0827443521549575,0.245948287077944,0.251691848676059,1.31440499429538,0.159859984774851,0.35076998862337,1.05476945349067,2.52342101071265,0,0.096126290546265
"10","C14F","F",0.14578344956223,0.635234223125008,0.0341318662393152,0.558465201671464,0.160043789293868,0.51398260472692,0.0750341357511906,0.308625898126738,0.336895718821498,1.9157060483582,0.064983830529027,0.267504762151833,1.17557110659053,2.78285065040943,0.147032703714573,0.205376107322017
"11","C14M","M",0.526758132843349,0.914180106979983,0.402017068750985,0.480300432411909,0.438549994316427,0.151027155680462,0.164814941324435,0.701068458237389,0.434928654227699,0.91809135009584,0.128675776115974,0.705718006038369,1.6486966045332,2.99735505582109,0.227732234408354,0.0559571984627811
"12","C15F","F",0.0785729533812408,0.952211654442756,0,0.0377795308272144,0.198179990923382,0.415757557712004,0.0693883440035735,0.385743520832496,0.16108505014671,1.99570912822459,0,0,0.778608903480947,2.86090978116553,0.0729962530141605,0.334800957836948
"13","C15M","M",0.974252671476606,0.733501124625373,0.287400942848639,0.787141604700923,0.726332633199814,0.326912754571783,0.249905979305353,0.399058135363394,0.0513121948090223,1.32139617353399,0.180507442091861,0.65559158386617,2.11442305399111,3.46401800698742,0.0711209670304127,0.109284136416091
"14","C21D","D",0.338608028598465,1.00725666407864,0.188182581526449,0.779259701263005,0.140538194667469,0.499968584993956,0.0737202147639039,1.18566014204039,0,1.74033296207214,0.213073272545094,1.37954621691521,2.63299610986233,3.32713769330875,0.147233870523316,0.290898879560344
"15","D4F","F",0.165796508510636,0.806524285206845,0.122633537906117,0.103224599729278,0.159978749390387,0.494299497034678,0.0150772988353267,0.521992233358698,0.215466961458097,2.1081919466217,0.0306273040464319,0.097344799490945,0.659004763680103,1.58191173644948,0.0691622220002846,0.225168156146179
"16","D4M","M",0.542614646663279,0.467132999801497,0.130008119829919,0.67202567315458,0.0781331775865659,0.359532898500458,0.128872059005774,0.344932708322568,0.374078219617295,1.71902577660302,0.076575639803651,0.472705925947682,1.63372712868521,2.29512894623215,0.0727817730707043,0.155046046742684
"17","T11D","E",0.0671305429108968,0.585883968934744,0.0172638861765448,0.069304565603676,0.293799303279484,0.169673326057007,0.128263601793387,0.299817467169961,0.594312928749243,1.84825253634274,0,0.137690247760302,2.11461473357148,2.94480341931284,0.111183933831851,0.222314943608171
"18","T13D","D",0.269419311938033,0.700012179640267,0.0579929703998169,0.680923381510541,0,0.566935603595518,0.0777902502569282,0.48358416129525,0.26891158066565,1.60631558043715,0.30057418038276,0.235972549213672,1.29814533100869,3.18890425411269,0.246854671286543,0.150429101235557
"19","T14D","D",0.267267312051585,1.18744059906727,0.0477784309383868,0.499673056067166,0.0432105838080466,0.501318842730356,0,0.747170581762014,0.0216295097042801,2.08373596544032,0.177135637777775,0.542158561288033,1.32156098068231,2.69673400180599,0.26153124539729,0.153233436629861
"20","T17D","NF",0.559799935843442,1.68603606518477,0.138568699673236,1.20575319297501,0,0.269828416945085,0.151600975723829,0.50246131346918,0,2.25416824650747,0.605021770725083,0.780660528633327,1.96539412750313,3.1499482947587,0.346424944918315,0.119650418771939
"21","T19D","D",0.384900017327051,1.18039203195188,0.0417074230762745,1.04247207424175,0,0.54480731362224,0.104168335599043,0.763880444276903,0.185115775559247,1.13785182627755,0.190482341926336,0.509731706161731,1.97963840330789,3.52911147778076,0.517299974044916,0.198395325527518
"22","T5D","D",0.246014767541135,0.87804899536405,0.0742572709546411,0,0.286468653671008,0.139305861008924,0.0538031616052849,0.428092787444591,0,1.61688124224939,0,0,0.849926271340993,3.40082990938985,0.0481374561980836,0.152412045899322
