"","individual","Status","slc39a13","prkcaa","sorcs3a","tnfaip2a","wdr5","ptgdsb.1","jph1a","ehbp1l1a"
"1","A12D","E",0.0391881469800303,0.228514566366159,0.824781026684062,0.0798804227113242,0.0307232132427716,0.0669169208310692,0.408180329348157,0.195652788136581
"2","A22D","D",0.0231579082142339,0.354351112670297,0.770985816603097,0.0373527865244906,0.0991583659612229,0.275791664308356,0.480316523242995,0.411241246303606
"3","A25D","D",0.0558565635272449,0.528621264337589,0.580784296214703,0.0159470309407365,0.0210468441491368,0.160596033561537,0.343754824080533,0.429044250826227
"4","B21F","F",0,0.283793953792987,0.439276308290995,0.0264342787113123,0.0474234539668524,0.142808811976718,0.291824580126596,0.550882856377666
"5","B21M","M",0.162192706277273,0.628141796415531,0.513619300801178,0,0.0679890224668001,0.0697173882573264,0.307562479583624,0.391144783984287
"6","B23F","F",0.0951492510678571,0.323340180292785,0.819982627760089,0.0577991388366876,0.03797369566885,0.450088891435637,0.336359939791818,0.539726363897352
"7","B23M","M",0.178493014742385,0.324261148582575,1.20444691422684,0.0213511567298381,0.143661964074199,0.122268159346044,0.308190034398342,0.383441583102311
"8","C13F","F",0.0255463002898429,0.178984817918593,0.381111872744045,0.0405323506840058,0.0277153532773374,0.167698851887339,0.365601044562073,0.321789876943672
"9","C13M","M",0.141169031048111,0.271748588361217,0.802517336531575,0.0283919958578733,0.12478022705551,0.0294535772333579,0.147257145540968,0.215963130058971
"10","C14F","F",0.0673551997427194,0.245378091496043,0.30800326106056,0.149646510227436,0.0217515549876807,0.464858577773414,0.525331447122187,0.503517068555278
"11","C14M","M",0.15732696625004,0.400521308880305,0.965065693528651,0.0498757912122278,0.0821739861373758,0.0563730071304131,0.288064335204768,0.355778528689134
"12","C15F","F",0,0.370589295288959,0.540737622741702,0.0392047189435981,0,1.01071826534021,0.388904633565085,0.366887003700032
"13","C15M","M",0.045995164780139,0.392923113019314,1.0905666937362,0.0165548810364306,0.0786571498048596,0.183154544696235,0.296481705285789,0.213996822881751
"14","C21D","D",0.0759767486590765,0.781591725408854,0.631911235243864,0,0.0522440226591654,0.200841299065257,0.365649778350301,0.48137786991673
"15","D4F","F",0.0177564718436856,0.405072438748368,0.680539827166956,0.134087440689911,0,0.290093035376671,0.447212121887224,0.754802957603496
"16","D4M","M",0.0654138578968716,0.59426419959251,0.667249857594081,0.0387500198857532,0.0686347067119931,0.384060888369477,0.287189862611164,0.302134865070761
"17","T11D","E",0.0571596328436444,0.229700100636686,1.35266021400896,0.0472602624662122,0.0399085740776829,0.11414610211415,0.368023439310909,0.481275861515656
"18","T13D","D",0.0619716561567376,0.442301216875988,0.308046624820055,0.0356611468984475,0.0361564979265157,0.154304150303427,0.582822457979394,0.578750433042334
"19","T14D","D",0.0435106165323081,0.641193750098098,0.444517964254165,0.0566738903285466,0,0.263102687449262,0.499042164520802,0.685491426117721
"20","T17D","NF",0.0814375576301848,0.379131468039716,0.606106044019144,0.0534384894247242,0.0478921843398357,0.284388314384233,0.317837776500755,0.591761300355594
"21","T19D","D",0.0512656891213244,0.661106293785538,0.744487074126282,0.0603843472862115,0,0.132853787095636,0.451312027282358,0.250433765469656
"22","T5D","D",0,0.613045254160035,0.580006742923119,0.0382440989860992,0.0203728638283057,0.0926963443013091,0.55249125836739,0.469149405041288
