"","individual","Status","LOC111569679","LOC111572933","esr2b"
"1","A12D","E",1.8953994350844,2.80260122227887,0.115000006465107
"2","A22D","D",1.94547077531403,3.03975050657769,0.0527193774133315
"3","A25D","D",2.67394117615078,3.04663773244006,0.0695614139943818
"4","B21F","F",1.52729958308276,2.93442614674178,0.292005055817824
"5","B21M","M",1.94671129314814,2.96073793055037,0.0396614852093352
"6","B23F","F",1.36849151671468,2.54699420357156,0.104327548531295
"7","B23M","M",1.28669234818528,2.68706272579242,0.112147082015195
"8","C13F","F",1.44732512006555,2.47545902173848,0.148806277980984
"9","C13M","M",1.81649976716196,2.54292786650074,0.0184565888317759
"10","C14F","F",1.3305978316462,2.73461485838199,0.30033396998399
"11","C14M","M",1.60243802766468,2.85105902279411,0.10083060500302
"12","C15F","F",1.59152247220718,2.83124077306355,0.178269055650074
"13","C15M","M",1.84583669570523,3.09206642119002,0.101600922174855
"14","C21D","D",2.1203110575792,3.19035516934136,0.162504229033168
"15","D4F","F",1.51570731797039,3.08306433729082,0.0944773717512027
"16","D4M","M",1.94295957640835,2.86770174209566,0.125127612969565
"17","T11D","E",1.36926115353905,2.97451903924825,0.32964759374912
"18","T13D","D",2.2531184554938,3.00281625611187,0.205210295087437
"19","T14D","D",1.88294756749252,2.84287180158933,0.181976793584209
"20","T17D","NF",2.32423616520097,3.14443330884701,0.0957009684495075
"21","T19D","D",1.96507390847308,2.99757030210712,0.055455733846935
"22","T5D","D",1.8112859570288,2.98565377371278,0.153482003543936
