"iteration","accuracy_cluster6","overall_accuracy","n_genes","genes"
29,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
30,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
31,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
32,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
33,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
34,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
35,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
36,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
37,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
38,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
