"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fold_enrichment","gene","transcript_length","mean_norm"
"1",0,3.27165899290184,0.953,0.19,0,5.01578947368421,"id2a",1897,2.48565505373908
"2",0,3.52633703491647,0.623,0.064,0,9.734375,"tshz1",4732,1.01905657123087
"3",0,3.55145266612357,0.621,0.078,0,7.96153846153846,"sfrp1a",924,1.03832573283449
"4",0,2.97456021075792,0.634,0.102,0,6.2156862745098,"hpcal1",1099,1.00140668110831
