"","gene","transcript_length","strongest_cluster","mean_exp_strongest_clust","fold_enrichment","pct_in_cluster_expressing","pct_notin_cluster_expressing","pct_fold_enrichment"
"1","id2a",614,"19",2.08563555417499,11.9482935750595,0.857638888888889,0.107997010463378,7.94132064590542
"2","tshz1",4590,"4",0.98618705672401,12.419910509259,0.521995708154506,0.052865671641791,9.8740012553224
"3","sfrp1a",2121,"18",0.188459665066969,4.09082648718986,0.130293159609121,0.0322877697841727,4.03537192194023
"4","hpcal1",1450,"6_3",0.300030833514359,9.58977873528656,0.173228346456693,0.022079064619576,7.84581907981297
"5","LOC111579075",3309,"8",3.82964688460751,1.60919777495791,0.993930197268589,0.730981613111672,1.35971983349566
"6","nrxn3a",Inf,"14",3.0067231232492,4.04221204918242,0.969973890339426,0.31429562402451,3.08618324976673
"7","nfixb",1260,"15",3.17723316775371,3.4640369483861,0.907630522088353,0.352832423375798,2.57241245972921
"8","LOC111565647",Inf,"11",4.60035622239943,3.15594136671381,0.993000874890639,0.546915636597411,1.8156381138936
"9","bcl11aa",2541,"12",2.73403871683492,3.43641030443499,0.891554702495202,0.344560340306509,2.58751399450704
"10","cacna1g",Inf,"23",2.25385829656491,2.3660730632465,0.694050991501416,0.409071434691954,1.69664985780311
"11","alk",6534,"13",3.15222465039198,2.53779882899034,0.975417895771878,0.464931435059831,2.09798224472896
"12","gabbr2",3329,"16",3.60548711532871,2.89686805279674,0.987755102040816,0.558953478298536,1.76715082809317
"13","LOC111564555",Inf,"8",3.80584426830658,2.08893151663109,0.996206373292868,0.586148152499559,1.69958118786976
"14","gfra4a",1791,"8",3.30716577565353,3.0228147677917,0.98103186646434,0.415320448804559,2.36210826914038
"15","grin2da",1560,"21",2.78958461970534,2.56069695265149,0.912735849056604,0.449398969662278,2.03101455649202
"16","gria4b",2670,"13",2.8184111651308,2.36271391930118,0.955752212389381,0.482895158237983,1.97921266362824
"17","slc4a11",2319,"7",2.56125857944748,2.50008688311164,0.833210332103321,0.462671645740833,1.8008675045759
"18","LOC111562889",1035,"4",3.77795964584122,3.96462133411806,0.991416309012876,0.408537313432836,2.42674604354313
"19","LOC111566277",Inf,"22",2.984289681899,3.00036444400691,0.971291866028708,0.450752589709838,2.15482259714571
"20","LOC111568755",Inf,"16",3.356889950908,5.53322000235443,0.987755102040816,0.304167027635797,3.24741018024983
"21","grm8a",2637,"12",3.447461641353,3.39623944069025,0.94721689059501,0.41661325097605,2.27361200916161
"22","elavl2",1065,"18",2.88645876651297,3.14089665277396,0.97557003257329,0.446244604316547,2.18617776693892
"23","mical3b",Inf,"2",2.92648858568037,96.3670820329214,0.877804625474629,0.0170942803461977,51.3507797752879
"24","ca10a",903,"12",2.61963950110137,2.33196295619384,0.85700575815739,0.488345667501894,1.75491627179034
"25","LOC111584103",1716,"18",2.16832174157639,3.44602444978142,0.899022801302932,0.308892086330935,2.91047534425907
"26","LOC111575476",4261,"4",3.97300085547638,3.51219493326221,0.998390557939914,0.497820895522388,2.00552159806842
"27","grid1b",2220,"10",4.41861244328173,2.16058667633744,1,0.65097901483888,1.53614782843269
"28","adgrd2",4427,"1",1.37439902686335,27.2405830470554,0.535165723524656,0.026980065080719,19.8355979469859
"29","lamb2l",4449,"1",1.32687709026185,25.2838704597421,0.514955537590946,0.0346254699396582,14.8721602475969
"30","fgfbp3",1750,"1",1.43972490451962,21.4473463292315,0.551603341417408,0.0396486904874735,13.9122713672392
"31","mlc1",1122,"1",1.21043877070191,16.1339500492809,0.501482080301805,0.0444823555429185,11.2737303180348
"32","LOC111569776",2502,"0",1.00412356393526,3.52181903187933,0.551023370590797,0.159543459174715,3.45375093056855
"33","glra1",1257,"0",0.998659296316523,3.17123950626518,0.543329946291189,0.166461808604039,3.2639916077303
"34","LOC111562453",2112,"0",1.02312658909913,3.36605289529832,0.538249383074467,0.171589113257243,3.1368504263294
"35","gabra3",2327,"19",1.54638770097571,3.10723787935611,0.741319444444444,0.2763309187076,2.68272348209022
"36","nr5a2",1446,"17",1.47314781283295,74.0263011937065,0.705539358600583,0.0108714458734644,64.898392248146
"37","LOC111581829",780,"17",1.57383063985016,22.2085028680708,0.76530612244898,0.0431109060499452,17.7520305781175
"38","cpne4a",1798,"17",1.31704802422991,5.47530933206824,0.580174927113703,0.130832227925486,4.43449550858474
"39","nos1",3192,"14",1.57344226386738,5.17108295033246,0.565274151436031,0.16737961731892,3.37719825442649
