symbol,symbol
LOC111579075,LOC111579075
nrxn3a,nrxn3a
nfixb,nfixb
LOC111565647,LOC111565647
bcl11aa,bcl11aa
cacna1g,cacna1g
alk,alk
gabbr2,gabbr2
LOC111564555,LOC111564555
gfra4a,gfra4a
grin2da,grin2da
gria4b,gria4b
slc4a11,slc4a11
LOC111562889,LOC111562889
LOC111566277,LOC111566277
LOC111568755,LOC111568755
grm8a,grm8a
elavl2,elavl2
mical3b,mical3b
ca10a,ca10a
LOC111584103,LOC111584103
LOC111575476,LOC111575476
grid1b,grid1b
