,0
0,nlgn1
1,ptprsa
2,LOC111582683
3,grid1a
4,gria4b
5,LOC111571736
6,bcl11aa
7,zfhx3b
8,LOC111569704
9,rtn4rl1b
10,slc4a11
11,slc8a1b
12,cacna1bb
13,gfra4a
14,grin2da
15,zeb2b
16,gabbr2
17,ptprt
18,alk
19,atrnl1a
20,slc17a6b
21,nfixa
22,slc12a5a
23,LOC111586508
24,LOC111569776
25,soul5l
26,fibcd1b
27,kcnd1
28,rras2
29,slco2b1
30,susd5
31,sema5bb
32,LOC111563809
33,LOC111583098
34,neto1l
35,crocc2
36,ttll3
37,nptx2b
38,LOC111571088
39,nr5a2
40,calb2a
41,ebf1a
42,dachd
43,ppp1r16b
44,gata2b
45,LOC111563316
46,ptprz1a
47,sox5
48,srpx
49,kcnj10a
50,slc4a4a
51,lamb2l
52,rhobtb4
53,cerk
54,LOC111567448
55,gpr37l1b
56,tnfrsf19
57,ntn1b
58,adgrd2
59,plp1b
60,ptprc
61,LOC111581922
62,bcl11ba
63,irx1a
64,LOC111580252
65,LOC111574354
66,pde9ac
67,LOC111573549
68,fat2
69,LOC111584963
70,LOC111585303
71,LOC111585833
72,LOC111562582
73,cenpp
74,kcnt1a
75,LOC111569979
76,grik1a
77,plch1
78,lhx9
79,LOC111577378
80,LOC111572587
81,LOC111564876
82,efna3b
83,zfhx4
84,galr1a
85,LOC111582477
86,prkd1
87,LOC111585784
88,itga3b
89,LOC111584347
90,LOC111571757
91,znf536
92,kcnip4a
93,gfra3
94,LOC111568697
