"","cluster","gene","behavior_p.value","behavior_estimate","behavior_x_status_p.value","status_p.value","d_f_p.value","d_f_estimate","d_m_p.value","d_m_estimate","f_m_p.value","f_m_estimate","behavior_q.value","status_q.value","behavior_x_status_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",26,"LOC129348986",0.275270799239986,0.00022405958605533,0.654094846706256,0.910868187542548,0.983342036339524,-0.0045661322988873,0.790949735245061,0.0508422400060206,0.805703947299688,0.0554083723049079,0.999052010328505,0.999887215316155,0.981377054430819,0.999906406543096,0.999798197321966,0.999910391040111
"2",26,"trip4",0.166386575302017,4.42726013737085e-05,0.202793604782899,0.531194443968944,0.80344089950952,-0.0333743656845502,0.133436740202379,-0.184188038352318,0.284707416876296,-0.150813672667768,0.999052010328505,0.999887215316155,0.915415795370871,0.999906406543096,0.999798197321966,0.999910391040111
"3",26,"cln6a",0.534200469596337,1.38129734279017e-05,0.739214186208291,0.470043747517027,0.742153322877401,-0.023476155271741,0.227655517975423,-0.0774589381430354,0.46590054271801,-0.0539827828712944,0.999052010328505,0.999887215316155,0.992717513450953,0.999906406543096,0.999798197321966,0.999910391040111
"4",26,"LOC118470268",0.338070882172867,8.04016365531386e-05,0.406822327532266,0.675475255943947,0.245664059946318,-0.0388750475709631,0.348985169442189,-0.0272077802005347,0.728516260472429,0.0116672673704283,0.999052010328505,0.999887215316155,0.957474567997741,0.999906406543096,0.999798197321966,0.999910391040111
"5",26,"LOC111568352",0.666963597971081,-8.13673672262112e-05,0.719468977185481,0.887733844941538,0.749655200283339,-0.0179088128569158,0.950668002768847,0.00303516762759178,0.716971601077043,0.0209439804845076,0.999052010328505,0.999887215316155,0.989758516859022,0.999906406543096,0.999798197321966,0.999910391040111
"6",26,"rxfp3.3a2",0.802999858675255,5.02679995912958e-05,0.37991714195135,0.817417641346376,0.879882211162584,-0.00245150437284779,0.364884079049442,-0.0130804631963408,0.527324601640118,-0.010628958823493,0.999052010328505,0.999887215316155,0.949926868276439,0.999906406543096,0.999798197321966,0.999910391040111
"7",26,"rps17",0.696379649679756,0.000131279857278861,0.972657975511489,0.842365747070228,0.66867848850557,-0.048370157529027,0.567184966696419,-0.0568046170042956,0.941971604176191,-0.00843445947526861,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
"8",26,"csnk1g1",0.471598158273766,0.000223873896976799,0.34857161242194,0.335421013931187,0.694968389992362,0.0491969780061356,0.209023503307052,-0.142045400859357,0.153713907333649,-0.191242378865492,0.999052010328505,0.999887215316155,0.949356204653752,0.999906406543096,0.999798197321966,0.999910391040111
"9",26,"LOC111571203",0.893840081419834,-5.30386633158242e-05,0.936218020230631,0.839775545396078,0.790485198425425,0.0457975574944006,0.510652625664563,0.100031638663818,0.759854232525641,0.0542340811694173,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
"10",26,"neo1a",0.359014479595179,0.000297703148482633,0.7090607981728,0.381259005207367,0.173219421062432,-0.237330435986919,0.867041234117487,0.0246305328038563,0.146078600024442,0.261960968790775,0.999052010328505,0.999887215316155,0.988594235984561,0.999906406543096,0.999798197321966,0.999910391040111
"11",26,"LOC111567962",0.574788442634473,-0.000158008509481468,0.188803264282997,0.698775900972961,0.824851272558429,-0.0330092381537105,0.485140818907011,-0.0919883454393146,0.701274610219382,-0.058979107285604,0.999052010328505,0.999887215316155,0.905270834610306,0.999906406543096,0.999798197321966,0.999910391040111
"12",26,"bbs4",0.308946989865886,0.000191240580659285,0.688046297392742,0.719346108269591,0.692679879958341,0.0312343477351931,0.655747121573887,0.0308821280145559,0.996532863190639,-0.000352219720637103,0.999052010328505,0.999887215316155,0.98646664238913,0.999906406543096,0.999798197321966,0.999910391040111
"13",26,"scamp2l",0.237855580920208,0.00014114984222259,0.0289999188280174,0.889017043404241,0.228171846049288,-0.0375690635343703,0.261523657397036,-0.0305386188728944,0.821636990278086,0.00703044466147588,0.999052010328505,0.999887215316155,0.611497390727226,0.999906406543096,0.999798197321966,0.999910391040111
"14",26,"myo9aa",0.532193028038876,-0.000227138081347978,0.848688354759873,0.502671138546858,0.375563688066913,0.0725740223326137,0.962687366718595,-0.0033037144131192,0.368098405411565,-0.0758777367457329,0.999052010328505,0.999887215316155,0.997937625727445,0.999906406543096,0.999798197321966,0.999910391040111
"15",26,"LOC111580711",0.12041829039424,-0.000106127930595379,0.932107433950323,0.623921554279291,0.424795575641438,0.0259810346837731,0.36547859035735,0.0258951131882111,0.997926825884813,-8.59214955620179e-05,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
"16",26,"coro2ba",0.0622620436200411,0.000190818723070396,0.975488545989199,0.205132253036475,0.124022258946869,0.138664629300262,0.17229388950033,0.106667221565233,0.718177254829524,-0.0319974077350297,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
"17",26,"itga11a",0.771563075258426,7.70270645374452e-05,0.0231730844830492,0.800180506810956,0.866013042875653,0.00257557131431473,0.232383608885339,-0.0164196591120358,0.239162132183655,-0.0189952304263505,0.999052010328505,0.999887215316155,0.567097872059286,0.999906406543096,0.999798197321966,0.999910391040111
"18",26,"LOC111564416",0.231307604402972,9.83912861321855e-05,0.170646887094714,0.139244176804655,0.799463930364895,-0.013255544402907,0.117082387284668,-0.0751565398087539,0.260306121149553,-0.0619009954058469,0.999052010328505,0.999887215316155,0.897247298971852,0.999906406543096,0.999798197321966,0.999910391040111
"19",26,"cpeb1b",0.713002877929538,9.04120559528713e-05,0.410144748284302,0.110114052310595,0.0474940087624504,-0.0717504503793222,0.738615180440633,-0.00978920826086582,0.0891812758205969,0.0619612421184564,0.999052010328505,0.999887215316155,0.957474567997741,0.916706994443463,0.999798197321966,0.999910391040111
"20",26,"LOC111564418",0.874979107917852,-4.79152460371513e-05,0.997295222931311,0.296539358905771,0.271940982730891,0.0727600990571852,0.175472211920074,0.0795933267155339,0.918189479321176,0.00683322765834873,0.999052010328505,0.999887215316155,0.999465889936013,0.999906406543096,0.999798197321966,0.999910391040111
