"","X","source","Phase","Log_11KT","Log_E2","days","mass_final","Percent_Testicular","z_11kt","z_mass","z_percent_testicular","z_testis","SexState"
"1",9,"DeAngelis 2018","F",2.66903500918249,1.84224717666179,NA,4.07,0,0.627750449707529,-0.0929448757003228,-0.783081360239224,-0.949743727558784,0.311166324863145
"2",10,"DeAngelis 2018","M",NA,NA,0,3.39,NA,NA,-0.367912524868245,NA,NA,-0.221360390427864
"3",11,"DeAngelis 2018","F",2.25478968739721,1.55546930427502,NA,4,0,-0.0865651672974089,-0.121250368997021,-0.783081360239224,-0.949743727558784,0.432686228325093
"4",13,"DeAngelis 2018","M",NA,NA,0,3.24,NA,NA,-0.428567153361169,NA,NA,-0.257854207128611
"5",14,"DeAngelis 2018","F",NA,NA,NA,7.62,0,NA,1.34254799863221,-0.783081360239224,-0.949743727558784,0.812270722567892
"6",15,"DeAngelis 2018","F",2.09657286966156,3.96070855168856,NA,7.3,0,-0.359390804275826,1.21315145784731,-0.783081360239224,-0.949743727558784,0.709942063210319
"7",16,"DeAngelis 2018","M",NA,NA,0,3.6,NA,NA,-0.282996044978151,NA,NA,-0.170269047046819
"8",17,"DeAngelis 2018","F",2.73766327100596,1.7709624114602,NA,5.6,0,0.746091530729607,0.525732334927501,-0.783081360239224,-0.949743727558784,0.396396194876661
"9",19,"DeAngelis 2018","M",2.88340930086709,1.9619476238041,0,4.85,NA,0.997412812518848,0.222459192462881,NA,NA,-0.299238658026093
"10",20,"DeAngelis 2018","M",2.6250221382068,1.78565009807064,0,4.85,NA,0.551855612919355,0.222459192462881,NA,NA,-0.128664063939152
"11",21,"DeAngelis 2018","F",1.60038473062249,3.96070855168856,NA,6.61,0,-1.21500683190098,0.934140166779856,-0.783081360239224,-0.949743727558784,0.8134390695481
"12",23,"DeAngelis 2018","M",3.16347356104345,1.9211868796098,0,3.04,NA,1.48034952728181,-0.509439991351734,NA,NA,-0.755897697264284
"13",24,"DeAngelis 2018","F",1.41422103321487,3.96070855168856,NA,6.23,0,-1.53602345993323,0.780481774597782,-0.783081360239224,-0.949743727558784,0.843865313689728
"14",25,"DeAngelis 2018","M",3.1311192915276,1.73977797256621,0,2.39,NA,1.42455852910624,-0.772276714821071,NA,NA,-0.832137487133533
"15",26,"DeAngelis 2018","F",2.09384176691213,3.96070855168856,NA,7.1,0,-0.364100258415599,1.13227861985674,-0.783081360239224,-0.949743727558784,0.696897242749265
"16",27,"DeAngelis 2018","M",NA,NA,0,2.23,NA,NA,-0.836974985213523,NA,NA,-0.503579239580306
"17",28,"DeAngelis 2018","F",1.83714634390906,3.96070855168856,NA,8.03,0,-0.80674025897021,1.50833731651287,-0.783081360239224,-0.949743727558784,0.83974221081571
"18",29,"DeAngelis 2018","M",3.0408194330863,1.83383531530306,0,2.67,NA,1.2688474185499,-0.65905474163428,NA,NA,-0.73048349714505
"19",30,"DeAngelis 2018","F",1.52006410180879,3.06355589192701,NA,5.6,0,-1.35350997608138,0.525732334927501,-0.783081360239224,-0.949743727558784,0.767859138479318
"20",31,"DeAngelis 2018","M",NA,NA,0,2.69,NA,NA,-0.650967457835223,NA,NA,-0.391664868364683
"21",32,"DeAngelis 2018","F",NA,NA,NA,3.85,0,NA,-0.181904997489945,-0.783081360239224,-0.949743727558784,0.494439039210161
"22",34,"DeAngelis 2018","M",NA,NA,0,4.23,NA,NA,-0.0282466053078705,NA,NA,-0.0169950169036819
"23",35,"DeAngelis 2018","F",NA,NA,NA,3.75,0,NA,-0.222341416485227,-0.783081360239224,-0.949743727558784,0.486008490579982
"24",37,"DeAngelis 2018","M",2.87298966778208,1.7309759697818,0,2.93,NA,0.97944542400615,-0.553920052246545,NA,NA,-0.580651077282595
"25",38,"DeAngelis 2018","F",2.23859051264603,3.96070855168856,NA,7.57,0,-0.114498671669868,1.32232978913457,-0.783081360239224,-0.949743727558784,0.685350906010226
"26",39,"DeAngelis 2018","M",3.42847399460652,1.97133152394899,0,3.97,NA,1.93731050729089,-0.133381294695605,NA,NA,-0.791197119927976
"27",40,"DeAngelis 2018","F",1.50260462547367,3.31985714508511,NA,7.73,0,-1.38361671707523,1.38702805952702,-0.783081360239224,-0.949743727558784,0.920986560316779
"28",41,"DeAngelis 2018","M",3.07171488219204,1.77584336832537,0,2.93,NA,1.32212285856091,-0.553920052246545,NA,NA,-0.711839764962816
"29",42,"DeAngelis 2018","F",1.53940232469231,3.57841100218068,NA,13.8,0,-1.32016356542963,3.84151869254068,-0.783081360239224,-0.949743727558784,1.33095830203215
"30",44,"DeAngelis 2018","M",3.48358729696889,2.01213672916385,0,2.95,NA,2.03234668636587,-0.545832768447488,NA,NA,-0.980734800825484
"31",45,"DeAngelis 2018","F",1.50693775829137,3.09793200737024,NA,11.15,0,-1.37614475715327,2.76995358916569,-0.783081360239224,-0.949743727558784,1.15697876364519
"32",46,"DeAngelis 2018","M",2.6383444679945,1.66132986783117,0,3.58,NA,0.574828348450155,-0.291083328777208,NA,NA,-0.328151268808093
"33",47,"DeAngelis 2018","F",1.53867425330317,3.70502389173806,NA,8.59,0,-1.32141903588688,1.73478126288645,-0.783081360239224,-0.949743727558784,0.969657991167643
"34",49,"DeAngelis 2018","M",NA,NA,0,2.94,NA,NA,-0.549876410347017,NA,NA,-0.330841840530105
"35",50,"DeAngelis 2018","F",1.70044410102775,3.92638649132064,NA,12.99,0,-1.04246663132581,3.51398369867889,-0.783081360239224,-0.949743727558784,1.22562198699885
"36",51,"DeAngelis 2018","M",2.96991655347538,1.76364508653517,0,5.47,NA,1.14658403612128,0.473164990233634,NA,NA,-0.263252570766409
"37",52,"DeAngelis 2018","F",NA,NA,NA,7.91,0,NA,1.45981361371853,-0.783081360239224,-0.949743727558784,0.83671931359541
"38",53,"DeAngelis 2018","M",NA,NA,0,4.13,NA,NA,-0.0686830243031534,NA,NA,-0.0413242280375133
"39",54,"DeAngelis 2018","F",1.34435296923856,3.24641585015798,NA,NA,0,-1.65650242880387,NA,-0.783081360239224,-0.949743727558784,0.881345601584462
"40",55,"DeAngelis 2018","M",2.99761614141614,1.6979264448065,0,2.19,NA,1.19434860269602,-0.853149552811636,NA,NA,-0.77403553066153
"41",56,"DeAngelis 2018","F",1.73678679344934,3.96070855168856,NA,13.04,0,-0.979798083497996,3.53420190817653,-0.783081360239224,-0.949743727558784,1.21800412946868
"42",57,"DeAngelis 2018","M",2.50296078298027,1.71767050300226,0,3.91,NA,0.34137566858267,-0.157643146092775,NA,NA,-0.189227559964927
"43",58,"DeAngelis 2018","M",3.02636531574836,1.8982423638834,0,3.15,NA,1.24392305320036,-0.464959930456923,NA,NA,-0.648868856197133
"44",1,"Dodd",NA,2.44040526010395,2.2481204598836,21,2.65,0.5053,0.233506286430355,-0.667142025433336,1.24985223688994,1.20342980937566,-0.711015377215737
"45",2,"Dodd",NA,2.57226735013482,2.22664887333773,21,2.65,0.213042,0.460886404554621,-0.667142025433336,0.0740336989327369,0.600023879182957,-0.472853584189083
"46",3,"Dodd","D",2.51597975627943,2.17369604651614,21,3.32,0.515925,0.363825302787062,-0.396218018164943,1.29259896055805,1.2228673646279,-0.696547936002728
"47",4,"Dodd","S",NA,NA,21,2.91,0.495571,NA,-0.562007336045601,1.21071031928363,1.18563920469761,-0.781764158442417
"48",5,"Dodd","D",2.02579724131029,2.34056903090264,21,3.6,0.517223632,-0.48143475740188,-0.282996044978151,1.29782364415811,1.22524450006284,-0.528671441719491
"49",6,"Dodd","S",2.29569901748951,2.15037261793351,21,2.14,0.495570955,-0.0160220088612415,-0.873367762309278,1.21071013823868,1.18563912240624,-0.694049620958364
"50",7,"Dodd","S",1.96960226484854,2.15867904975734,21,2.45,0.519234285,-0.578336151751626,-0.748014863423901,1.3059129456342,1.22892580227046,-0.593024619167351
"51",8,"Dodd","D",2.32584392829329,2.17176154673894,21,3.43,0.486081803,0.035959219237026,-0.351737957270132,1.17253318215504,1.1682815334979,-0.605724770175361
"52",91,"Dodd","D",1.54257647626053,3.43406678021204,182.5,5.22,0,-1.31469012754951,0.372073942745427,-0.783081360239224,-0.949743727558784,0.734622865535437
"53",101,"Dodd","S",2.64353163194171,2.27266760575737,182.5,2.57,0.385011911,0.583772981064201,-0.699491160629562,0.765906665026567,0.979802899115479,-0.675362505457887
"54",111,"Dodd","D",2.82563380238265,2.30253438890083,182.5,3.6,0.371451026,0.897786000392597,-0.282996044978151,0.711348227022797,0.95350619271384,-0.647313734995529
"55",12,"Dodd","S",2.76216821173891,2.23658512193237,182.5,2.24,0.238149579,0.788347317189399,-0.832931343313995,0.175047039308107,0.664668107089715,-0.589062684004147
"56",131,"Dodd","D",1.16672605558005,2.32241158257245,182.5,5.04,0.190471919,-1.9627984127388,0.299288388553919,-0.0167707260718677,0.537282546149055,0.150735364754742
"57",141,"Dodd","S",3.05983594965872,2.23825190492249,182.5,3.22,0.278436379,1.3016390858406,-0.436654437160225,0.337129741150227,0.75979054157129,-0.655758426232611
"58",151,"Dodd","D",NA,NA,182.5,4.93,0.257013293,NA,0.254808327659108,0.250939930575148,0.710356554301164,-0.34505470072238
"59",161,"Dodd","S",NA,NA,182.5,2.39,0.520525569,NA,-0.772276714821071,1.31110806660597,1.23129058311497,-0.851192188946328
"60",171,"Dodd","S",NA,NA,365,1.7,0.090421546,NA,-1.05128800588852,-0.419295492897525,0.161567593442292,-0.309746214971068
"61",18,"Dodd","D",2.22809223915698,2.24572236167602,365,4.2,0.14100916,-0.132601665983717,-0.0403775310064554,-0.21577033932697,0.377941157474129,-0.157837537862616
"62",191,"Dodd","S",2.85377119631242,2.27257719366546,365,2.9,0.32169893,0.946305510086114,-0.56605097794513,0.511184547058428,0.853364856228178,-0.658269259409087
"63",201,"Dodd","D",2.16731733474818,2.24533743412421,365,3.12,0.236095608,-0.23740058840508,-0.477090856155508,0.166783459942525,0.659554858423626,-0.344164298030012
"64",211,"Dodd","M",2.78958071216443,2.36892623120274,0,2.97,0.525636734,0.8356168363012,-0.537745484648432,1.3316714132297,1.24065589673958,-0.812511150574147
"65",22,"Dodd","F",1.67024585307412,3.54708408354326,NA,4.42,0,-1.09453983284442,0.0485825907831662,-0.783081360239224,-0.949743727558784,0.640161642566559
"66",231,"Dodd","D",2.58396916141875,2.31006424490522,365,3.84,0.081408393,0.481064753247449,-0.185948639389473,-0.455557399784059,0.113245562617371,-0.169267124386964
"67",241,"Dodd","S",NA,NA,365,1.55,0.032741929,NA,-1.11194263438145,-0.651353342232262,-0.263985491076534,-0.0838548053730937
"68",251,"Dodd","D",2.81012493947536,NA,21,3.71,0.487833197592646,0.871042854739384,-0.23851598408334,1.17957942974898,1.17148615954305,-0.735517613747176
"69",261,"Dodd","S",2.50601769985113,NA,21,2.65,0.396647376612019,0.346646949502224,-0.667142025433336,0.812718715216384,1.00210110868358,-0.638146397629345
"70",271,"Dodd","D",1.95525468282018,NA,21,3.97,0.560438823128305,-0.60307680993202,-0.133381294695605,1.47168791083353,1.30477540986974,-0.518168842249232
"71",281,"Dodd","S",2.19345854260921,NA,21,2.88,0.556323736298356,-0.192323258522318,-0.574138261744186,1.4551320068721,1.29715085343384,-0.662957154828374
"72",291,"Dodd","S",NA,2.15037261793351,21,2,0.635961523987347,NA,-0.929978748902673,1.7755324307668,1.44850103185818,-1.00582530292021
"73",301,"Dodd","D",NA,2.36892623120274,21,2.85,0.424765539304146,NA,-0.586269187442771,0.925844299278068,1.05515708906466,-0.71368274573694
"74",311,"Dodd","F",NA,NA,NA,4.7,0,NA,0.161804563969958,-0.783081360239224,-0.949743727558784,0.566098702566678
"75",321,"Dodd","M",NA,NA,0,3,0.693,NA,-0.525614558949847,2.00501082818451,1.56509505387983,-0.986874801356886
"76",33,"Dodd","F",1.51534389308838,NA,NA,10.32,0,-1.36164940126543,2.43433131150484,-0.783081360239224,-0.949743727558784,1.09682045094133
"77",341,"Dodd","F",1.15654915133178,NA,NA,7.62,0,-1.98034724492832,1.34254799863221,-0.783081360239224,-0.949743727558784,1.01892762481416
