fishID,cohort,tank,status,status2,publication,dead,week_brdu,week_sack,week_sack2,week_sack_c,length_initial_cm,mass_initial_g,length_dosing_cm,mass_dosing_g,brdu_dose_ug,brdu_volume_uL,length_sack_cm,mass_sack_g,brain_mass_mg,egg_behavior_by,egg_nest_entrances,egg_nesttime_sec,egg_nips,egg_fans,egg_wiggles,egg_care_sum,egg_trialtime_sec,egg_nesttime_sec_5min,egg_nips_5min,egg_fans_5min,egg_wiggles_5min,egg_care_sum_5min,eggs_pre,eggs_post,eggs_lost,male1_behavior_by,male1_ID,male1_length_cm,male1_mass_g,male1_clashes,male1_lunges_bysubject,male1_chases_bysubject,male1_quivers_bysubject,male1_flees_bysubject,male1_trembles_bysubject,male1_lunges_bystimulus,male1_chases_bystimulus,male1_quivers_bystimulus,male1_flees_bystimulus,male1_trembles_bystimulus,male2_grader,male2_ID,male2_length_cm,male2_mass_g,male2_clashes,male2_lunges_bysubject,male2_chases_bysubject,male2_quivers_bysubject,male2_flees_bysubject,male2_trembles_bysubject,male2_lunges_bystimulus,male2_chases_bystimulus,male2_quivers_bystimulus,male2_flees_bystimulus,male2_trembles_bystimulus,female1_grader,female1_ID,female1_length_cm,female1_mass_g,female1_clashes,female1_lunges_bysubject,female1_chases_bysubject,female1_quivers_bysubject,female1_flees_bysubject,female1_trembles_bysubject,female1_lunges_bystimulus,female1_chases_bystimulus,female1_quivers_bystimulus,female1_flees_bystimulus,female1_trembles_bystimulus,female2_grader,female2_ID,female2_length_cm,female2_mass_g,female2_clashes,female2_lunges_bysubject,female2_chases_bysubject,female2_quivers_bysubject,female2_flees_bysubject,female2_trembles_bysubject,female2_lunges_bystimulus,female2_chases_bystimulus,female2_quivers_bystimulus,female2_flees_bystimulus,female2_trembles_bystimulus,estradiol_pg_mL,androgen_pg_mL,testicular_prop,testicular_pct,testicular_area,ovarian_area,vit_area,nonvit_area,gonad_area_px,gonad_area_mm2,gonad_vol_mm3,gonad_norm,testes_norm,poa_counts_by,poa_vol_by,poa_post_brdu_avg,poa_mid_brdu_avg,poa_ant_brdu_avg,poa_post_brdu_total,poa_mid_brdu_total,poa_ant_brdu_total,poa_full_brdu_total,poa_post_sections_total,poa_mid_sections_total,poa_ant_sections_total,poa_post_sections_absent,poa_mid_sections_absent,poa_ant_sections_absent,poa_post_sections_present,poa_mid_sections_present,poa_ant_sections_present,poa_post_vol_mm3,poa_mid_vol_mm3,poa_ant_vol_mm3,poa_full_vol_mm3,poa_post_density,poa_mid_density,poa_ant_density,poa_full_density
B24S,cohort_1,B24,subordinate,subordinate,present,n,week_02,week_06,week_06,6,4.7,1.84,,1.84,150,15,4.9,1.83,21.4,abby,0,0,0,0,0,0,600,0,0,0,0,0,371,353,18,Joanne,D16M,5.3,2.63,0,0,0,0,0,0,0,0,0,0,0,Joanne,C25M,5.5,2.95,0,0,0,0,0,0,0,0,0,0,0,Coltan,D16F,6.9,6.43,0,0,0,0,0,1,2,0,1,0,0,Coltan,D15F,7.3,8.3,0,0,0,0,0,0,0,0,3,0,0,114.06,171.12,0.488186907,48.81869073,20595536,21592273,,,814280,21.13384309,0.845353724,0.461941925,22.55139999,sarah,coltan,9.333333333,11.2,18,130.6666667,134.4,288,553.0666667,7,6,8,1,1,3,6,5,5,0.01080053,0.016285684,0.030190345,0.057276559,12098.17202,8252.646727,9539.473612,9656.073523
B24S_2,cohort_2,B24_2,subordinate,subordinate,present,n,week_10,week_14,week_14,14,5,2.3,4.9,2.4,200,20,5,2.46,19.1,abby,23,388.786,41,0,0,41,600,186.289,28,0,0,28,906,596,310,Coltan,B21M,6.1,4.48,0,0,0,0,0,0,1,0,10,0,0,Coltan,T19M,5.5,3.68,0,0,0,0,0,0,0,0,8,0,0,Coltan,A12F,8.1,12.4,0,0,0,0,0,0,0,0,0,0,0,Coltan,T03F,7.6,10.18,0,0,0,0,0,0,1,0,2,0,0,324.18,312.09,0.175343789,17.53437886,1645050,7736805,,,1052038,27.30462005,1.092184802,0.443977562,7.784870775,,coltan,,,,,,,,,,,,,,,,,,,,,,,,
B25D,cohort_1,B25,dominant,dominant,present,n,week_22,week_26,week_26,26,5.2,2.5,5.4,3,300,30,5.4,2.9,24.5,abby,16,534.744,114,8,2,124,600,273.946,71,5,1,77,905,855,50,Joanne ,C15M,5.6,3.4,0,0,0,0,1,0,1,0,0,0,0,Joanne,C23M,5.1,2.8,0,0,0,0,0,0,0,0,0,0,0,Coltan,D19F,7.1,6.6,0,2,0,1,0,4,4,0,1,0,0,Coltan,A22F,7.5,8.9,0,1,0,0,0,2,1,0,0,0,0,169.74,495.18,0.11093881,11.093881,176777,12147493,,,2120342,55.03140826,2.201256331,0.759053907,8.420853721,sarah,coltan,2.428571429,3.428571429,6,34,48,84,166,7,7,7,0,0,1,7,7,6,0.011252802,0.02032498,0.030150302,0.061728083,3021.469659,2361.625994,2786.041758,2689.213575
B25D_2,cohort_2,B25_2,dominant,dominant,present,n,week_06,week_10,week_10,10,6.4,4.5,6.6,5.5,550,55,6.4,5.1,33.8,abby,36,301.069,151,1,1,153,600,144.246,76,1,1,78,1144,888,256,Coltan,T20M,5.6,4.1,1,1,0,2,0,0,1,0,3,0,0,Coltan,T04M,5.5,3.6,1,2,0,1,0,0,1,0,2,0,0,Coltan,T11F,7.5,8.7,0,0,0,0,0,6,7,0,0,0,0,Coltan,T13F,7.9,10.6,0,0,0,0,0,0,0,0,0,0,0,338.97,312.15,0.375732612,37.57326123,17186426,28554682,,,4004652,103.9368362,4.157473448,0.815190872,30.6293796,coltan,coltan,6.8,15.42857143,36.66666667,81.6,216,586.6666667,884.2666667,6,7,8,1,0,2,5,7,6,0.016072,0.026885122,0.038372967,0.081330089,5077.152863,8034.183254,15288.54078,10872.56486
B25S,cohort_1,B25,subordinate,subordinate,present,n,week_22,week_26,week_26,26,4.2,1.43,4.5,1.9,200,20,4.5,1.5,26.8,abby,31,434.22,4,0,0,4,600,246.689,0,0,0,0,905,855,50,Joanne,C23M,5.1,2.8,0,0,0,0,0,0,0,0,0,0,0,Joanne,C15M,5.6,3.4,0,0,0,0,0,0,0,0,0,0,0,Coltan,A22F,7.5,8.9,0,0,0,0,0,1,0,0,0,0,0,Coltan,D19F,7.1,6.6,0,0,0,0,0,0,0,0,0,0,0,97.11,423.81,0.089902464,8.990246403,3388672,34304088,,,2123172,55.10485815,2.204194326,1.469462884,13.21083341,sarah,coltan,3.5,9,15.88888889,56,126,286,468,8,7,9,0,1,0,8,6,9,0.01298561,0.022789766,0.027845203,0.063620578,4312.466042,5528.797507,10271.06912,7356.110496
B25S_2,cohort_2,B25_2,subordinate,subordinate,present,n,week_06,week_10,week_10,10,5.4,3.1,5.3,3,300,30,5.3,2.9,24.4,abby,51,350.617,111,0,3,114,600,184.054,68,0,0,68,1144,888,256,Coltan,T04M,5.5,3.6,0,0,0,0,0,0,0,0,1,0,0,Coltan,T20M,5.6,4.1,0,0,0,0,0,0,1,0,6,0,0,Coltan,T13F,7.9,10.6,0,0,0,0,0,0,0,0,0,0,0,Coltan,T11F,7.5,8.7,0,0,0,0,0,0,0,0,0,0,0,329.85,151.53,0.214327512,21.43275119,2545561,9331407,,,2211742,57.4036061,2.296144244,0.791773877,16.96989251,coltan,coltan,5.166666667,14.57142857,29.66666667,72.33333333,204,415.3333333,691.6666667,7,7,7,1,0,1,6,7,6,0.012267864,0.024085361,0.031003951,0.067357176,5896.163412,8469.875005,13396.14228,10268.64106
C11D,cohort_1,C11,dominant,dominant,present,n,week_10,week_14,week_14,14,5.7,3.52,,3.64,350,35,5.8,3.75,29.4,abby,15,310.293,75,0,33,108,600,177.745,44,0,17,61,665,664,1,Sarah,C22M,7.2,6.9,0,1,0,0,0,0,4,0,0,0,0,Sarah,C25M,5.5,3.01,7,12,0,9,0,0,9,0,13,0,0,Coltan,A22F,7.6,9.14,0,0,0,0,0,2,2,0,0,0,0,Coltan,C11F,6.7,6.03,0,0,0,0,0,0,0,0,0,0,0,163.74,307.26,0.233096186,23.30961857,3003201,9880755,,,3653054,94.8114531,3.792458124,1.011322166,23.57353395,sarah,coltan,4.25,7.875,16.4,68,126,295.2,489.2,8,8,9,0,0,4,8,8,5,0.010452224,0.019027578,0.031747966,0.061227768,6505.79224,6621.96744,9298.233568,7989.838898
C11S,cohort_1,C11,subordinate,subordinate,present,n,week_10,week_14,week_14,14,5,2.25,,2.18,200,20,4.9,2.19,21.5,abby,0,0,0,0,0,0,600,0,0,0,0,0,665,664,1,Sarah,C25M,5.5,3.01,0,1,0,9,0,0,1,0,8,0,0,Sarah,C22M,7.2,6.9,0,8,0,0,0,0,0,0,0,0,0,Joanne,C11F,6.7,6.03,0,0,0,0,0,0,0,0,0,0,0,Joanne,A22F,7.6,9.14,0,0,0,0,0,0,0,0,0,0,0,,,0.093567285,9.356728517,762877,7390368,,,1501428,38.96809913,1.558723965,0.711746103,6.659615057,sarah,coltan,3.8,6.8,10.2,45.6,68,122.4,236,6,5,6,1,0,1,5,5,5,0.010407846,0.011049123,0.016734892,0.038191862,4381.309953,6154.334569,7314.059547,6179.326944
C12D,cohort_1,C12,dominant,dominant,present,n,week_06,week_10,week_10,10,5.7,3.52,,4.56,450,45,5.9,4.21,33.3,abby,50,341.584,74,0,0,74,600,158.524,38,0,0,38,483,421,62,Sarah,C22M,7.3,6.78,0,3,0,1,0,0,7,0,0,0,0,Sarah,D14M,5.5,3.38,0,7,0,14,0,0,3,0,4,0,0,Joanne ,A25F,7.7,8.17,0,0,0,0,0,0,0,0,0,0,0,Joanne ,C23F,7.2,6.91,0,0,0,0,0,0,0,0,0,0,0,157.74,271.14,0.122288137,12.22881373,5730416,41129534,,,3626368,94.118844,3.76475376,0.894240798,10.93550415,sarah,coltan,5,6.8,24.6,70,68,295.2,433.2,7,5,6,0,0,1,7,5,5,0.016702985,0.020270678,0.033746678,0.070720341,4190.867685,3354.599213,8747.527759,6125.536114
C12S,cohort_1,C12,subordinate,subordinate,present,n,week_06,week_10,week_10,10,5,2.28,,2.27,200,20,5,2.2,23.8,abby,32,335.097,54,0,0,54,600,163.449,18,0,0,18,483,421,62,Sarah,D14M,5.5,3.38,0,0,0,7,0,0,0,0,0,0,0,Sarah,C22M,7.3,6.78,0,0,0,0,0,0,0,0,3,0,0,Joanne,C23F,7.2,6.91,0,0,0,0,0,0,0,0,0,0,0,Joanne,A25F,7.7,8.17,0,0,0,0,0,0,0,0,0,0,0,144.84,89.01,0.158089132,15.80891316,9295176,49501883,,,1527144,39.63553282,1.585421313,0.720646051,11.39263085,sarah,coltan,2.75,10.42857143,19.66666667,38.5,146,314.6666667,499.1666667,7,7,8,3,0,2,4,7,6,0.013428473,0.023531192,0.024956068,0.061915733,2867.042292,6204.530491,12608.8241,8062.032758
C13D,cohort_1,C13,dominant,dominant,present,n,week_18,week_22,week_22,22,5.4,3.22,5.6,3.9,400,40,5.5,3.7,29,abby,0,0,0,0,0,0,600,0,0,0,0,0,774,760,14,Sarah,D14M,5.4,3.6,0,4,0,1,0,0,0,0,0,0,0,Sarah,C12M,5.8,4.2,9,96,0,10,0,0,81,0,1,0,0,Joanne ,B23F,6.8,7,0,0,0,0,0,0,0,0,0,0,0,Joanne,C25F,7.5,8.8,1,0,0,0,0,0,13,0,0,0,0,176.25,115.44,0.212476009,21.24760085,2130607,7896911,,,398397,10.34000551,0.41360022,0.111783843,2.375138485,sarah,coltan,3.111111111,7.8,13.7,56,109.2,274,439.2,9,7,10,0,2,0,9,5,10,0.011957264,0.014900474,0.033480392,0.06033813,4683.345512,7328.625684,8183.894743,7278.97928
C13S,cohort_1,C13,subordinate,subordinate,present,n,week_18,week_22,week_22,22,4.8,2.14,4.8,2.5,250,25,4.8,2.3,32.1,abby,0,0,0,0,0,0,600,0,0,0,0,0,774,760,14,Sarah,C12M,5.8,4.2,3,1,0,2,0,0,15,0,13,0,0,Sarah,D14M,5.4,3.6,0,1,0,1,0,0,0,0,8,0,0,Joanne ,C25F,7.5,8.8,0,0,0,0,0,0,0,0,0,0,0,Joanne,B23F,6.8,7,0,0,0,0,0,0,0,0,0,0,0,106.44,104.16,0.347920014,34.79200138,12514908,23455739,,,321097,8.333759412,0.333350376,0.144934946,5.042576851,sarah,coltan,3.8,3.2,11.28571429,53.2,44.8,180.5714286,278.5714286,7,7,8,2,2,1,5,5,7,0.007452541,0.014707267,0.025850642,0.048010449,7138.504695,3046.113275,6985.181704,5802.3083
C14D,cohort_1,C14,dominant,dominant,present,n,week_02,week_06,week_06,6,5.8,3.67,,3.65,350,35,5.9,3.69,31.8,abby,18,342.71,39,0,0,39,600,34.507,8,0,0,8,366,371,-5,Sarah,B13M,5.8,3.6,0,0,0,0,0,0,3,0,0,0,0,Sarah,C23M,5.4,2.8,0,0,0,0,0,0,1,0,0,0,0,Joanne ,C25F,7.6,8.6,0,0,0,0,0,0,0,0,1,0,0,Joanne,C23F,7.3,6.8,0,0,0,0,0,0,0,0,0,0,0,163.17,249.96,0.229448105,22.94481052,13743093,46153209,,,1801632,46.75960111,1.870384044,0.506879145,11.63024593,sarah,coltan,3.75,7.8,14.5,37.5,78,145,260.5,5,5,5,1,0,1,4,5,4,0.009849823,0.014516525,0.020032486,0.044398834,3807.174848,5373.186728,7238.243094,5867.271192
C14S,cohort_1,C14,subordinate,subordinate,present,n,week_02,week_06,week_06,6,5.1,2.45,,2.32,200,20,5.1,2.4,22.2,abby,0,0,0,0,0,0,600,0,0,0,0,0,366,371,-5,Sarah,C23M,5.4,2.8,0,3,0,1,0,0,1,0,0,0,0,Sarah,B13M,5.8,3.6,0,7,0,1,0,0,3,0,0,0,0,Joanne ,C23F,7.3,6.8,0,0,0,0,0,0,0,0,0,0,0,Joanne,C25F,7.6,8.6,0,0,0,0,0,0,0,0,0,0,0,146.1,109.17,0.418871462,41.88714621,19547787,27119959,,,1551200,40.25988284,1.610395314,0.670998047,28.10619331,sarah,coltan,6,9,18.2,84,90,218.4,392.4,7,5,6,1,2,1,6,3,5,0.014923456,0.017361655,0.026236355,0.058521466,5628.722828,5183.837541,8324.327166,6705.231851
C15F,control,C15_C,female,female,present,n,control,control,control,,,,8,11.5,1150,115,7.8,10.9,39.3,abby,0,0,0,0,0,0,600,0,0,0,0,0,507,410,97,Joanne,T16M,5.8,4.33,0,0,0,0,0,0,0,0,0,0,0,Joanne ,T19M,5.4,3.79,0,0,0,0,0,0,0,0,0,0,0,Joanne ,T16F,7.8,13.09,14,1,0,0,11,0,31,5,0,0,0,Joanne,T03F,7.5,10.1,11,1,0,0,32,0,13,32,0,0,0,,,0,0,0,7708638,1027863,6680775,,,,,0,sarah,coltan,2.833333333,3.666666667,11.28571429,39.66666667,44,180.5714286,264.2380952,7,6,8,1,0,1,6,6,7,0.023201943,0.030393248,0.042303769,0.095898959,1709.626931,1447.689984,4268.447777,2755.380211
