fishID,cohort,tank,status,status2,publication,dead,week_brdu,week_sack,week_sack2,week_sack_c,length_initial_cm,mass_initial_g,length_dosing_cm,mass_dosing_g,brdu_dose_ug,brdu_volume_uL,length_sack_cm,mass_sack_g,brain_mass_mg,egg_behavior_by,egg_nest_entrances,egg_nesttime_sec,egg_nips,egg_fans,egg_wiggles,egg_care_sum,egg_trialtime_sec,egg_nesttime_sec_5min,egg_nips_5min,egg_fans_5min,egg_wiggles_5min,egg_care_sum_5min,eggs_pre,eggs_post,eggs_lost,male1_behavior_by,male1_ID,male1_length_cm,male1_mass_g,male1_clashes,male1_lunges_bysubject,male1_chases_bysubject,male1_quivers_bysubject,male1_flees_bysubject,male1_trembles_bysubject,male1_lunges_bystimulus,male1_chases_bystimulus,male1_quivers_bystimulus,male1_flees_bystimulus,male1_trembles_bystimulus,male2_grader,male2_ID,male2_length_cm,male2_mass_g,male2_clashes,male2_lunges_bysubject,male2_chases_bysubject,male2_quivers_bysubject,male2_flees_bysubject,male2_trembles_bysubject,male2_lunges_bystimulus,male2_chases_bystimulus,male2_quivers_bystimulus,male2_flees_bystimulus,male2_trembles_bystimulus,female1_grader,female1_ID,female1_length_cm,female1_mass_g,female1_clashes,female1_lunges_bysubject,female1_chases_bysubject,female1_quivers_bysubject,female1_flees_bysubject,female1_trembles_bysubject,female1_lunges_bystimulus,female1_chases_bystimulus,female1_quivers_bystimulus,female1_flees_bystimulus,female1_trembles_bystimulus,female2_grader,female2_ID,female2_length_cm,female2_mass_g,female2_clashes,female2_lunges_bysubject,female2_chases_bysubject,female2_quivers_bysubject,female2_flees_bysubject,female2_trembles_bysubject,female2_lunges_bystimulus,female2_chases_bystimulus,female2_quivers_bystimulus,female2_flees_bystimulus,female2_trembles_bystimulus,estradiol_pg_mL,androgen_pg_mL,testicular_prop,testicular_pct,testicular_area,ovarian_area,vit_area,nonvit_area,gonad_area_px,gonad_area_mm2,gonad_vol_mm3,gonad_norm,testes_norm,poa_counts_by,poa_vol_by,poa_post_brdu_avg,poa_mid_brdu_avg,poa_ant_brdu_avg,poa_post_brdu_total,poa_mid_brdu_total,poa_ant_brdu_total,poa_full_brdu_total,poa_post_sections_total,poa_mid_sections_total,poa_ant_sections_total,poa_post_sections_absent,poa_mid_sections_absent,poa_ant_sections_absent,poa_post_sections_present,poa_mid_sections_present,poa_ant_sections_present,poa_post_vol_mm3,poa_mid_vol_mm3,poa_ant_vol_mm3,poa_full_vol_mm3,poa_post_density,poa_mid_density,poa_ant_density,poa_full_density
C15M,control,C15_C,male,male,present,n,control,control,control,,,,5.9,3.4,300,30,5.5,3.7,28.4,abby,29,199.801,13,0,8,21,600,77.145,23,0,2,25,507,410,97,Joanne,T19M,5.4,3.79,2,0,0,0,0,0,0,0,0,0,0,Joanne,T16M,5.8,4.33,1,0,0,0,0,0,1,0,0,0,0,Joanne ,T03F,7.5,10.1,0,0,0,0,0,0,0,0,0,0,0,Joanne,T16F,7.8,13.09,0,0,0,0,0,0,1,0,0,0,0,342.78,248.43,0.636062339,63.60623394,28221504,16147581,,,3729188,96.7874368,3.871497472,1.046350668,66.55442537,sarah,coltan,1.833333333,9.8,30,22,137.2,540,699.2,6,7,9,0,2,3,6,5,6,0.014667311,0.026250955,0.041038581,0.081956847,1499.934089,5226.476456,13158.34985,8531.318926
C21D,cohort_1,C21,dominant,newfemale,present,n,week_22,week_26,changed,26,5.6,3.45,5.9,4.8,500,50,6,4.7,30.3,abby,5,233.746,92,0,0,92,600,214.246,87,0,0,87,855,781,74,Sarah,B23M,5.5,4.4,0,9,0,0,0,0,0,0,0,0,0,Sarah,D16M,5.2,2.7,0,6,0,0,0,0,0,0,2,0,0,Joanne ,D17F,7.5,9.3,5,0,0,0,0,0,1,0,0,0,0,Joanne,A25F,7.5,8.4,0,1,0,0,0,0,0,0,0,0,0,349.38,37.62,0,0,0,51548772,22432245,29116527,6138654,159.3227764,6.372911058,1.355938523,0,sarah,coltan,7.428571429,18.4,43.85714286,118.8571429,294.4,701.7142857,1114.971429,8,8,8,1,3,1,7,5,7,0.013222233,0.024287772,0.035354619,0.072864623,8989.188456,12121.32615,19847.88168,15301.9584
C21D_2,cohort_2,C21_2,dominant,dominant,present,n,week_06,week_10,week_10,10,5.4,3.4,5.6,3.9,350,35,5.7,3.9,29.7,abby,26,505.708,129,1,7,137,600,260.26,62,1,7,70,888,740,148,Coltan,A24M,5.2,3.1,0,2,0,0,0,0,0,0,1,0,0,Coltan,T18M,5.8,3.8,3,0,0,6,0,0,0,0,0,0,0,Coltan,T19F,7.4,8.6,0,0,0,0,4,1,12,0,0,0,0,Coltan,T12F,6.7,6.4,0,0,0,0,1,0,2,0,0,0,0,379.95,144.48,0.766237443,76.62374426,57245607,17464403,,,2482030,64.41866748,2.576746699,0.660704282,58.44909878,sarah,coltan,4.875,11.85714286,15.28571429,78,189.7142857,336.2857143,604,8,8,11,0,1,4,8,7,7,0.015762048,0.028648249,0.041910263,0.08632056,4948.595381,6622.194735,8023.946727,6997.174229
C21S,cohort_1,C21,subordinate,newmale,present,n,week_22,week_26,changed,26,5,2.06,4.8,2.2,200,20,5,2,21.8,abby,4,581.691,203,12,10,225,600,285.882,110,9,2,121,855,781,74,Sarah,D16M,5.2,2.7,0,11,0,0,0,0,0,0,0,0,0,Sarah,B23M,5.5,4.4,0,10,0,0,0,0,0,0,0,0,0,Joanne ,A25F,7.5,8.4,0,0,0,0,0,1,0,0,1,0,0,Joanne,D17F,7.5,9.3,0,0,0,0,0,0,0,0,0,0,0,161.61,822,0.214555048,21.45550476,2308705,8451727,,,1987974,51.59592594,2.063837038,1.031918519,22.14033269,sarah,coltan,5.5,8.25,21.14285714,77,99,296,472,7,6,7,3,2,0,4,4,7,0.010310481,0.014394973,0.024100291,0.048805746,7468.128497,6877.400987,12282.00915,9670.992502
C21S_2,cohort_2,C21_2,subordinate,subordinate,present,n,week_06,week_10,week_10,10,4.5,2.6,4.9,2.4,200,20,4.9,2.4,27.6,abby,19,66.401,1,0,1,2,600,27.06,0,0,0,0,888,740,148,Coltan,T18M,5.8,3.8,2,1,0,1,0,2,5,0,10,0,0,Coltan,A24M,5.2,3.1,0,0,0,1,0,1,1,0,0,0,0,Coltan,T12F,6.7,6.4,0,0,0,0,0,0,6,0,0,0,0,Coltan,T19F,7.4,8.6,0,0,0,0,0,1,1,0,0,0,0,379.8,65.64,0.567359112,56.73591123,57245607,7464403,,,1889040,49.02819048,1.961127619,0.817136508,46.36098438,sarah,coltan,3.571428571,4,16,57.14285714,56,256,369.1428571,8,7,8,1,2,2,7,5,6,0.014598653,0.017976085,0.034054035,0.066628773,3914.255417,3115.250022,7517.46455,5540.291963
C22D,cohort_1,C22,dominant,dominant,present,n,week_02,week_06,week_06,6,5.2,2.18,,2.24,200,20,5.3,2.34,24.7,abby,4,352.758,59,0,0,59,600,211.966,40,0,0,40,353,282,71,Sarah,B24M,5.9,3.43,0,0,0,0,0,0,0,0,0,0,0,Sarah,D14M,5.5,3.35,0,0,0,1,0,0,1,0,1,0,0,Joanne ,B24F,7.4,8.67,0,0,0,0,0,0,0,0,0,0,0,Joanne,C11F,6.6,6.11,0,0,0,0,0,0,0,0,0,0,0,175.89,230.94,0.277776859,27.77768588,14340577,37285671,,,1552304,40.28853608,1.611541443,0.688692924,19.13029572,sarah,coltan,4.8,28.33333333,30,67.2,340,420,827.2,7,6,7,2,3,4,5,3,3,0.009796893,0.013394389,0.024007009,0.047198291,6859.317457,25383.76338,17494.89053,17526.05816
C22D_2,cohort_2,C22_2,dominant,dominant,present,n,week_22,week_26,week_26,26,5.5,3.7,5.9,4.15,400,40,5.9,4.47,28.4,coltan,4,573.125,141,0,6,147,600,282.987,59,0,6,65,568,328,240,Coltan,T13M,5.2,2.84,6,14,0,4,0,0,1,0,2,0,3,Coltan,T16M,6.3,4.86,5,0,0,0,0,1,2,0,9,0,0,Coltan,A22F,7.5,9.59,0,0,0,0,0,1,1,0,0,0,0,Coltan,T02F,8.5,12.11,0,0,0,0,0,5,7,0,0,0,0,373.71,247.83,0.09517126,9.51712601,4431396,46456014,,,4212738,109.3375054,4.373500214,0.978411681,9.311667258,sarah,coltan,7,9.666666667,21.5,84,116,344,544,6,6,8,0,3,4,6,3,4,0.014065048,0.020907686,0.032440904,0.067413637,5972.251308,5548.198899,10603.897,8069.583872
C22S,cohort_1,C22,subordinate,subordinate,present,n,week_02,week_06,week_06,6,4.2,1.34,,1.4,150,15,4.2,1.37,24.3,abby,23,491.285,104,0,1,105,600,239.457,37,0,1,38,353,282,71,Sarah,D14M,5.5,3.35,0,3,0,0,0,0,3,0,0,0,0,Sarah,B24M,5.9,3.43,0,0,0,0,0,0,0,0,0,0,0,Joanne ,C11F,6.6,6.11,0,0,0,0,0,0,0,0,0,0,0,Joanne ,B24F,7.4,8.67,0,0,0,0,0,0,0,0,0,0,0,156.48,173.1,0.128767811,12.87678108,5997697,40579914,,,1559988,40.48796681,1.619518672,1.182130418,15.22203459,sarah,coltan,4.333333333,12,29.33333333,78,168,528,774,9,7,9,0,0,3,9,7,6,0.014273967,0.018488549,0.030591174,0.06335369,5464.493347,9086.705693,17259.88032,12217.12581
C22S_2,cohort_2,C22_2,subordinate,subordinate,present,n,week_22,week_26,week_26,26,5,2.2,5,2.16,200,20,5,2.11,21.4,coltan,20,372.768,7,0,2,9,600,160.172,2,0,2,4,568,328,240,Coltan,T16M,6.3,4.86,0,0,0,0,0,1,1,0,8,0,0,Coltan,T13M,5.2,2.84,0,0,0,0,0,0,0,0,4,0,0,Coltan,T02F,8.5,12.11,0,0,0,0,0,4,1,0,0,0,0,Coltan,A22F,7.5,9.59,0,0,0,0,0,0,0,0,0,0,0,380.82,283.08,0.10039839,10.03983903,5130448,45970451,,,2379144,61.74836172,2.469934469,1.170585056,11.75248553,sarah,coltan,6,7,19.25,48,56,154,258,4,4,4,0,1,0,4,3,4,0.011675987,0.013391489,0.013380833,0.038448308,4111.001522,4181.760582,11508.9998,6710.308233
C23D,cohort_1,C23,dominant,dominant,present,n,week_10,week_14,week_14,14,5.5,2.76,,3.28,300,30,5.7,3.43,24.5,abby,5,580.742,163,0,1,164,600,284.727,76,0,0,76,655,662,-7,Sarah,C15M,5.6,3.4,1,15,0,8,0,0,4,0,3,0,0,Sarah,C12M,5.5,3.6,10,56,6,10,1,0,13,0,0,6,0,Joanne,A25F,7.5,8.24,1,0,0,0,0,0,0,0,0,0,0,Joanne,B23F,6.8,6.77,0,0,0,0,0,0,0,0,0,0,0,187.92,554.88,0.460336658,46.0336658,5058756,5930497,,,1857540,48.21063871,1.928425548,0.562223192,25.88119452,sarah,coltan,4.75,7.75,15.8,66.5,93,221.2,380.7,7,6,7,3,2,2,4,4,5,0.005553475,0.011316959,0.024834013,0.041704446,11974.48469,8217.755637,8907.138827,9128.523069
C23D_2,cohort_2,C23_2,dominant,dominant,present,n,week_22,week_26,week_26,26,6.2,4.6,6.7,6.6,650,65,6.7,6.43,36.6,coltan,32,250.228,58,0,5,63,600,131.998,37,0,0,37,328,98,230,Coltan,T03M,5.9,3.73,1,0,0,2,0,0,0,0,1,0,0,Coltan,T19M,5,3.41,0,3,0,3,0,0,0,0,0,0,6,Coltan,A24F,7.7,8.57,1,2,0,3,0,0,5,0,3,0,0,Coltan,T16F,8,12.67,0,0,0,0,0,3,5,0,0,0,0,364.68,421.89,0.323962917,32.39629167,9694842,20230935,,,9135246,237.0963987,9.483855948,1.474938717,47.78254485,sarah,coltan,6.833333333,8.6,21.5,82,103.2,344,529.2,6,6,8,0,1,0,6,5,8,0.018874664,0.025504656,0.044943617,0.089322937,4344.448147,4046.320051,7654.034552,5924.570059
C23S,cohort_1,C23,subordinate,subordinate,present,n,week_10,week_14,week_14,14,4.9,2.04,,2.04,200,20,4.8,2.01,20.3,abby,0,0,0,0,0,0,600,0,0,0,0,0,655,662,-7,Sarah,C12M,5.5,3.6,0,1,0,6,0,0,10,0,10,0,0,Sarah,C15M,5.6,3.4,0,0,0,0,0,0,0,0,0,0,0,Coltan,B23F,6.8,6.77,0,0,0,0,0,0,0,0,0,0,0,Coltan,A25F,7.5,8.24,0,0,0,0,0,4,2,0,0,0,0,169.86,74.76,0.009967212,0.996721153,116019,11524047,,,1887592,48.99060906,1.959624362,0.974937494,0.971740822,sarah,coltan,4.6,4.6,9.857142857,55.2,64.4,138,257.6,6,7,7,1,2,0,5,5,7,0.010061796,0.016378111,0.024797465,0.051237372,5486.098095,3932.077371,5565.084957,5027.580238
C23S_2,cohort_2,C23_2,subordinate,subordinate,present,n,week_22,week_26,week_26,26,5.4,2.8,5.5,2.9,250,25,5.5,2.92,27,coltan,10,99.056,18,3,0,21,600,0,0,0,0,0,328,98,230,Coltan,T19M,5,3.41,0,0,0,0,0,0,0,0,2,0,1,Coltan,T03M,5.9,3.73,2,0,0,3,0,3,4,0,25,0,0,Coltan,T16F,8,12.67,0,0,0,0,0,1,0,0,0,0,0,Coltan,A24F,7.7,8.57,0,0,0,0,0,1,3,0,0,0,0,410.7,244.29,0.109956774,10.99567735,5299190,42894203,,,2479922,64.3639564,2.574558256,0.881698033,9.694867093,sarah,coltan,5.166666667,6.5,13.2,62,78,158.4,298.4,6,6,6,0,2,1,6,4,5,0.014950506,0.022316097,0.028713874,0.065980476,4147.016813,3495.234885,5516.497085,4522.549943
C24D,cohort_1,C24,dominant,dominant,present,y,week_06,week_10,week_10,10,5.2,2.72,,2.8,250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24D_2,cohort_2,C24_2,dominant,dominant,present,n,week_02,week_06,week_06,6,5.7,3.8,5.7,3.6,350,35,5.7,4.9,28.9,abby,20,405.339,97,0,5,102,600,146.635,47,0,5,52,847,649,198,Coltan,T04M,5.5,3.49,12,10,0,8,0,0,2,0,2,0,0,Coltan,B21M,6,4.66,3,4,0,2,0,1,11,0,4,0,0,Coltan,T11F,7.5,8.92,0,0,0,0,0,2,2,0,0,0,0,Coltan,A12F,8.1,12.99,0,0,0,0,0,2,2,0,0,0,0,373.74,289.02,0.359898006,35.98980058,17834023,31718969,,,3035646,78.78723072,3.151489229,0.643161067,23.14723854,sarah,coltan,1.5,14.25,18.14285714,21,199.5,290.2857143,510.7857143,7,7,8,3,3,1,4,4,7,0.014575436,0.027214419,0.03147657,0.073266426,1440.780209,7330.67267,9222.27901,6971.620466
C24S,cohort_1,C24,subordinate,subordinate,present,y,week_06,week_10,week_10,10,4.6,1.67,,1.73,150,15,4.5,1.8,25.5,abby,21,307.766,58,0,0,58,600,165.253,28,0,0,28,421,379,42,Sarah,A25M,5,2.46,0,7,0,20,0,0,8,0,7,0,0,Sarah,B13M,5.9,3.57,0,3,0,17,0,0,1,0,0,0,0,Joanne,D17F,7.2,7.87,0,0,0,0,0,0,0,0,0,0,0,Joanne,D16F,6.9,6.31,0,0,0,0,0,0,0,0,0,0,0,135.75,247.92,0.492819087,49.28190872,19136965,19694658,,,525246,13.63224756,0.545289903,0.302938835,14.929404,sarah,coltan,3.833333333,4,9.2,46,48,110.4,204.4,6,6,6,0,1,1,6,5,5,0.008935698,0.015745762,0.026070668,0.050752128,5147.890939,3048.439248,4234.64412,4027.417303
C24S_2,cohort_2,C24_2,subordinate,subordinate,present,n,week_02,week_06,week_06,6,5,2.7,5,2.6,250,25,5,2.4,24,abby,20,92.526,17,0,0,17,600,78.479,17,0,0,17,847,649,198,Coltan,B21M,6,4.66,0,0,0,0,0,0,0,0,10,0,0,Coltan,T04M,5.5,3.49,0,0,0,0,0,0,0,0,2,0,0,Coltan,A12F,8.1,12.99,0,0,0,0,0,0,0,0,0,0,0,Coltan,T11F,7.5,8.92,0,0,0,0,0,0,0,0,0,0,0,337.44,284.31,0.123799163,12.3799163,1190324,8424636,,,1784760,46.32170481,1.852868192,0.772028413,9.557647137,sarah,coltan,0.833333333,8.4,19.4,10,100.8,271.6,382.4,6,6,7,0,1,2,6,5,5,0.010031024,0.019819201,0.02935367,0.059203895,996.907215,5085.976932,9252.676107,6459.03451
C25D_2,cohort_2,C25_2,dominant,dominant,present,n,week_18,week_22,week_22,22,5.8,5,6.3,5.7,550,55,6,5.48,32.3,abby,29,409.993,66,0,1,67,600,168.161,23,0,1,24,601,482,119,Coltan,B21M,6.1,4.51,2,0,0,0,0,0,1,0,8,0,0,Coltan,A25M,5.5,3.31,0,0,0,0,0,0,0,0,0,0,0,Coltan,A12F,8.2,12.04,0,1,0,0,0,0,1,0,1,0,0,Coltan,B21F,7.6,10.42,1,2,0,0,0,1,0,0,1,0,0,343.95,234.39,0.122050889,12.2050889,4476888,32203615,,,3611314,93.72813211,3.749125284,0.68414695,8.350074342,sarah,coltan,4,8.25,22.57142857,56,99,361.1428571,516.1428571,7,6,8,2,2,1,5,4,7,0.016271121,0.023652927,0.041609108,0.081533156,3441.680587,4185.528418,8679.418399,6330.465816
C25S_2,cohort_2,C25_2,subordinate,subordinate,present,n,week_18,week_22,week_22,22,5.1,2.8,5,2.6,250,25,5,2.81,22.9,abby,12,145.752,8,0,0,8,600,42.5,4,0,0,4,601,482,119,Coltan,A25M,5.5,3.31,0,0,0,0,0,0,0,0,0,0,0,Coltan,B21M,6.1,4.51,0,0,0,0,0,0,0,0,7,0,0,Coltan,B21F,7.6,10.42,0,0,0,0,0,1,1,0,0,0,0,Coltan,A12F,8.2,12.04,0,0,0,0,0,2,3,0,0,0,0,350.43,139.86,0.236155055,23.61550555,4009569,12968975,,,2479392,64.35020077,2.574008031,0.916017093,21.63220673,sarah,coltan,4.833333333,6.6,10,58,66,100,224,6,5,5,0,0,1,6,5,4,0.017214679,0.018471183,0.025909177,0.061595039,3369.217674,3573.13342,3859.636268,3636.65654
