"","cluster","gene","Time_p.value","Time_estimate","Time_x_status_p.value","status_p.value","d_f_p.value","d_f_estimate","d_m_p.value","d_m_estimate","f_m_p.value","f_m_estimate","Time_q.value","status_q.value","Time_x_status_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",31,"LOC129348986",0.918806593528282,-0.00127573269333555,0.834389654827693,0.603917894488394,0.312942313977252,0.340452975433246,0.57645173133822,0.181330057259594,0.666461662249159,-0.159122918173652,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"2",31,"trip4",0.91380678060241,-0.00282317332935197,0.414399151675946,0.206723056049922,0.111640993058726,0.533011041355463,0.375115798015281,0.279916140033498,0.479299232875978,-0.253094901321965,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"3",31,"cln6a",0.689967180648926,-0.000259290962128591,0.120453241099963,0.539300600704366,0.128296163751345,-0.164512448132122,0.27996588573852,-0.111426048184973,0.645377424735643,0.053086399947149,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"4",31,"rps17",0.92957138858023,0.000208839825483956,0.235715789509266,0.940098837558987,0.839274259066571,0.0179540459566998,0.642902948103742,0.0401906483696204,0.821409298002936,0.0222366024129206,0.999048073765951,0.996408946595485,0.999790634466927,0.986569422325844,0.999816769362714,0.999966991433851
"5",31,"csnk1g1",0.909489966183393,0.00101583746763124,0.537017141828028,0.318799538390483,0.934410253848453,-0.0139582370130955,0.346142190699179,0.15869749729226,0.367916372219509,0.172655734305355,0.999048073765951,0.996408946595485,0.999790634466927,0.993670974363925,0.999816769362714,0.999966991433851
"6",31,"LOC111571203",0.417214187325302,0.000371903742837258,0.566368487563395,0.738193504563426,0.64255454982545,0.0517514135463854,0.715117475321798,-0.0396503777794008,0.464124479434061,-0.0914017913257862,0.999048073765951,0.996408946595485,0.999790634466927,0.963971103084013,0.999816769362714,0.999966991433851
"7",31,"neo1a",0.847981004595443,0.00089336419185921,0.855500433005253,0.627085960991908,0.70440574666999,-0.134452941455571,0.589795387914843,0.187004468951849,0.419649646807652,0.32145741040742,0.999048073765951,0.996408946595485,0.999790634466927,0.972666689892688,0.999816769362714,0.999966991433851
"8",31,"LOC111567962",0.135933190807463,0.000804272109252356,0.972109694990422,0.257456580750832,0.122932235560912,-0.264727469028962,0.624851262131372,-0.0784287053385575,0.315736236192442,0.186298763690405,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"9",31,"bbs4",0.955251366603505,-0.00166987101628629,0.503557343293012,0.463789655147404,0.202454006749034,0.399836709557489,0.226990986337654,0.368614790717206,0.926378025137587,-0.0312219188402835,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"10",31,"LOC111580711",0.266849679019642,0.000783904464841645,0.223477976091155,0.571185133372572,0.912422017935898,-0.0103761145089911,0.934415756075969,-0.00757530939209405,0.978707685079389,0.00280080511689704,0.999048073765951,0.996408946595485,0.999790634466927,0.991948779317014,0.999816769362714,0.999966991433851
"11",31,"anp32a",0.778696520739213,0.000200567450195199,0.571622950239386,0.71446794415784,0.558392380088082,0.0362328577707283,0.598888399032548,-0.0317382462947811,0.329650069997227,-0.0679711040655094,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"12",31,"coro2ba",0.835727305637134,0.000729436012476429,0.300760459870439,0.728100561842235,0.320667722610074,0.128264209785394,0.991565843240293,0.00130636444914084,0.375062804400716,-0.126957845336253,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"13",31,"itga11a",0.307035489297842,0.000599770107317202,0.90736465023928,0.110740198698926,0.0611617181751495,-0.160982441750108,0.98153709628948,-0.00180837520307454,0.0916454379724956,0.159174066547034,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"14",31,"cpeb1b",0.0948969326497339,0.000192675216373261,0.705921567977616,0.58921010973527,0.342424511806215,-0.0795645239188804,0.73581707733113,0.0271629691649845,0.256084481650068,0.106727493083865,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"15",31,"LOC111564418",0.561394870587404,-7.67484908927939e-07,0.714178580378327,0.695068205851517,0.567907584904849,0.0403180179197742,0.865173982552033,-0.0116278246359669,0.50929448180009,-0.0519458425557411,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"16",31,"LOC111564410",0.535122119264991,-0.000394417384469586,0.676633891582207,0.206111105030891,0.911023123690198,-0.00991517700041858,0.10988057926527,-0.145719455996496,0.184136520818169,-0.135804278996077,0.999048073765951,0.996408946595485,0.999790634466927,0.991948779317014,0.999816769362714,0.999966991433851
"17",31,"cars1",0.857678447699007,0.000953452087586776,0.330961151671952,0.756567366220012,0.497289451669107,-0.0919883838118794,0.553664145122417,-0.0781594396255052,0.926267056307327,0.0138289441863742,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
"18",31,"arfgap2",0.0434741034245348,-0.000376474968987392,0.488588885307438,0.385619460548588,0.145316898375018,0.249877498676701,0.968198344771912,0.00639707266300116,0.197938964202779,-0.2434804260137,0.999048073765951,0.996408946595485,0.999790634466927,0.959027792453305,0.999816769362714,0.999966991433851
