"","gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","warning","error","av_q","interaction_q","positive_q"
"1","LOC129348986",0.148581105046581,0.264120151919176,0.729489493418605,0.0940159805946498,0.174449583541971,0.70328963537467,0.0527966464924429,-0.0410922522695377,0.0117043942229052,0.845608572908233,0.225972229474074,0.265752164327715,0.00446236825906973,0.0251987890398865,0.0284541322218708,NA,NA,0.328123782368098,0.999775367666602,0.770913076550905
"2","trip4",0.540827179899645,0.415194349523779,0.0465308077284546,0.0628801236896048,0.0671461049366307,0.927648064083132,0.0612556690826553,-0.0583472217415884,0.00290844734106691,0.00189379002744407,0.781837496466331,0.416393210454116,0.0767574629033584,-0.00645534277341508,0.0238019165562379,NA,NA,0.552127243213588,0.716364836992969,0.841414265929395
"3","chrna7a",0.221870828586507,0.576153982070074,0.626959530023426,0.195379537239142,0.194502823492216,0.755089302575612,0.107865512315747,-0.133856591462473,-0.0259910791467261,0.582775816857761,0.429881424542108,0.576621721548151,0.077663048041284,-0.111513724495788,-0.039629068416448,NA,NA,0.328123782368098,0.999775367666602,0.897565689167234
"4","cln6a",0.350326929727643,0.475172149923037,0.560032394513376,0.0677772114012758,0.162316391399223,0.617086535279592,0.0684126316276382,-0.0495977349785588,0.0188148966490794,0.0101490211917835,0.137359163256493,0.475928086207431,0.0804629884840329,0.0493656312193459,0.0280908741532511,NA,NA,0.38092849485562,0.999775367666602,0.864040997998973
"5","LOC118470268",0.193748573586635,0.778504833145399,0.643044492043121,0.477039622038854,0.735651960196501,0.633697791410677,0.0430134902814777,-0.0138551663149211,0.0291583239665566,0.763180033495003,0.115534665840124,0.778906397669731,0.0132790451398227,0.0724361593193884,0.0281311071181803,NA,NA,0.328123782368098,0.999775367666602,0.95921983911776
"6","calml4a",0.160263588458248,0.281614914500049,0.35616825743997,0.630835601909119,0.603799307929003,0.390333515309624,-0.0333125863232948,-0.0441988741819232,-0.077511460505218,0.414504450524368,0.606572269548006,0.282866970459987,-0.0667301791306807,-0.0724548341168178,0.107916267584732,NA,NA,0.328123782368098,0.999775367666602,0.782203137925348
"7","LOC111568352",0.264208853246322,0.632898371286971,0.338094890460833,0.031652966979593,0.232880052650415,0.296314245066669,0.0959307654199376,-0.049484489835766,0.0464462755841716,0.0993197924616627,0.231107350647685,0.63389998789069,0.0760435308301947,0.0547809648173036,-0.0262540406523907,NA,NA,0.328778815918454,0.999775367666602,0.917137607539327
"8","rxfp3.3a2",0.183871029080773,0.577951152542078,0.319290606408113,0.218380709967019,0.829559615766966,0.277582369453128,0.0568204559451273,-0.00866621405454103,0.0481542418905863,0.682986104613059,0.150147981467764,0.578450417900464,-0.0196241633667583,0.0549779314345801,-0.0324515585851219,NA,NA,0.328123782368098,0.999775367666602,0.898611138247316
"9","rps17",0.312787491460019,0.0790555294382529,0.139031988411569,0.0175820385280023,0.284773779702041,0.178264786240676,0.0978478253201261,-0.0408807833730485,0.0569670419470776,0.455858266312454,0.580902639951682,0.0803549877524036,0.0268707978455249,0.0230011631267838,-0.0858967086267111,NA,NA,0.353127343195785,0.968102042429562,0.621583295227423
"11","csnk1g1",0.414400131819891,0.54592390682829,0.318104918869192,0.0592537774724703,0.0960140507769745,0.767682797288246,0.0611570374622698,-0.0519336006470795,0.00922343681519036,0.0186471361606037,0.641335210246287,0.547414877717,0.0589746948664101,0.0106414482944633,0.0166438813851532,NA,NA,0.435240192469223,0.999775367666602,0.890744678155632
"12","LOC111571203",0.208132094800572,0.824458932164875,0.870205074758225,0.196429849680539,0.449116844571724,0.595180099075721,0.0500591276772576,-0.0282386138820585,0.0218205137951991,0.780489843081568,0.392366680940696,0.824858867145153,0.00933401068967284,0.0360404374725651,0.010321264764794,NA,NA,0.328123782368098,0.999775367666602,0.966461250053702
"13","neo1a",0.190000980955753,0.231542414437765,0.896927330147784,0.114168985382968,0.18355259250421,0.761849672203791,0.0499216953825144,-0.0405312841891657,0.00939041119334874,0.451422994931623,0.165496639370645,0.234901052267982,0.0169566169765149,0.0286137856019017,0.0313700977447387,NA,NA,0.328123782368098,0.999775367666602,0.761820151946518
"15","LOC111567962",0.365620870668523,0.0205625521888043,0.022974377894063,0.0328995267917701,0.242442334696511,0.280973074169531,0.0726857457814453,-0.0368105873323125,0.0358751584491328,0.466798029641835,0.1995069412961,0.021105320308707,0.0179569010295256,0.0303618039981519,-0.0681019847162225,NA,NA,0.392595590308965,0.572963434805928,0.442066966319957
"17","bbs4",0.202197285869269,0.551249479427071,0.923818713604819,0.169587782299992,0.215616895129511,0.858963465917547,0.045904769087886,-0.0398829097981753,0.00602185928971072,0.862834492359799,0.863847468957077,0.552726522591671,0.00430286153493768,0.00468286099653452,0.0192882950648988,NA,NA,0.328123782368098,0.999775367666602,0.890953208742619
"18","scamp2l",0.22460520747845,0.300099732251765,0.942643122240626,0.275174150038368,0.184913618297242,0.982517426602255,0.0448088777299513,-0.0456982023825485,-0.000889324652597162,0.144938811499712,0.205382885123262,0.301636177840353,0.05001979394347,0.0382453654074133,0.0568432562602382,NA,NA,0.328123782368098,0.999775367666602,0.790730201288995
"20","myo9aa",0.226781731540081,0.576189182135767,0.851659089553883,0.21119622187982,0.175707788931929,0.900712680181143,0.0591805683845628,-0.0535024403369223,0.00567812804764056,0.685977272128661,0.157850132533402,0.577457312934905,-0.0186054280401726,-0.0518092836455539,-0.0362385030196182,NA,NA,0.328123782368098,0.999775367666602,0.897565689167234
"21","senp8",0.225332047263778,0.910966101503929,0.702730196050135,0.120389695155929,0.165561351146789,0.730642707197385,0.0877128801700819,-0.070154543511109,0.0175583366589729,0.22805021430741,0.63911725419208,0.911071311263451,0.0856595589565426,0.0237343590427996,0.00793381369787727,NA,NA,0.328123782368098,0.999775367666602,0.98755022625492
"22","LOC111580711",0.246162130160414,0.187565087544537,0.11223640756851,0.012668720810412,0.153897893034191,0.163093940439181,0.115040307211913,-0.0584999533261952,0.0565403538857178,0.172909672886979,0.201691269114954,0.188807367797519,0.0758636935689953,0.0421917570652052,-0.0673948178063812,NA,NA,0.328123782368098,0.929111855551828,0.732897990243683
"23","anp32a",0.203020948936015,0.3517787023242,0.709317760946089,0.460453330611555,0.887067520495755,0.476108638644258,0.0443962114384905,-0.00773913662918528,0.0366570748093052,0.338005657943245,0.828047335277617,0.352966382933223,-0.0785138066924273,-0.0110226566068904,-0.0665797937325134,NA,NA,0.328123782368098,0.999775367666602,0.819628747563674
"24","coro2ba",0.431625938939789,0.544464198087651,0.0322149263417768,0.0306240397367445,0.0175784782983356,0.769133539465677,0.0780518934068368,-0.0885918398682519,-0.0105399464614151,0.0735035060108487,0.0672177344551057,0.545044047856874,0.058454125607592,-0.0653407721936006,-0.0188149513823806,NA,NA,0.450800248136547,0.648954206161855,0.890293478147878
"25","itga11a",0.304893747081533,0.000154822972188733,0.000387383804517388,2.70152752673883e-05,0.0895615999974499,0.00923662742469268,0.280845173165957,-0.10062119310067,0.180223980065288,0.136290810720653,0.787620414525689,0.000179317940607251,0.105151094741539,-0.021602152901161,-0.37332763901433,NA,NA,0.34738250926604,0.0545565524695322,0.0249891235448445
"26","LOC111564424",0.156290399606908,0.549448717562197,0.302832667415551,0.440686949791482,0.579071080781548,0.240246317967745,-0.0656408292585866,-0.0348629932691061,-0.100503822527693,0.0549809603349715,0.0789816433699245,0.550525283802992,-0.156739565802202,-0.144133690737426,0.0843945870551134,NA,NA,0.328123782368098,0.999775367666602,0.890953208742619
"28","LOC111564416",0.188030633768332,0.319513150357697,0.724486035849581,0.908120499208312,0.573995151229809,0.67485965054828,0.0073184750919566,-0.0452554699280752,-0.0379369948361186,0.863751742101759,0.998245037178256,0.320638384743285,0.0101172786187578,-0.000310768478269427,0.0997212823990132,NA,NA,0.328123782368098,0.999775367666602,0.799309524313863
"29","cpeb1b",0.347202572475709,0.833970500668233,0.170883892334821,0.0661528129195963,0.0359992211293815,0.888489142935762,0.0771181442525616,-0.0833033924731624,-0.00618524822060072,0.0283366415939484,0.563660632885266,0.834146095628051,0.0796207423818649,-0.0261829561193827,0.0113259701507214,NA,NA,0.378447906033353,0.998352447378241,0.967933315139234
"30","LOC111564421",0.210428627218763,0.44513801486104,0.457959840505473,0.860372285868227,0.142810151447681,0.384457638289765,0.0150714329081651,-0.0877409868017485,-0.0726695538935834,0.65867614744367,0.374289785704862,0.446469892360892,0.0362837655387606,-0.0627036456049627,0.108386660998929,NA,NA,0.328123782368098,0.999775367666602,0.848593995478777
"31","LOC111564418",0.254926805506362,0.0267466700430298,0.12184833780144,0.0144198464478957,0.28466368833106,0.0762590255729811,0.142198800296541,-0.0485148427590563,0.0936839575374844,0.852123357977838,0.874232975624493,0.0274129389792288,0.0117957318833614,-0.00621214207144002,-0.180886858563858,NA,NA,0.328123782368098,0.935966481077795,0.493748963280011
