"","gene","gene_name","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","av_q.value","cluster","full_label","first_word","second_word","short_label"
"2304","sema3ab","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ab",-0.964785753477658,3.73324998767464e-07,-0.136122196884397,0.382455123004789,0.828663556593261,7.3985627785069e-06,7.65032329760664e-07,NA,FALSE,5.05759434857225e-05,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"2347","LOC111564869",NA,-0.505146446623058,0.000808670857456054,0.0374323216852636,0.781171058323374,0.542578768308322,0.000145802807253421,0.000273619621037486,NA,FALSE,0.0170360787860245,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"2518","LOC111577263","aromatase",0.268259616697591,0.282945517556262,-0.843468580581106,0.000529253946194363,-1.1117281972787,4.11224090053408e-06,8.29772204085218e-06,NA,FALSE,0.00054096090922841,1,"Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"2877","immp2l","inner mitochondrial membrane peptidase subunit 2",1.07345537126525,0.000238134899572843,1.03408630298887,0.000322397669468755,-0.0393690682763862,0.8566183523467,0.000452153918155683,NA,FALSE,0.0276401102955688,1,"Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"3038","LOC111587547","homeobox protein DBX1-B-like",-0.952387677608091,0.00953088841116858,0.702025041699238,0.0209197202546169,1.65441271930733,1.4473352807185e-06,7.53822844468413e-06,NA,FALSE,0.000492811684571225,1,"Transiently upregulated, high rebound","Transiently","Upregulated","Transiently Upregulated"
"3339","LOC129348729",NA,0.925989126242929,0.00364332492709658,-0.198007791497595,0.571881526821497,-1.12399691774052,0.000245373603902895,0.000302235302031628,NA,FALSE,0.0186695743656545,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"5366","gli1","GLI family zinc finger 1",-0.638162349967846,6.93605712762454e-06,-0.0149952610172345,0.910402623863357,0.623167088950612,4.71370622060215e-06,1.58692269401119e-06,NA,FALSE,0.000104616878441326,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"5649","LOC111584294","bromodomain-containing protein 3",0.140374279872574,0.463957600562695,0.615616248508843,0.000378730448725602,0.475241968636268,0.0027788961183475,0.000292739602178263,NA,FALSE,0.0181305961506985,1,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"6714","LOC111583974",NA,-0.826296700563297,0.000235041366581618,-0.162716045322942,0.436709857219131,0.663580655240354,0.00224468902187399,0.000541977051745871,NA,FALSE,0.0329597672166384,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"7841","dnmt3bb.1","DNA (cytosine-5-)-methyltransferase 3 beta, duplicate b.1",-0.403006434231934,0.000814807109280794,-0.0110625108464387,0.921649060311808,0.391943923385495,0.00061816286227156,0.00059020270356511,NA,FALSE,0.035616463149756,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"11257","il1rapl1a","interleukin 1 receptor accessory protein-like 1a",-0.450571200764131,6.92267076617374e-05,-0.247185225757356,0.0228886174304245,0.203385975006774,0.0635411550862068,0.000351339484932044,NA,FALSE,0.0216460072719258,1,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"12911","ccdc85cb",NA,-0.321971687850195,0.000806094449747696,0.0660372408922176,0.463161556381797,0.388008928742413,1.66502521180249e-05,4.35600930202701e-05,NA,FALSE,0.00278583366639146,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"14592","LOC111570546","junctional adhesion molecule 3B-like",-0.544921064431983,0.0012482625296921,0.0722591078495562,0.625337248221936,0.617180172281539,0.000107405725155524,0.000285345768253426,NA,FALSE,0.0177192946064496,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"14609","LOC111568198",NA,-0.360467718306269,6.25037377313035e-05,-0.0598325717513953,0.481914721756776,0.300635146554874,0.000466707866632146,9.02008218234139e-05,NA,FALSE,0.00573750362598391,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"16590","fgfbp3","fibroblast growth factor binding protein 3",-0.442992122399225,2.27812401680634e-05,-0.229717221084476,0.0224847390928248,0.213274901314749,0.0345415729399807,0.000126356996651759,NA,FALSE,0.00795136875989075,1,"Progressively downregulated","Progressively","Downregulated","Progressively Downregulated"
"19055","kcnh6a","potassium voltage-gated channel, subfamily H (eag-related), member 6a",2.28587956967828,0.00266002854183497,1.04241110943068,0.199071335755398,-1.2434684602476,0.00568225216294354,0.000841562862938336,NA,FALSE,0.0497642763297833,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"20361","si:dkey-288a3.2","protein phosphatase 1 regulatory subunit 37",1.87602717284072,0.000224168947389261,0.541778095643522,0.333487385516704,-1.3342490771972,0.000365526225858429,2.11646233800376e-05,NA,FALSE,0.00136843244848677,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"23106","LOC111579712",NA,0.5224794737879,0.0259151834988795,-0.367584451482307,0.169078138431149,-0.890063925270207,0.000172375892329079,0.000550530411768958,NA,FALSE,0.033393642373666,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"23154","LOC129348282",NA,1.27381833870636,0.00735097452042043,-0.774554755111398,0.159982751704113,-2.04837309381776,5.09170642897473e-05,0.000121268251546453,NA,FALSE,0.00767217284985422,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"9256","st18","ST18 C2H2C-type zinc finger transcription factor",1.89563030751644,0.000580003971419725,0.68512126540109,0.263735442888133,-1.21050904211535,0.00203165010227222,0.000123926905541202,NA,FALSE,0.0140601959164579,10,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"16386","med15","mediator complex subunit 15",1.10220775155917,0.0051643869219722,-0.587985800250513,0.278027399968322,-1.69019355180968,0.0002342692596733,0.000126449341272252,NA,FALSE,0.0142671184942648,10,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"6162","grik4","glutamate receptor, ionotropic, kainate 4",-0.945760124869027,2.22765268041561e-05,-0.333276088019095,0.100489054960187,0.612484036849932,0.00534812423533302,0.000114919397219761,NA,FALSE,0.00680349023996189,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"6904","wu:fa11c10","protein FAM110A",-0.394898348018873,0.0363730033889482,0.322062697396065,0.0626767378512718,0.716961045414939,2.31602267885121e-05,0.000126100586055168,NA,FALSE,0.00742314498081128,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"7041","plch2a",NA,-1.12623243259704,0.00228207849637035,-1.29658513610889,0.000579028755656845,-0.170352703511854,0.665589597018115,0.000625746302994689,NA,FALSE,0.0356246799348757,11,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"7154","LOC129349400",NA,-1.15085322596771,0.00718571614736995,0.396170360003772,0.316628940624849,1.54702358597148,0.00014135420104286,0.000558109805402052,NA,FALSE,0.0318613235061941,11,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
