"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","error_msg","av_q.value","cluster"
"38","uacab",34.1916194672959,0.999997629612741,-103.715374621838,0.999994713637885,-137.906994089134,0.999989630054778,0.999999999911129,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"39","LOC111564639",0.130927560517258,0.762711868629285,-0.138340264416619,0.781335729127721,-0.269267824933878,0.51344784830035,0.803134845310235,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"40","rxfp3.3a1",19.320414088366,0.975039576558508,18.1626213943948,0.97653494678563,-1.15779269397123,0.345816339527149,0.64091375373789,"Model is nearly unidentifiable: large eigenvalue r",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"41","pias1a",0.0169879726090186,0.96266371489877,-0.183599189536957,0.65745309416825,-0.200587162145975,0.564600907655464,0.83804499095298,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"42","skor1a",-0.822707592756595,0.349834669884239,-1.57161276677858,0.184134341381629,-0.748905174021986,0.54292013047988,0.35736393495674,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"43","map2k5",0.220115539038676,0.634944751409839,0.267708378988449,0.597388537934198,0.0475928399497724,0.906383265344321,0.857299635036928,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"44","smad3a",-0.814665359095335,0.221685469147806,-0.281032138820927,0.678076274074769,0.533633220274408,0.4214405992642,0.459888645404259,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"45","tmem208",32.0802005952597,0.999997171354036,33.045288658706,0.99999708625817,0.965088063446238,0.306481734616754,0.594283702769693,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"46","slc39a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"47","LOC111565738",-0.0891013793130714,0.841056523485421,-0.0974520119581211,0.843753155096614,-0.00835063264504968,0.984103503914077,0.975678784574772,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"48","LOC111565745",-0.0822654329741441,0.95895290525741,-0.118842385738041,0.944749658811583,-0.0365769527638967,0.980916892080029,0.99750188122652,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"49","mibp2",-0.118007214756332,0.924906092065754,-32.8251828888626,0.999997448310097,-32.7071756741063,0.999997457483476,0.995567789111316,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"50","bloc1s6",-0.376842565481946,0.509563214735801,-0.487571278103625,0.461408531306105,-0.110728712621679,0.853806357848645,0.725491847625564,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"51","slc30a4",18.8313506045104,0.998413061409399,18.7226879861293,0.998422218517894,-0.108662618381107,0.905887306159762,0.993033524116827,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"52","c1h15orf48",-4633.07997332137,0.999734925391201,34.2178642257011,0.999997645300582,4667.29783754708,0.999519430399175,0.999999818610179,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"53","spata5l1",-62.6904286198934,0.999993545062448,-35.2832959138272,0.999997346865195,27.4071327060662,0.999998335685166,0.999999999961747,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"54","LOC111565744",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"55","LOC129349619",138.833991441085,0.999990304604462,-150261.38445635,0.992311134832185,-150400.218447791,0.988691002842214,0.999899550989894,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"56","cops2",-0.551939518027101,0.618388801142833,-0.417920655118027,0.729273404876959,0.134018862909074,0.909291546572529,0.877118427479513,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"57","secisbp2l",1.1220084429208,0.156812218628992,0.144947228198322,0.878428146915005,-0.977061214722473,0.146266747941698,0.172508897052978,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"58","LOC111565759",-33.4015349898908,0.999996329458075,-0.959565855705758,0.450769009216853,32.4419691341851,0.999996434906125,0.752496648493368,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"59","LOC129349512",-690.037334660641,0.999959922458331,33.5947294332177,0.999997636991172,723.632064093859,0.999925491021827,0.999999995635408,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"60","fbn1",17.0580437573082,0.998804654276264,-105.611460683171,0.99999205852873,-122.669504440479,0.999990775840994,0.9999988777157,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"61","dut",-0.131304672649605,0.915781793919145,-0.294008448056315,0.837995840007512,-0.16270377540671,0.896234101319227,0.979213470479199,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"62","slc12a1",-0.182708043067112,0.783354109437314,-0.564401820292914,0.486365045638666,-0.381693777225801,0.596491474785468,0.779420863136019,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"63","ctxn2",-0.383763718147002,0.578799287899745,-0.273638499188565,0.719671640894364,0.110125218958436,0.872691804639268,0.855654339764916,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"64","myef2",-0.0118297879183862,0.982568672459741,0.168705699580811,0.771554040898004,0.180535487499197,0.705060686355664,0.924188314662348,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"65","slc24a5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"66","LOC111565754",-0.871438081773915,0.41065738640782,0.493812740960114,0.592992091163665,1.36525082273403,0.137318667824398,0.331409308193093,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"67","sema6dl",-0.482195507625348,0.463225496844337,-1.40218193523145,0.11428249349369,-0.9199864276061,0.281556258695047,0.286517434614555,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"68","LOC118470001",-34.3444144014793,0.999996463717746,-35.4688872655872,0.999997332909614,-1.12447286410788,0.9999999317157,0.999999999984592,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"69","dmxl2",-0.276084900172436,0.421021070926203,-0.81839954465046,0.0562699421435021,-0.542314644478024,0.160519284653618,0.158050837131148,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"70","LOC111565746",29.6619638698562,0.999994291648318,30.1791653972238,0.99999419211451,0.517201527367568,0.718875160825333,0.937230682263923,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"71","tnfaip8l3",-0.788248588105491,0.298086591776303,-0.923299579351893,0.31215858111781,-0.135050991246402,0.880391842479432,0.480399269882834,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"72","scg3",0.314759063303574,0.452362819653625,0.731152886697988,0.100723437216088,0.416393823394414,0.230306979879731,0.230093476570801,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"73","lysmd2",-1.00566000227427,0.475555050449868,-29.634222247848,0.999988556057473,-28.6285622455738,0.999988944416418,0.775288835171819,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"74","tmod2",-0.180233562596825,0.840209642267745,-0.971180997771133,0.433385346452444,-0.790947435174308,0.4858841997076,0.722390290713781,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"75","leo1",-1.30195345388139,0.170629423836071,-0.273923058034655,0.745741488949461,1.02803039584674,0.278047513485581,0.37126360878602,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"76","LOC129350374",32.4580123979538,0.999997716946345,-1405.64810454173,0.999927794518057,-1438.10611693968,0.999891861310522,0.999999990811479,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"77","mapk6",-0.242177688006842,0.714906655047657,0.535682847765555,0.409021845929378,0.777860535772397,0.152037929023083,0.344034403526502,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"78","LOC118471234",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"79","usp8",-0.0903746212557966,0.920070327570215,0.406198354956311,0.65682269932948,0.496572976212107,0.504345657241826,0.787706581892156,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"80","LOC111577621",33.9333694635249,0.999997647516324,0.86035758127077,0.999999956147661,-33.0730118822541,0.999997513067964,0.999999999990796,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"81","LOC129349535",-36.3600347430077,0.999996256178833,-43.0582543065833,0.999996762225575,-6.69821956357556,0.999999593246535,0.999999999980758,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"82","pde8a",0.394684271002007,0.295567357765347,0.327474897905244,0.429716321170421,-0.0672093730967632,0.834108708195609,0.574985145373179,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"83","LOC111563916",0.669499051910788,0.591779036760794,0.48648099916085,0.714794831430592,-0.183018052749937,0.847926415694621,0.8654963379826,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"84","LOC111563902",-0.82352974342592,0.564926992375597,0.836140644233609,0.478368010157959,1.65967038765953,0.156850499858548,0.344850076668635,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"85","LOC111563893",0.940482148598356,0.394498489914802,0.829802161012678,0.482053771931866,-0.110679987585678,0.882316990252782,0.69497378646035,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"86","homer2",1.327384841104,0.231033209308609,1.5343582413518,0.173167823746864,0.206973400247799,0.735029125941529,0.394371879628417,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"87","ramac",32.8136000384957,0.999997186702073,32.023890811393,0.999997254408369,-0.789709227102726,0.488024187580936,0.78628199877071,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"88","LOC111567331",-0.0839274802573809,0.911378902391821,0.0533631349889106,0.947858929141558,0.137290615246291,0.840741010966735,0.979147792153839,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"89","LOC111567348",-34.0014815001369,0.999996372970156,-1.48398376936882,0.269539207536111,32.517497730768,0.999996531270712,0.543598002880951,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"90","zrsr2",-0.420894577739222,0.533819342915733,-0.0832642010326031,0.906930159083494,0.337630376706618,0.598004449057879,0.788892949981313,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"91","LOC111567330",0.293519204821086,0.645017732560753,-0.905106862312099,0.320583834175531,-1.19862606713319,0.132275475478645,0.31838494768854,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"92","phka2",-0.317652571506468,0.600216239729793,-0.555671211682652,0.441623164594004,-0.238018640176184,0.71561253893929,0.736627691113965,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"93","ppef1",-0.782517208149828,0.228473495076375,0.0030076419523079,0.996197278862146,0.785524850102135,0.19712996414329,0.353061914611786,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"94","cdkl5",0.277352975993422,0.441651954690167,0.231444789989135,0.560307838967192,-0.0459081860042873,0.884266037736286,0.739975295517605,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"95","scml2",0.366124025559878,0.480522870682942,0.212237050807772,0.708463782411247,-0.153886974752105,0.740368607742847,0.77590587973579,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"96","LOC118470148",32.9129088488607,0.999997718261346,-210.015543390949,0.999989295529075,-242.92845223981,0.9999817329443,0.999999999733835,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"97","nhsb",-0.588623419368835,0.0858607019639065,0.0345138317920633,0.922325027044525,0.623137251160899,0.0504575291677499,0.0919694761855622,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"98","ace2",0.790232090527482,0.479867893819038,0.436298927463424,0.726477731242415,-0.353933163064058,0.680320548989983,0.753353541990114,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"99","pir",22.559944351356,0.999909712321958,-41.6087228851162,0.999996871775507,-64.1686672364721,0.999995174823666,0.999999993579254,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"100","vegfd",31.6401592217902,0.999996875191697,31.511931538602,0.999996887855569,-0.128227683188182,0.91809030128887,0.994744672901314,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"101","LOC111566429",-32.0841747043037,0.999995756746924,-0.261012673153433,0.855899295791343,31.8231620311503,0.999995791266834,0.983646526447995,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"102","ildr1a",-222.731919240733,0.999987127119041,30.9286845623013,0.999997840112301,253.660603803034,0.999973881764844,0.999999999460567,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"103","tmem39a",-1.52748096870002,0.0862085288827268,-0.984968090971517,0.273057272639411,0.542512877728501,0.595300682327678,0.199201045357748,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"104","LOC111566431",35.7246324737536,0.999997523334227,-217.099735169477,0.99998893444854,-252.824367643231,0.999980988818875,0.99999999971132,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"105","LOC111566421",-34.6405294710567,0.999996425468627,-0.295530316085232,0.776289742640429,34.3449991549715,0.999996455964188,0.960431399945896,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"106","LOC111564828",0.933104501630317,0.172603733401897,0.306765351127445,0.69600536882835,-0.626339150502871,0.260230075330173,0.273368036736428,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"107","LOC118469910",-6827.01923906095,0.999611432021758,34.2261523443725,0.999997662372954,6861.24539140532,0.999293530037679,0.99999960800361,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"108","LOC111564831",0.149423376762241,0.812488351932967,-0.972947562529369,0.283318641357524,-1.12237093929161,0.163624633790055,0.378041448046775,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"109","stk16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"110","atic",-32.8638073093103,0.999996460440079,-0.269208926853136,0.851393036617893,32.5945983824572,0.999996489434928,0.982604693166687,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"111","psmd14",0.309462656111136,0.801437259011486,0.762617590603073,0.548274194778962,0.453154934491937,0.651441939466752,0.81648252149906,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"112","rbms1a",-0.951859732838946,0.112735580079598,-0.819419414490355,0.225148939536101,0.13244031834859,0.845065797914161,0.241288285145619,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"113","ly75",-0.674100001651161,0.485643361134488,-1.88825479809404,0.14921978667162,-1.21415479644287,0.351744459304061,0.348403056453525,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"114","marchf7",-0.493947673633685,0.537850132959103,0.0573930858109638,0.943444269875256,0.551340759444649,0.453473982581933,0.718964961667977,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"115","baz2ba",0.487240383080799,0.3049524126425,0.408955503446404,0.433929875249006,-0.0782848796343945,0.846511426678846,0.586472460108024,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"116","wdsub1",-0.873612182714278,0.276441883149513,-0.291876266576249,0.715327988341122,0.58173591613803,0.47145757517743,0.542536895879326,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"117","LOC111564834",-0.091844043060953,0.800422728241714,-0.412499318501328,0.331875877430591,-0.320655275440375,0.381781683348771,0.581822920521661,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"118","LOC111564858",-0.129570082448779,0.91703383039735,-32.9295690212046,0.999997466297256,-32.7999989387559,0.999997476266779,0.994588918327824,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"119","gtf2f2a",-0.511983552879387,0.628980870456038,0.98652122625292,0.278943038191895,1.49850477913231,0.0807639944149043,0.180465295420576,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"120","gpalpp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"121","ercc3",-0.211785023268823,0.802623402082626,0.216180221512047,0.799236502659652,0.42796524478087,0.57574579313344,0.855061684269996,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"122","LOC111564848",-34.744692200365,0.999996417473161,-52.2979154503339,0.999996067447325,-17.5532232499688,0.999998933549262,0.999999999977774,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"123","rbm26",-0.780006007672754,0.232708092798032,-0.610707268275955,0.398558494877716,0.169298739396799,0.809968968802142,0.467852509746476,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"124","LOC129349311",0.564561205624298,0.163834314084524,0.614095500449739,0.160829316143647,0.0495342948254412,0.879278914786028,0.317834603618048,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"125","LOC111562565",0.191204058451669,0.513661611578853,0.508299049751049,0.11720363981088,0.31709499129938,0.23652155439803,0.26794884443156,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"126","LOC111562524",15.9235206590085,0.995613360820898,17.3856831816302,0.995210566252971,1.4621625226217,0.287521218996259,0.568011910704555," Hessian is numerically singular: parameters are n",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"127","LOC111562668",-349.680210772795,0.999979993579367,35.1805612050915,0.999997579052671,384.860771977886,0.99996037270277,0.999999998762068,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"128","tdrd3",-0.48796708224423,0.563045490398764,-1.32444445110472,0.274598464345596,-0.836477368860493,0.472825615793067,0.544310143126945,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"129","LOC111562582",-32.5536836173977,0.999996496665979,0.660389260378108,0.642389986024416,33.2140728777758,0.999996425596782,0.897793661891579,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"130","LOC118470526",-75.0779916704626,0.999992269573547,0.424415445589619,0.733831107079475,75.5024071160523,0.999992225873491,0.943827863213189,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"131","pcdh17",-0.0433009948793229,0.866568733163398,0.245176361617537,0.386202121528112,0.28847735649686,0.22078440820494,0.45553473287337,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"132","LOC129348781",22.8411419351838,0.999926556396103,-57.3663368978653,0.999995687505407,-80.207478833049,0.999993968781878,0.999999995735022,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"133","lims1",23.2415425600991,0.999896260400555,22.8112771827003,0.999898180908094,-0.430265377398882,0.837597134225736,0.979213158265051,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"134","LOC111562382",-0.787469319992468,0.353105230398333,-0.429557737208647,0.605391014453154,0.357911582783821,0.718919363583594,0.629687031117487,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"135","tgfbrap1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"136","cul4a",0.237247604167023,0.840980998352116,-0.275725373964273,0.847896889346344,-0.512972978131296,0.66430502343459,0.90640040733345,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"137","lamp1a",19.540470182793,0.977164704711078,18.7439935946351,0.978095220711772,-0.796476588157883,0.303191237821988,0.58835621290014,"Model is nearly unidentifiable: large eigenvalue r",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"138","dcun1d2b",32.9253640254835,0.999997651221787,32.0114410535685,0.999997716417797,-0.913922971915028,0.433120725791173,0.738060733443072,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"139","tmco3",-0.125456445883744,0.86683058648601,-0.321320047043881,0.71191553862392,-0.195863601160137,0.795345638345419,0.932735900193144,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"140","grk1a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"141","LOC111585021",-0.809531424762802,0.573430503776968,-32.7870583788251,0.999997436611039,-31.9775269540623,0.999997499902594,0.853433101214637,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"142","LOC129347314",-34.2983626830171,0.999996468459474,-35.5108790841817,0.999997329752031,-1.21251640116463,0.999999926369203,0.999999999984605,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"143","gas6",0.27987035194145,0.810869207367663,0.412513098381183,0.740339859017277,0.132642746439732,0.887154730817719,0.946524498015653,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
