"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","error_msg","av_q.value","cluster"
"1","LOC129348986",-0.00257650841277204,0.992714216288222,-0.0774758737571953,0.806394574183863,-0.0748993653444232,0.77725541967956,0.955017137156891,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"2","trip4",-0.0975200852685493,0.792863866961046,0.142041017114201,0.721989203404054,0.239561102382751,0.472965973177345,0.772964803934251,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"3","chrna7a",-34.3077685578705,0.999996467490995,-46.1573043818002,0.999996529191857,-11.8495358239297,0.999999280429717,0.999999999980738,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"4","cln6a",0.128079812086438,0.862745624412272,1.24863968021672,0.076795063469234,1.12055986813029,0.0282244712980604,0.0447931507486196,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"5","LOC118470268",-0.330626795671441,0.671174338321871,-1.3896640110383,0.24141343349169,-1.05903721536686,0.344123755478462,0.502497326643692,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"6","calml4a",-33.6172954459662,0.999996421844214,-0.926092019915119,0.466108185085028,32.6912034260511,0.999996520415544,0.766750691626637,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"7","LOC111568352",-0.180422102997357,0.833391639605183,-23.4377702485804,0.999678795334616,-23.257348145583,0.999681267942604,0.978118533688601,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"8","rxfp3.3a2",0.279329887628975,0.741093254138934,0.14267521333811,0.87971507621539,-0.136654674290865,0.852722882842822,0.942867339927691,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"9","rps17",-0.631435886183068,0.28952065473855,-2.04827316650351,0.0630397496195011,-1.41683728032044,0.190006972084801,0.155470791874187,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"10","csnk1g1",0.49983545142096,0.199942498970767,0.218185664808274,0.618521318291288,-0.281649786612686,0.405031583846769,0.389929533155845,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"11","LOC111571203",-1.50220137982152,0.0958137715522414,0.44787916228835,0.501121674980498,1.95008054210987,0.0176919585592806,0.0600091345538699,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"12","neo1a",0.607384505853501,0.0752681490658634,0.508574773537808,0.171119699604226,-0.0988097323156935,0.727616367761454,0.201351453055736,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"13","LOC129349243",-487.661177801206,0.999971956307358,32.9312889119462,0.999997716987119,520.592466713152,0.999946397050806,0.99999999773924,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"14","LOC111567962",-0.235634843315908,0.629687106858085,-0.220623849219167,0.674773511528993,0.0150109940967413,0.974401044759314,0.877008420100303,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"15","bbs4",-0.463001371130076,0.256391179796649,-0.412170226369592,0.367128094540538,0.0508311447604833,0.902587586593791,0.495806025775625,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"16","scamp2l",-0.164822092392898,0.784133513438592,-0.710342739199931,0.334029385009231,-0.545520646807033,0.416641838422326,0.607087073696365,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"17","LOC129347348",18.1692356112469,0.998468858298982,18.7010321918682,0.998424043267067,0.531796580621325,0.607497387147055,0.876411489399375,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"18","myo9aa",0.679879101061103,0.362014959023276,0.279291951162816,0.740282724256974,-0.400587149898286,0.524253016430124,0.605412790329703,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"19","senp8",0.772821358649547,0.489404433352676,-0.287836221163823,0.841242616247729,-1.06065757981337,0.344576120004307,0.555244954118963,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"20","LOC111580711",0.580485446254208,0.37623466706001,0.0872863237904662,0.906587560171754,-0.493199122463742,0.413130279607516,0.572438583796445,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"21","anp32a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"22","coro2ba",-0.372201237299274,0.434869397401312,-0.717875349312076,0.213358733823116,-0.345674112012802,0.509445837312964,0.455335050875434,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"23","itga11a",18.5358858834611,0.999139898283936,20.5366092327447,0.999047060809447,2.00072334928362,0.107424443290466,0.273663880270996,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"24","LOC111564424",-0.0481435689961667,0.975468034246543,0.984782149223696,0.507917140311349,1.03292571821986,0.413809482244792,0.662809616333139,NA,FALSE,NA,"1","cckb+ 6_poa_mixed"
"25","LOC111564416",-31.2773596153184,0.999993867811203,0.386827004129466,0.756945574923185,31.6641866194479,0.999993791970523,0.953235444498442,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"26","cpeb1b",-0.555544565886457,0.491020780851562,0.433777783310822,0.565838913075238,0.989322349197279,0.150644137701789,0.355801498592572,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"27","LOC111564421",28.5072330563814,0.99999802369168,-467.460841174575,0.999976173568388,-495.968074230957,0.99996270557709,0.999999998904542,"unable to evaluate scaled gradient",FALSE,NA,"NA","cckb+ 6_poa_mixed"
"28","LOC111564418",1.24316359056659,0.254220571169663,0.438930773489949,0.72600316592113,-0.804232817076637,0.325476892328876,0.376309330900575,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"29","LOC111564417",-34.9011794545242,0.999996405958364,-42.8384010913939,0.999996778757483,-7.93722163686967,0.999999517987232,0.999999999981705,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"30","LOC111564410",-0.520733106683697,0.367893011156351,-0.974956469376608,0.19005774251393,-0.454223362692911,0.518266184383573,0.40016583449467,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"31","cars1",-0.197229325817841,0.722036368542707,0.256371809972416,0.653554251226128,0.453601135790257,0.346373136537614,0.641729164359416,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"32","pex16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downdated VtV is not positive definite",NA,"cckb+ 6_poa_mixed"
"33","arfgap2",-0.41705608304986,0.368129217163858,-0.500376597668961,0.348097025881951,-0.083320514619101,0.863575431615599,0.576105443485197,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"34","LOC118469870",32.3701839832863,0.999997739445981,-1396.20031978244,0.999928555415704,-1428.57050376572,0.99989257834294,0.999999990932953,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"35","glceb",0.0726538198201102,0.848039387597561,-0.260514329701902,0.553321052910625,-0.333168149522012,0.367018700346693,0.662840257147588,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"36","LOC111564414",37.0700725618258,0.999997449026108,-681.305957325017,0.99996541314365,-718.376029886843,0.999945981564442,0.999999997703104,NA,TRUE,NA,"1","cckb+ 6_poa_mixed"
"37","tle3b",0.205455953115429,0.7785799032277,1.51154013069242,0.0289884865990722,1.30608417757699,0.00707800262681264,0.00843560938160258,NA,TRUE,NA,"0.869701518395108","cckb+ 6_poa_mixed"
