"","X","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value","av_q.value","cluster","class"
"11869",11869,"LOC111569679",-0.255440610100648,0.0341942349870483,0.28091192696069,0.0117568661128028,0.536352537061338,6.57933406842855e-06,3.37295517309995e-05,NA,FALSE,1,1,0.00209880756782871,0.0039981499243106,9,"Late Downregulated"
"12407",12407,"LOC111572933",-0.0960195892364911,0.165921649642456,0.202988268127591,0.00137709540946217,0.299007857364082,1.05002971696227e-05,2.32560606234302e-05,NA,FALSE,1,0.311166183563056,0.00325389208862081,0.00277181575298597,9,"Late Downregulated"
"21326",21326,"LOC111571821",-0.231389431314928,0.163446671823938,0.38631160033501,0.00903407167553373,0.617701031649938,0.000163627795480752,0.000462395056068948,NA,TRUE,1,1,0.0473255218609129,0.0536378265039979,9,"Late Downregulated"
"26937",5245,"znf362a",-1.00124917773311,0.00019899173895999,-0.3393650785235,0.14996661231047,0.66188409920961,0.0148081435177185,0.000973937814732459,NA,FALSE,0.0483317062999526,1,1,0.0992677421792713,8,"Terminally Downregulated"
"28879",7187,"LOC129349321",0.487892715250683,0.0897879471484705,-0.865029043779099,0.0224744195691832,-1.35292175902978,7.24825971167746e-05,0.000317926002488124,NA,FALSE,1,1,0.0212160278817062,0.0336044840870665,8,"Late Upregulated"
"30964",9272,"si:dkeyp-97a10.2",-1.06100864037738,0.000126233565697713,-0.296946200001402,0.2042194984802,0.764062440375979,0.00575426626103165,0.000596871070372093,NA,TRUE,0.0316707531697195,1,0.755032488538009,0.0616613728853632,8,"Terminally Downregulated"
"31511",9819,"carmil3",0.888107460435405,0.00959105888525885,-0.470128119019751,0.278952755137068,-1.35823557945516,0.000177102485609982,0.000197186428107498,NA,FALSE,1,1,0.0493100835239208,0.0212356761326523,8,"Late Upregulated"
"33166",11474,"LOC118471098",-0.152727658774906,0.402661677456371,-0.801499100688217,0.000110749685462248,-0.648771441913311,0.00121649179251968,0.000295576990798619,NA,FALSE,1,0.0383110010422512,0.274987367475414,0.0315341975557162,8,"Early Downregulated"
"35700",14008,"acaca",-0.711381056213183,0.000103052127414647,-0.554532048139887,0.002314978693283,0.156849008073296,0.415926608247778,0.000177550166367142,NA,TRUE,0.0261420346778201,0.607508948808554,1,0.0193030849920392,8,"Terminally Downregulated"
"40617",18925,"cacng5b",-0.272305129122645,0.120043146165067,0.349269859581796,0.033197239474589,0.621574988704441,8.69221423941784e-05,0.000384477323097271,NA,FALSE,1,1,0.0248064929125186,0.0404516210305704,8,"Late Downregulated"
