"","X","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","cluster"
"224",224,"dync1li2",0.000278347340718007,NA,TRUE,0.0285867208390631,0.00384679513765662,0.945699313769374,0.00067438718665469,0
"1178",1178,"LOC111568755",0.000246242731076215,NA,TRUE,0.0254951315467935,0.0500820457474456,0.237989499749707,0.000149423915480784,0
"1757",1757,"glulb",0.000378656063542641,NA,FALSE,0.0381200392823362,0.375197458514232,0.0298636944584356,0.000232313416167251,0
"2947",2947,"LOC111567884",4.61381318704447e-09,NA,FALSE,5.24615276223316e-07,NA,NA,NA,0
"3433",3433,"LOC129348661",2.16188725239771e-06,NA,FALSE,0.0002404509533562,0.000344694381102184,0.936530594750174,2.77246140698573e-05,0
"3574",3574,"LOC111568891",2.24084711246113e-07,NA,FALSE,2.536638931306e-05,NA,NA,NA,0
"4236",4236,"LOC111583456",0.000413210340871999,NA,FALSE,0.0411112007109758,0.104320364301129,0.000272254827341611,0.129689918072888,0
"4400",4400,"LOC129348769",0.000275254977014475,NA,TRUE,0.0283835800184562,0.0706936993698326,0.0002882051131049,0.119005280148989,0
"5648",5648,"LOC111574349",0.000343398029210657,NA,FALSE,0.0347098181224196,0.0401341737667218,0.000233193502668594,0.291694993887665,0
"6173",6173,"ddr2l",0.000202437724659857,NA,TRUE,0.0212184726217554,0.000704624360120532,0.0178829722713783,0.240723297892122,0
"7375",7375,"kiaa0753",1.3518391886562e-05,NA,TRUE,0.00147142496303733,0.742521370767769,0.000621360277451743,1.73201064141981e-05,0
"7972",7972,"ywhae1",0.000343418695204152,NA,FALSE,0.0347098181224196,0.0248577109814127,0.44892204033079,0.00022818805243241,0
"8279",8279,"LOC129349297",9.9207818988114e-06,NA,TRUE,0.00109386283533648,0.0276494921317241,0.0962038438452666,7.52253605018627e-06,0
"9094",9094,"LOC111572069",5.41394332803236e-05,NA,FALSE,0.00584292951546543,0.0165963268377269,0.274686211849817,3.40216005394467e-05,0
"9917",9917,"LOC118471263",0.000155586385361,NA,TRUE,0.016443092262011,0.00766798566337445,0.000553794260235496,0.747027883678136,0
"11388",11388,"mau2",0.000494480168915438,NA,FALSE,0.0486270652597537,0.18956400209229,0.000386997289251956,0.0791692557114356,0
"13419",13419,"LOC129350154",0.000482344196126484,NA,TRUE,0.047617467733882,0.00485702588148507,0.999640199385322,0.00212335519197149,0
"14038",14038,"LOC111563592",1.09077287357079e-05,NA,FALSE,0.00119235987510077,1.02300817721446e-05,0.0242154670125989,0.0309400204585608,0
"14988",14988,"gpx3",3.71789126142661e-07,NA,FALSE,4.19003054993521e-05,NA,NA,NA,0
"15433",15433,"LOC111582645",1.21823735387557e-06,NA,TRUE,0.000136689451115466,0.000160888594103237,0.999955812710988,3.70440909565062e-05,0
"15906",15906,"LOC111564926",0.000213871404101026,NA,TRUE,0.0222338965814413,0.000157019898284649,0.0368777895954144,0.108189211953878,0
"16380",16380,"chrac1",9.96617959140456e-06,NA,TRUE,0.00109413187152187,0.000398978351584867,0.999867960945876,0.000122808503345229,0
"17651",17651,"LOC111571804",0.000511611877357581,NA,TRUE,0.0499262625145502,0.220308263844791,0.0415595026280429,0.000362649415406979,0
"18089",18089,"LOC111565980",9.36537756338129e-06,NA,FALSE,0.00103711376756227,0.00224577297768214,0.419549577335631,6.52855539040598e-06,0
"19035",19035,"hs3st3b1b",0.000122647605042481,NA,TRUE,0.0130704372403012,0.000134969409423369,0.00196549714572825,0.702597461872702,0
"19493",19493,"shisa8b",0.00028674143198948,NA,FALSE,0.0293305392480805,0.00041758747770515,0.00876850449442546,0.600529583703671,0
