"","X","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","cluster"
"20039",20039,"LOC118471785",0.000470395378510366,NA,TRUE,0.046618561442253,0.000561911517975466,0.785057452178765,0.00334238336051729,0
"20088",20088,"igf2bp1",1.49977461140098e-05,NA,FALSE,0.00162550039797375,8.08530515772343e-06,0.221523752228619,0.00267550422451324,0
"20516",20516,"LOC111584513",0.000211790767175699,NA,TRUE,0.0221078313113322,0.997942957967437,0.00118094370766586,0.000797090008199275,0
"21173",21173,"cacng1b",5.65874124206934e-05,NA,FALSE,0.00608135609432515,0.926544937456548,0.00221857349579779,0.000420980161641715,0
"21444",21444,"rragd",0.00050134828186524,NA,FALSE,0.049112848996568,0.00436009446852559,0.991947424887897,0.00170722276194613,0
"22024",22024,"bcl11ba",0.000154855577462491,NA,TRUE,0.0164340481582069,0.994401849079423,0.000933421926402334,0.00106946136220221,0
"22074",22074,"gng2",0.000167912225563415,NA,TRUE,0.0176724148144636,0.000307135225163346,0.00339736645606015,0.740710323171092,0
"22394",22394,"LOC111563451",0.000391390351546739,NA,FALSE,0.0392468986373837,0.244790030723199,0.000224236108923082,0.0476540978121354,0
"22765",22765,"LOC111565840",1.46312150849602e-06,NA,TRUE,0.000163446073778043,1.00403093377111e-05,6.00079636534634e-05,0.863774606046792,0
"22827",22827,"tmbim4",0.00010523944646242,NA,TRUE,0.0112623895016716,0.00172555579945433,0.97479626512296,0.000364433628795235,0
"23596",23596,"hhla2b.1",0.000306033860833912,NA,TRUE,0.0311787297417589,0.000171804725698887,0.341276647821079,0.00965877181862285,0
"24272",24272,"LOC111587507",0.000402332554119936,NA,TRUE,0.0401859221703324,0.000563071704184681,0.0373461036086746,0.212657948297135,0
"42",42,"glceb",0.000117770435289611,NA,TRUE,0.00747096278852019,0.000112312865193309,0.466942350859602,0.00417091087156995,1
"278",278,"sox6",0.000695188967290457,NA,FALSE,0.0416317362472797,0.00175684212309846,0.839387078885681,0.00600129018778439,1
"558",558,"znf710b",0.000225903397666939,NA,TRUE,0.0141024839896324,0.969852328935699,0.00479357137871395,0.00107837197671823,1
"646",646,"LOC111577669",0.000459277698147782,NA,FALSE,0.0280028513624561,0.077879073014396,0.29734819978055,0.000388150357734651,1
"757",757,"LOC111563338",3.58046445779459e-05,NA,FALSE,0.00230235603863922,0.000139893411369774,0.993203797770966,0.000102872079266292,1
"1840",1840,"dab1a",0.000768481384474963,NA,FALSE,0.0456722459182279,0.148765201464413,0.180595224561245,0.000451968842634765,1
"1970",1970,"ssbp4",0.000674159111576002,NA,TRUE,0.0404753435993398,0.258636861773881,0.105902777083294,0.000448189360748308,1
"2082",2082,"tmtc2b",0.000394237685389979,NA,FALSE,0.0242255454977889,0.00279833299595955,0.984959158385633,0.000937914124215511,1
"2304",2304,"sema3ab",7.65032329760664e-07,NA,FALSE,5.05759434857225e-05,NA,NA,NA,1
"2347",2347,"LOC111564869",0.000273619621037486,NA,FALSE,0.0170360787860245,0.00233179735637679,0.95835345030254,0.000428316565080689,1
"2518",2518,"LOC111577263",8.29772204085218e-06,NA,FALSE,0.00054096090922841,0.530415919568434,0.00153498172365241,1.2265405784806e-05,1
"2877",2877,"immp2l",0.000452153918155683,NA,FALSE,0.0276401102955688,0.000696660214508094,0.000940367685478227,0.982163843089154,1
"3038",3038,"LOC111587547",7.53822844468413e-06,NA,FALSE,0.000492811684571225,0.025805901401122,0.0544966687345521,4.32467581212848e-06,1
"3110",3110,"mical2b",0.000763478532980394,NA,TRUE,0.0454897905663129,0.127649156154059,0.217323179521912,0.000602728100129624,1
"3339",3339,"LOC129348729",0.000302235302031628,NA,FALSE,0.0186695743656545,0.010188430590463,0.838571354580512,0.000717636683117862,1
"4141",4141,"slc44a2",0.000721048617591159,NA,TRUE,0.0430707594289541,0.00137522348349073,0.00872135203267743,0.744619588110647,1
"5366",5366,"gli1",1.58692269401119e-06,NA,FALSE,0.000104616878441326,2.0663286088185e-05,0.993042934023032,1.40553048293413e-05,1
"5649",5649,"LOC111584294",0.000292739602178263,NA,FALSE,0.0181305961506985,0.744262547638814,0.00110277183424934,0.00782548350561729,1
"6624",6624,"LOC111566713",0.000126064908828403,NA,TRUE,0.00795136875989075,6.77224182403791e-05,0.0264086076600081,0.136499116020441,1
"6714",6714,"LOC111583974",0.000541977051745871,NA,FALSE,0.0329597672166384,0.000687693224339148,0.716711051786177,0.00635267648880811,1
"7841",7841,"dnmt3bb.1",0.00059020270356511,NA,FALSE,0.035616463149756,0.00234922702475726,0.994680729240126,0.00178923275766385,1
"7909",7909,"tmed4",0.000192348337572662,NA,TRUE,0.0120396758637569,0.00043096862786296,0.937072524246227,0.000629856159081066,1
"7960",7960,"LOC111564014",1.58113880516831e-05,NA,TRUE,0.00102795861269713,0.00193736446930481,0.000520096361526612,0.960870322725767,1
"11196",11196,"rpl24",0.000830143842634811,NA,TRUE,0.0492126834670284,0.000520753938476171,0.0670584850966668,0.157424150125328,1
"11257",11257,"il1rapl1a",0.000351339484932044,NA,FALSE,0.0216460072719258,0.000204382383126922,0.0593063643325707,0.151871339894502,1
"12911",12911,"ccdc85cb",4.35600930202701e-05,NA,FALSE,0.00278583366639146,0.00232447840132477,0.743479602609661,4.94753045849894e-05,1
"14592",14592,"LOC111570546",0.000285345768253426,NA,FALSE,0.0177192946064496,0.00357413524926908,0.876874684285913,0.000316221220933999,1
"14609",14609,"LOC111568198",9.02008218234139e-05,NA,FALSE,0.00573750362598391,0.000184641401130392,0.761577019622039,0.00135567442842466,1
"16590",16590,"fgfbp3",0.000126356996651759,NA,FALSE,0.00795136875989075,6.76159172683377e-05,0.0583228933292896,0.0870529750582993,1
"17665",17665,"tap2t",6.37859625265695e-05,NA,TRUE,0.00406829980504828,0.000308133185026427,0.411609681968549,0.00429996466592375,1
"18349",18349,"plce1",0.000400804529061682,NA,TRUE,0.0245649338319445,0.000240659080877559,0.0741128067705552,0.112734227511197,1
"19055",19055,"kcnh6a",0.000841562862938336,NA,FALSE,0.0497642763297833,0.00749865373330982,0.404083344243605,0.0156803371342618,1
"20099",20099,"pcnx4",0.000629144358374812,NA,TRUE,0.0378693413666271,0.125380099906225,0.189925965627454,0.000481856077714449,1
"20292",20292,"nkx2.2a",3.65679598216865e-06,NA,TRUE,0.000239728951087296,0.000598375865690004,0.833564338046659,1.2774112910785e-05,1
"20361",20361,"si:dkey-288a3.2",2.11646233800376e-05,NA,FALSE,0.00136843244848677,0.000656166132749991,0.597706740516751,0.00106473944542884,1
"20826",20826,"lhfpl3",4.27816692736851e-07,NA,TRUE,2.83624390522867e-05,NA,NA,NA,1
"20894",20894,"foxp2",3.45790641594006e-07,NA,TRUE,2.29892168076693e-05,NA,NA,NA,1
"21073",21073,"zgc:113263",0.000554633734118446,NA,TRUE,0.0335560538109965,0.189635179995139,0.000317608574005313,0.0723442992051234,1
"21100",21100,"cog5",0.000164453527006829,NA,TRUE,0.0103211033549486,0.00144382025419421,0.974365793529744,0.000256522054524866,1
"21538",21538,"skida1",2.27319399384236e-06,NA,TRUE,0.000149440281131508,2.62004890283496e-06,0.0135575094543685,0.0110763259861251,1
"22488",22488,"lrch4",3.73927808408512e-05,NA,TRUE,0.00239792669506658,0.061904579054803,0.0985940261615583,2.07477441298565e-05,1
"23102",23102,"LOC111574283",3.47258396457932e-05,NA,TRUE,0.0022391031125034,0.003640642935132,0.999915194929677,0.000599848328577735,1
"23106",23106,"LOC111579712",0.000550530411768958,NA,FALSE,0.033393642373666,0.0666268194546269,0.35396788117642,0.000505705980553106,1
"23154",23154,"LOC129348282",0.000121268251546453,NA,FALSE,0.00767217284985422,0.0201049273608755,0.338203143579726,0.000150579793804728,1
"2241",224,"slc39a13",0.000117331553989802,NA,FALSE,0.00847881205732473,0.000688378490969144,0.00310618200321444,0.845052283103176,2
"3087",3087,"smc3",0.000125584695068016,NA,TRUE,0.00904424112843076,0.929739502136214,0.00112884966726645,0.00011631041431226,2
"3123",3123,"prkcaa",1.24995993684171e-05,NA,FALSE,0.000906371293034261,0.147484693064817,0.0336081365481913,7.84392516239851e-06,2
"3812",3812,"sorcs3a",0.000282920871228797,NA,FALSE,0.0201686260263474,0.00196430064595177,0.000885297040328137,0.986328816122043,2
"4802",4802,"dusp7",0.000209017637883586,NA,TRUE,0.0149507836507849,0.0135896154712212,0.669782955521996,0.000180500719442311,2
"11083",11083,"tnfaip2a",0.000347311485201847,NA,FALSE,0.0245926833867254,0.0104688934370508,0.998971074987559,0.00293368417405082,2
"11790",11790,"LOC118469578",3.79397759634731e-07,NA,TRUE,2.7605765951905e-05,NA,NA,NA,2
"13424",13424,"mrps21",0.000418867875269628,NA,TRUE,0.0293638904852638,0.00334228728005703,0.00739325956434222,0.938703726756693,2
"14574",14574,"macrod2",0.000134947356007916,NA,TRUE,0.00968545632354772,0.00448830380612186,8.40443668678192e-05,0.417435995317055,2
"15586",15586,"wdr5",0.000317519228750185,NA,FALSE,0.0225588324776352,0.000724854173356659,0.0155895161964805,0.454317399671283,2
"16019",16019,"reep3b",0.000386701031561381,NA,TRUE,0.0272902289865441,0.00186511629258956,0.784448870880952,0.00553398064812927,2
"18672",18672,"ppfia2",0.000716475435161884,NA,TRUE,0.0497314084123385,0.00626512892948561,0.997484205070418,0.0018874272668894,2
"19317",19317,"ptgdsb.1",0.000590232104510804,NA,FALSE,0.0411039195949917,0.00152403013490443,0.852182836806987,0.00495837061231352,2
"19361",19361,"jph1a",0.000398082202935509,NA,FALSE,0.0279997752138072,0.000888482640643229,0.000776554645201433,0.995305824350234,2
"20224",20224,"ehbp1l1a",0.000531646832364215,NA,FALSE,0.0371466218864812,0.000308695725527053,0.0604199477615415,0.169817347410524,2
"2103",2103,"hprt1l",3.40948134972702e-05,NA,FALSE,0.0033955532557026,0.0108635828008478,0.320253141225925,3.41803701319199e-05,3
"4859",4859,"srpk1b",0.000418128602582288,NA,TRUE,0.0404375281604788,0.00808349386420693,0.867092967216356,0.000880966798257554,3
"11906",11906,"wdr3",0.0001291483397653,NA,TRUE,0.0127535347842493,0.00199194577678408,0.881623005275238,0.00276071823266499,3
"14975",14975,"tshz1",0.000189383894373392,NA,FALSE,0.0185453584264221,0.148619815754388,0.000140138452110694,0.0657290741239588,3
"15983",15983,"zgc:110319",0.000260876496697717,NA,FALSE,0.0253342470071094,0.00112346824836917,0.831266428581976,0.00383876480892809,3
"16263",16263,"pik3ap1",0.000216798772499075,NA,FALSE,0.0211414936315348,0.00471999835710901,0.980107519435548,0.00129912977440616,3
"17997",17997,"bhlha15",0.000151477286842687,NA,TRUE,0.0148956908456565,0.0424410128700086,0.212931397225875,0.000141322353080175,3
"18488",18488,"igf2bp1",0.000100754497209647,NA,TRUE,0.00999177225718046,5.30999221766137e-05,0.455365950080614,0.000932681801970037,3
"19345",19345,"dhrs7b",0.000506835557319653,NA,TRUE,0.0488147299732887,0.019345240456351,0.701078017797574,0.00103185421078755,3
"2616",2616,"LOC111567884",7.1031390102326e-07,NA,TRUE,7.77533850681071e-05,NA,NA,NA,4
"4966",4966,"slc6a11a",5.66176956379744e-05,NA,TRUE,0.00605000519102927,0.00107794238445758,0.834661206502893,0.0038140855074793,4
"5096",5096,"kif5ab",0.000392173805317235,NA,FALSE,0.0396413522131475,0.0246931042789321,0.341152193907672,0.000261939314051718,4
"5674",5674,"arvcfb",0.000191898699300997,NA,TRUE,0.0198442710244902,0.00764727703857493,0.571385189842016,0.000222120884161625,4
"6099",6099,"pdlim5a",0.000222759880591814,NA,FALSE,0.0229299620205519,0.122258011721761,0.0680881353314868,0.000133102951136332,4
"7735",7735,"LOC129349487",0.000226316133391386,NA,FALSE,0.0231896531201037,0.610470639232954,0.000146903408450361,0.00225227790414972,4
"10238",10238,"b4galt2",7.18088146664422e-05,NA,TRUE,0.00763691848869651,5.95430638455907e-05,0.0127653043788258,0.486274399758772,4
"10753",10753,"fgf14",0.000453681189595076,NA,TRUE,0.0456529412310022,0.000808427586601601,0.00825156451466746,0.897886205376745,4
"11162",11162,"ccnt2a",3.34139528886574e-05,NA,TRUE,0.00358760336278216,0.00066963321816349,0.997686578163608,0.000623174158613349,4
"12528",12528,"cxcl14",0.000344875781366643,NA,TRUE,0.0350181562618438,0.0598151272886848,0.175635461824872,0.000452999187684155,4
"12846",12846,"spock1",0.00046537794072155,NA,TRUE,0.0466208972758553,0.00125533638375097,0.00440289889787371,0.995992314460329,4
"14069",14069,"fam53c",0.00012179702982715,NA,TRUE,0.0127716137818749,0.854788625563885,0.00383859461556246,0.000342663012454558,4
"14450",14450,"LOC129350740",7.75809682383226e-06,NA,TRUE,0.000845105304499009,0.0293206843545657,0.0416329858917889,8.20400251588804e-06,4
"15089",15089,"kcnq5a",2.33594366191217e-05,NA,TRUE,0.00252012383525525,0.000694532772806178,0.965886151192309,0.00149741697285999,4
"15145",15145,"tnfaip3",7.24664771935201e-05,NA,TRUE,0.00767050824633298,0.331232853828807,0.0157765271174246,0.000152926898288386,4
"16963",16963,"grid1b",0.000157302442664702,NA,TRUE,0.0163419759879441,0.00221142541530961,0.887252467932975,0.000698452585047304,4
"18938",18938,"efna2a",1.28194706157124e-05,NA,FALSE,0.00138970493051491,0.00396443216297238,0.364157783381615,6.91690164302816e-05,4
"20177",20177,"chst11",0.000101741697415731,NA,FALSE,0.0107187027699953,0.75994840941906,0.000465831977777498,0.00272869194829251,4
"22066",22066,"LOC129348286",0.000253741382669988,NA,FALSE,0.0258816210323388,0.000260850250816902,0.354911436972441,0.0304344447042528,4
"2652",2652,"LOC111567884",0.000349868976633316,NA,FALSE,0.034050439849279,0.0457348318683037,0.000231862366896762,0.21889195376743,5
"4734",4734,"LOC111565896",4.19583404042272e-05,NA,TRUE,0.00415423897569299,0.544048833221352,0.000788861355340953,0.00255721808575549,5
"7588",7588,"kcnd1",1.40930333785658e-05,NA,FALSE,0.00140751863057283,0.00167003201709115,0.503747343147646,9.55061420415682e-06,5
"10995",10995,"shox",0.000393991627790054,NA,TRUE,0.0381821293185861,0.00738291508094735,0.000370268414426334,0.572785381338161,5
"13767",13767,"ubl3a",0.000151839756537693,NA,TRUE,0.0148407139819384,0.964482733600717,0.00307472856606217,0.000507843636953997,5
"19036",19036,"baiap2l1b",1.66588398816007e-05,NA,TRUE,0.00165654055187865,0.481480198056953,0.00608685803537856,5.23478509746322e-05,5
"19377",19377,"LOC111582900",9.57233004844235e-05,NA,FALSE,0.00939608414325859,0.771231810440117,0.00756495531353529,0.00113176782033109,5
"21888",21888,"vgf",6.99620915618423e-05,NA,TRUE,0.00689699567289179,0.0950977922201985,3.6231070139725e-05,0.0307035818358412,5
"1597",1597,"LOC111576154",0.000151720233257802,NA,TRUE,0.0129384277113533,0.00374699346079144,0.974586321345701,0.000837434390009939,6
"1621",1621,"ptprfa",1.91387900273067e-06,NA,FALSE,0.000177927997122716,8.80590663276948e-07,0.00435297520131139,0.130636994332819,6
"1903",1903,"ell",0.000376192429211899,NA,TRUE,0.030476960943724,0.000432221085972517,0.0218500113215334,0.468463896721877,6
"2095",2095,"nudt4a",5.69593249258942e-142,NA,FALSE,6.36485382570928e-140,NA,NA,NA,6
"2735",2735,"ptprz1a",0.00056433660373462,NA,TRUE,0.0447601801367697,0.125514301259725,0.175851943756309,0.000497116599625147,6
"3197",3197,"LOC111568896",0.00036615139828265,NA,TRUE,0.0297698147621635,0.00051360171229442,0.129183117056401,0.0587224506127022,6
"3327",3327,"mxi1",0.000103416860134201,NA,TRUE,0.00902272328955469,0.0341659762775881,6.18514426047323e-05,0.10773930280062,6
"3608",3608,"tacr3a",1.76498064790641e-05,NA,FALSE,0.00161438794423827,0.0129906970055038,0.173165515610657,8.79773035822318e-06,6
"3813",3813,"LOC111562847",1.69188023643914e-08,NA,TRUE,1.5991088034744e-06,NA,NA,NA,6
"4521",4521,"cntn4",0.000216404729876034,NA,TRUE,0.0179814098626665,0.0225379555633313,0.509419189424919,0.000239056458761544,6
"4610",4610,"LOC111565100",4.24955528220388e-09,NA,FALSE,4.05029042107196e-07,NA,NA,NA,6
"5077",5077,"ca16b",2.96715978582637e-06,NA,TRUE,0.000274722663598716,1.57728870342488e-06,0.00104401274896793,0.31965958774324,6
"5148",5148,"LOC111576659",0.000167605360657146,NA,TRUE,0.0141336803016606,0.0167957360419346,0.491888320654166,0.000134358094868503,6
"6201",6201,"LOC111576468",0.000522155999471585,NA,TRUE,0.0415599533053103,0.0111254369917427,0.00266381974776619,0.722313398784319,6
"6373",6373,"si:dkey-178e17.1",2.52876469296036e-05,NA,FALSE,0.00228535849781326,0.00092295787822283,0.001595058588031,0.992719302161089,6
"7102",7102,"LOC111562717",0.000203432834177177,NA,FALSE,0.0169657000385113,0.000248004225393172,0.0150101805159925,0.444029096280779,6
"7265",7265,"pgr",5.83163413010227e-05,NA,FALSE,0.00512731738787751,0.0824545072292417,0.0641947547867757,3.50948980283317e-05,6
"7309",7309,"nova2",0.000354505823612135,NA,TRUE,0.028999678637828,0.373567684519197,0.0471392118487541,0.000224775531616261,6
"8955",8955,"LOC111577100",9.37710624435627e-06,NA,FALSE,0.000864675927020235,0.10731384998705,0.0154937881129502,4.50590901246439e-06,6
"9213",9213,"bcan",0.00030739215937768,NA,FALSE,0.0252640715337801,0.00322799584598599,0.892191453457953,0.000381297425604332,6
"9927",9927,"LOC111587111",4.33461343375557e-05,NA,FALSE,0.00387111697367368,0.0633453091281018,0.100317727268578,2.34735240199901e-05,6
"9952",9952,"rgs5b",0.000261447640034774,NA,TRUE,0.021644811191784,0.000196111996334625,0.00196425890332474,0.790020340390846,6
"10169",10169,"LOC118470193",0.000189579623703331,NA,TRUE,0.0159274969780976,0.956967565375479,0.00578596605887327,0.000669749533624753,6
"10410",10410,"pde1cb",0.000457955065759094,NA,FALSE,0.0368377755733308,0.000271790263335348,0.211672317509241,0.0469141286872936,6
"10961",10961,"wdfy2",0.000148583552059015,NA,FALSE,0.0127187520562517,0.0376535398939875,0.320868225825523,0.00012843283775188,6
"11896",11896,"nmbr",0.000416327589848399,NA,TRUE,0.0336084521285448,0.00131254973904626,0.00283208350749264,0.996309117393106,6
"12424",12424,"chgb",1.22949294659907e-08,NA,FALSE,1.16693799165913e-06,NA,NA,NA,6
"12589",12589,"gfra3",0.000139842016150389,NA,TRUE,0.0120615068226442,0.544164688694825,0.0151474639607864,0.000129072304454692,6
"13137",13137,"pcdh10b",4.49523210751687e-05,NA,TRUE,0.00399881745595736,0.747553075812221,0.0046746565769602,7.89842878748948e-05,6
"13285",13285,"LOC111568069",0.000631180616442579,NA,FALSE,0.0497142399423037,0.0176419027566823,0.873412369201606,0.00210920758979327,6
"13362",13362,"npy7r",0.000155725056485041,NA,TRUE,0.0131808476914428,0.000581908252067831,0.0182023453753045,0.229615552754633,6
"13531",13531,"LOC111575683",0.000488266694180854,NA,TRUE,0.0391372497908074,0.00458611338334025,0.958227690868255,0.00471499614577886,6
"13706",13706,"grm5a",6.75442076325255e-16,NA,TRUE,6.46486416006839e-14,NA,NA,NA,6
"13991",13991,"gabra3",7.79633204651797e-05,NA,TRUE,0.00682826239935188,4.10802020822665e-05,0.0460518427658256,0.12774230036314,6
"14775",14775,"LOC111572204",1.6224281230915e-05,NA,FALSE,0.00149000645927965,0.00535740814310259,0.922606276284627,0.000712099819764389,6
"15174",15174,"sdc2",0.00015252043563154,NA,FALSE,0.0129579534152279,0.0072464855618688,0.806422984040999,0.000367240090434984,6
"15299",15299,"camk2g2",2.02172702978574e-05,NA,TRUE,0.00183443423774639,0.0183061264209006,1.07418184653874e-05,0.0683490079919814,6
"15418",15418,"LOC111580719",0.000355400752129967,NA,FALSE,0.028999678637828,0.0481935505761533,0.000261962955088846,0.170435967985958,6
"15930",15930,"LOC111567620",1.78746727892218e-05,NA,FALSE,0.00162838986968155,0.068016101424959,0.0590529847716861,1.08264542239e-05,6
"16982",16982,"LOC111567440",0.000580277617115233,NA,TRUE,0.0458641723576374,0.05531602430381,0.436783640448919,0.000627681480480757,6
"17746",17746,"LOC111566726",0.000520444449581878,NA,TRUE,0.0415599533053103,0.000533473081109959,0.278518717472208,0.0463452879833557,6
"17748",17748,"LOC111566724",0.000126823682147482,NA,FALSE,0.0109804137627232,0.00312587933804997,0.998991560428146,0.00149443375059177,6
"17958",17958,"LOC111563870",5.06410358143922e-05,NA,FALSE,0.00448727053286591,0.00133745635732307,0.909624182955486,0.000147703476006789,6
"18381",18381,"LOC111588913",0.000116515213015807,NA,FALSE,0.0101265559082398,8.67546745280112e-05,0.142432900791753,0.0476537553385209,6
"19255",19255,"stxbp6",2.91843654762333e-05,NA,TRUE,0.00262705613675744,2.91771070007885e-05,0.458530597315273,0.00245319728049731,6
"20082",20082,"si:dkey-97m3.1",0.00014250102201604,NA,TRUE,0.0122442923614085,0.328631212964257,0.0287902622874885,7.84178341195485e-05,6
"20193",20193,"pim3",0.000270875533611795,NA,FALSE,0.0223437840161816,0.0982213666636107,0.000163871491042356,0.0582664646356844,6
"20328",20328,"LOC111565841",5.15154306319485e-05,NA,TRUE,0.00454698843756856,0.0103266035968606,0.000125040721158598,0.202176364324621,6
"20330",20330,"LOC111565832",3.48973782936161e-07,NA,TRUE,3.27112450087763e-05,NA,NA,NA,6
"20860",20860,"drd3",0.000192566100277717,NA,FALSE,0.0161187063420654,0.00332220254831961,0.849327264456907,0.00427978214462987,6
"21007",21007,"LOC111585095",3.80389846643256e-05,NA,FALSE,0.00341057837203779,0.0169748047088312,0.350743818048476,4.74207813928595e-05,6
"22054",22054,"LOC111571714",6.467784068389e-08,NA,FALSE,6.08776820777328e-06,NA,NA,NA,6
"6442",6442,"igsf11",0.000172436531484058,NA,TRUE,0.0171611476309493,0.0514016670743868,0.117875913879814,0.000139853662183387,7
"11746",11746,"sesn4",0.000493490207401234,NA,TRUE,0.048879030066408,0.824404380070561,0.0169893322594346,0.001242404627815,7
"15225",15225,"ppiab",0.000166398950348609,NA,FALSE,0.0166398950348609,0.0179476435410308,9.04664233319918e-05,0.173118682103867,7
"18849",18849,"LOC111581796",6.18562047196508e-06,NA,TRUE,0.000627614174716457,0.00325302687583873,0.31876445556375,4.91607069574851e-06,7
"19899",19899,"adam19a",7.41620254199897e-06,NA,TRUE,0.000748820450842614,7.66548790742672e-06,0.396933022572619,0.00386668354884689,7
"19994",19994,"si:ch211-200p22.4",1.89188940186633e-05,NA,TRUE,0.00190102896419419,1.971286027036e-05,0.474035900841102,0.00371042228726148,7
"1058",1058,"ncln",0.000436179229664403,NA,TRUE,0.0456827714298057,0.0022050450325577,0.986797382685731,0.000707046218549667,8
"7187",7187,"LOC129349321",0.000317926002488124,NA,FALSE,0.0336059559667076,0.206486867228144,0.0582977436587596,0.000213937237038997,8
"7315",7315,"caln1",7.00165494230148e-05,NA,TRUE,0.00772279157693852,0.00481420182662617,0.980557096422048,0.00107164755003086,8
"7412",7412,"ostn",0.000311911826402576,NA,FALSE,0.0331235852112726,0.00285483322556279,0.531542087929117,0.00973655878187041,8
"9819",9819,"carmil3",0.000197186428107498,NA,FALSE,0.0212366062573132,0.0259621108637828,0.524829447444755,0.000519456811256869,8
"11474",11474,"LOC118471098",0.000295576990798619,NA,FALSE,0.0315355787566078,0.680067008697696,0.000325997482401696,0.00348474190786852,8
"14009",14009,"acaca",0.000177550166367142,NA,TRUE,0.0193039304690219,0.000303488907049898,0.00654706791508519,0.694640281046675,8
"18926",18926,"cacng5b",0.000384477323097271,NA,FALSE,0.0404533928154695,0.265582265859505,0.0839096635130705,0.000256271222280779,8
"19622",19622,"LOC111577954",0.000240185318026433,NA,TRUE,0.025746061883472,0.000222798455811746,0.0413967876838635,0.198675347520233,8
"20428",20428,"LOC118470016",0.000139649848837386,NA,FALSE,0.0153292564839192,0.0638601657809841,0.187584677793143,0.000102047308116249,8
"20911",20911,"rdh10a",0.000191593254454214,NA,FALSE,0.0207320245767707,0.000176260993070665,0.459094871825946,0.00980309269408663,8
"5539",5539,"fbrsl1",0.000319728897455784,NA,TRUE,0.0375309877683773,0.874376433408632,0.000621614102331636,0.00935363294207658,9
