"","cluster","gene","behavior_p.value","behavior_estimate","behavior_x_status_p.value","status_p.value","d_f_p.value","d_f_estimate","d_m_p.value","d_m_estimate","f_m_p.value","f_m_estimate","behavior_q.value","status_q.value","behavior_x_status_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"4500",31,"ube2v2",0.673156822383629,-0.000123680620309291,0.745859655150892,0.494834572169233,0.406464072326564,-0.104365252930562,0.50853484248049,-0.0724294559582799,0.802578101195538,0.031935796972282,0.988769397155467,0.999031747848184,0.99989233864964,0.96133382190832,0.99990006764494,0.999741812406664
"4501",31,"sntg1",0.441606348314231,0.000215542107856112,0.403550666564128,0.678166661794765,0.535062363256373,0.119586225623419,0.596246497205064,0.0892712580722071,0.877654678035423,-0.030314967551212,0.988769397155467,0.999031747848184,0.99989233864964,0.969711597073888,0.99990006764494,0.999741812406664
"4502",31,"pcmtd1",0.0653943167928644,0.000241506659599224,0.234707561152957,0.211836421906502,0.481720529675234,0.106954230297833,0.26998087316329,-0.149016513069791,0.11585302761125,-0.255970743367624,0.988769397155467,0.999031747848184,0.99989233864964,0.967187569660485,0.99990006764494,0.940542324437569
"4503",31,"st18",0.328118855083099,-0.000173285010748264,0.500827381937388,0.313061122586066,0.0866643656726755,-0.154352181471906,0.712904693588794,-0.0274338053692575,0.162369432908343,0.126918376102648,0.988769397155467,0.999031747848184,0.99989233864964,0.864392966521716,0.99990006764494,0.969175116364906
"4504",31,"rb1cc1",0.153309386108565,-0.000251904925950811,0.508692550341864,0.995224758592515,0.616674049395223,0.0657909769183313,0.837511092260397,0.0235090183517121,0.753794340947129,-0.0422819585666192,0.988769397155467,0.999517013007113,0.99989233864964,0.978720757549608,0.99990006764494,0.999741812406664
"4505",31,"agap3",0.265625194687469,0.00102593611076915,0.000346016767546367,0.783821608256714,0.189904887553142,0.262985941600673,0.52831394844965,-0.107892297797224,0.0804049711431042,-0.370878239397897,0.988769397155467,0.999031747848184,0.101002359650127,0.900077933399528,0.99990006764494,0.928966280044314
"4506",31,"asic1c",0.701535779442581,-0.000479727262793597,0.514089767175591,0.278898327168446,0.0747434140741588,0.502814773555986,0.245026728318926,0.276770218850849,0.412564859295899,-0.226044554705138,0.988769397155467,0.999031747848184,0.99989233864964,0.840332414267931,0.99990006764494,0.999741812406664
"4507",31,"cdk5",0.671237807724492,2.50022488924073e-05,0.880521747197308,0.758188997255219,0.460884626123758,-0.0465011362968849,0.965227328938186,0.00238192355293814,0.451389814561499,0.0488830598498231,0.988769397155467,0.999031747848184,0.99989233864964,0.966263681514277,0.99990006764494,0.999741812406664
"4508",31,"atg9b",0.735051529933928,0.000175950049046029,0.782977764315665,0.578726040365467,0.394199313571834,-0.0599790914258489,0.863320223979556,-0.010467278100377,0.492009100725866,0.0495118133254719,0.988769397155467,0.999031747848184,0.99989233864964,0.954727286421093,0.99990006764494,0.999741812406664
"4509",31,"guk1a",0.768186195927523,0.000363748350810703,0.626207052371182,0.810526002674301,0.98924159589001,-0.00310453640378178,0.829080184164196,0.0435718275261457,0.843903644516881,0.0466763639299275,0.988769397155467,0.999031747848184,0.99989233864964,0.999442883507891,0.99990006764494,0.999741812406664
"4510",31,"arf1",0.219136522366989,5.49652081476244e-06,0.273893083232903,0.989270182241551,0.610212194888058,-0.0272663793285873,0.965416425052133,0.00202071475496726,0.59474702653582,0.0292870940835546,0.988769397155467,0.999517013007113,0.99989233864964,0.977520825023225,0.99990006764494,0.999741812406664
"4511",31,"jmjd4",0.198604999268417,-0.000258905962792065,0.854490324384299,0.911670207637737,0.830302851908975,-0.0236380452479291,0.870899682554744,0.0156929404089702,0.729269682002816,0.0393309856568993,0.988769397155467,0.999031747848184,0.99989233864964,0.996812010386282,0.99990006764494,0.999741812406664
"4512",31,"higd1a",0.046268282570509,0.000179498234614255,0.416598558388037,0.905749805828086,0.603202853379555,0.0187432288213172,0.641959017393105,-0.014668047897599,0.372795953838616,-0.0334112767189162,0.988769397155467,0.999031747848184,0.99989233864964,0.976175176097054,0.99990006764494,0.999741812406664
"4513",31,"pth1r",0.657373028072643,-0.000100377504178101,0.93141633216501,0.902789553535228,0.879829008369288,-0.0495591774300887,0.706633528634587,-0.108312901461406,0.861716650253872,-0.0587537240313173,0.988769397155467,0.999031747848184,0.99989233864964,0.997302606286564,0.99990006764494,0.999741812406664
"4514",31,"LOC111568629",0.39583260241581,-0.000747688663350652,0.917251530941419,0.513823282347018,0.576460266936557,0.218090340394121,0.312537859670213,0.350281930633388,0.741088621701393,0.132191590239267,0.988769397155467,0.999031747848184,0.99989233864964,0.970006016974756,0.99990006764494,0.999741812406664
"4515",31,"usp14",0.48802387526556,-5.80008258316048e-05,0.249982567158341,0.740671048926968,0.950903480642252,-0.00389548947509033,0.87332474084262,0.00883825473778008,0.845001982151221,0.0127337442128704,0.988769397155467,0.999031747848184,0.99989233864964,0.997747352544099,0.99990006764494,0.999741812406664
"4516",31,"rock1",0.610787796265762,-9.75111798798013e-05,0.909243871075995,0.186553854574259,0.639911021624266,0.0501921090241945,0.143481138424791,-0.142893877709928,0.096594411671566,-0.193085986734122,0.988769397155467,0.999031747848184,0.99989233864964,0.982319396923726,0.99990006764494,0.931228470152219
"4517",31,"greb1l",0.511677662127479,-0.000196907031759764,0.0630866765893499,0.226714072212125,0.59344407420471,0.0392944251362989,0.447699437187502,-0.04923111171619,0.252126627630132,-0.0885255368524889,0.988769397155467,0.999031747848184,0.99989233864964,0.973491218855864,0.99990006764494,0.995110318446325
"4518",31,"abhd3",0.0759909189229661,-5.12447290489706e-05,0.0355687528658846,0.361695199601213,0.0739550087182,-0.0886114499845036,0.547616065993485,-0.0246578496683168,0.195950848091705,0.0639536003161868,0.988769397155467,0.999031747848184,0.927163414837237,0.840332414267931,0.99990006764494,0.98389167317121
"4519",31,"mib1",0.649891972462745,0.000314999412318262,0.792080344556308,0.683269009505708,0.55060627279735,-0.0723607251489037,0.920498614428829,-0.0105247920391242,0.619303451926345,0.0618359331097795,0.988769397155467,0.999031747848184,0.99989233864964,0.969711597073888,0.99990006764494,0.999741812406664
