"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",50,56,57,85,111,104,0.588235294117647,0.504504504504504,0.548076923076923,0.503772865142578,0.244321349443685,0.579585454029711,0.522699552924325,TRUE,NA,"LOC129348986",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"2",22,24,16,85,111,104,0.258823529411765,0.216216216216216,0.153846153846154,0,0,0,0,FALSE,"Model failed to converge with max|grad| = 0.015394","trip4",28,0,0,0,0
"3",4,6,1,85,111,104,0.0470588235294118,0.0540540540540541,0.00961538461538462,0.261484032239168,0.825559087064272,0.149250216319789,0.103592622750508,TRUE,NA,"cln6a",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"4",2,5,1,85,111,104,0.0235294117647059,0.045045045045045,0.00961538461538462,0.319319459540746,0.429070369205879,0.461183507554189,0.152250658101566,TRUE,NA,"LOC118470268",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"5",8,10,6,85,111,104,0.0941176470588235,0.0900900900900901,0.0576923076923077,0.590134199466736,0.92432352666758,0.349907615579279,0.371614003525295,FALSE,NA,"rps17",28,0.998384393720769,0.986487660439341,0.973457668291766,0.983997965522178
"6",10,15,11,85,111,104,0.117647058823529,0.135135135135135,0.105769230769231,0.801281414377015,0.71625635009427,0.796119147602179,0.510210968368025,TRUE,NA,"csnk1g1",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"7",6,4,7,85,111,104,0.0705882352941176,0.036036036036036,0.0673076923076923,0.505307240305633,0.284509868799353,0.929366935731446,0.305800019319269,TRUE,NA,"LOC111571203",28,0.998384393720769,0.973670338224807,0.977314898414103,0.983997965522178
"8",53,65,61,85,111,104,0.623529411764706,0.585585585585586,0.586538461538462,0.910345943237796,0.674244194510741,0.754363578150558,0.919374079425745,FALSE,NA,"neo1a",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"9",34,34,27,85,111,104,0.4,0.306306306306306,0.259615384615385,0.116513316714009,0.173017758995474,0.0411952124338344,0.448287273929342,TRUE,NA,"LOC111567962",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"10",17,15,12,85,111,104,0.2,0.135135135135135,0.115384615384615,0.245128091216768,0.225867367424453,0.112164911307573,0.662595261013161,TRUE,NA,"bbs4",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"11",5,4,2,85,111,104,0.0588235294117647,0.036036036036036,0.0192307692307692,0.380314815208398,0.454339990065095,0.172569636984119,0.461862201720575,TRUE,NA,"scamp2l",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"12",8,15,12,85,111,104,0.0941176470588235,0.135135135135135,0.115384615384615,0.737556111364195,0.444332315695542,0.577574504731301,0.84248652121198,FALSE,NA,"myo9aa",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"13",5,8,3,85,111,104,0.0588235294117647,0.0720720720720721,0.0288461538461538,0.378615569496839,0.712291940681652,0.318321860957608,0.164411983513665,TRUE,NA,"LOC111580711",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
"14",1,4,2,85,111,104,0.0117647058823529,0.036036036036036,0.0192307692307692,0.530780426158016,0.310159626356236,0.685839104021811,0.461862192463317,TRUE,NA,"anp32a",28,0.998384393720769,0.973670338224807,0.973457668291766,0.983997965522178
