"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",131,207,158,282,514,321,0.464539007092199,0.40272373540856,0.49221183800623,0.314768296626067,0.309117485551456,0.670212709037406,0.141814274457339,FALSE,NA,"LOC129348986",10,0.929612420706363,0.798546864857674,0.978946580018929,0.98845693563369
"2",45,63,47,282,514,321,0.159574468085106,0.122568093385214,0.146417445482866,0.625525135655688,0.360111894856857,0.835954627078458,0.479896429822353,FALSE,NA,"trip4",10,0.96879175320653,0.826697864131428,0.978946580018929,0.98845693563369
"3",20,34,24,282,514,321,0.0709219858156028,0.066147859922179,0.0747663551401869,0.989324861010552,0.953204699209637,0.884705613440063,0.927081863426538,FALSE,NA,"cln6a",10,0.996805452075419,0.983368983438905,0.978946580018929,0.98845693563369
"4",2,6,5,282,514,321,0.00709219858156028,0.0116731517509728,0.0155763239875389,0.635073396680819,0.539607928424022,0.34411291798663,0.631535479866571,TRUE,NA,"LOC118470268",10,0.970176673967413,0.908942674590179,0.967135584683882,0.98845693563369
"5",4,7,4,282,514,321,0.0141843971631206,0.0136186770428016,0.0124610591900312,0.982059424145604,0.947864438286216,0.853685617839779,0.886548571566612,TRUE,NA,"calml4a",10,0.99565358419274,0.981287229146029,0.978946580018929,0.98845693563369
"6",8,12,11,282,514,321,0.0283687943262411,0.0233463035019455,0.0342679127725857,0.767990981819205,0.743704630064401,0.721648935962425,0.467510425066161,FALSE,NA,"LOC111568352",10,0.988947004593298,0.937359177680231,0.978946580018929,0.98845693563369
"7",11,14,12,282,514,321,0.0390070921985816,0.0272373540856031,0.0373831775700935,0.596590573200807,0.36500412767509,0.917272626768558,0.413474195551977,TRUE,NA,"rps17",10,0.96879175320653,0.827615734245233,0.978946580018929,0.98845693563369
"8",57,92,53,282,514,321,0.202127659574468,0.178988326848249,0.165109034267913,0.494674884327375,0.423662650671091,0.2408756660369,0.606614394403753,TRUE,NA,"csnk1g1",10,0.956228185422633,0.85974759960816,0.967135584683882,0.98845693563369
"9",13,21,13,282,514,321,0.0460992907801418,0.0408560311284047,0.0404984423676012,0.926882970399962,0.726565927298484,0.735651753947195,0.979709291254855,TRUE,NA,"LOC111571203",10,0.994008325518245,0.927151650277382,0.978946580018929,0.995586315803177
"10",123,210,128,282,514,321,0.436170212765957,0.408560311284047,0.398753894080997,0.900256924955189,0.974575416004689,0.68310533706945,0.697161080856024,FALSE,NA,"neo1a",10,0.988947004593298,0.99135760735344,0.978946580018929,0.98845693563369
"11",3,6,6,282,514,321,0.0106382978723404,0.0116731517509728,0.0186915887850467,0.626181428392095,0.894959208568766,0.421849184805586,0.41139035209815,TRUE,NA,"LOC129349243",10,0.96879175320653,0.981287229146029,0.967135584683882,0.98845693563369
"12",38,60,49,282,514,321,0.134751773049645,0.116731517509728,0.152647975077882,0.629603699351236,0.657190663334258,0.633136071030564,0.336079881947081,FALSE,NA,"LOC111567962",10,0.969143745973122,0.923388024599185,0.967135584683882,0.98845693563369
"13",27,30,31,282,514,321,0.0957446808510638,0.0583657587548638,0.0965732087227414,0.0683914677440946,0.0526523406659566,0.972534743051669,0.0409729864037078,TRUE,NA,"bbs4",10,0.760741104941403,0.531446615926156,0.989545877196142,0.98845693563369
"14",16,19,12,282,514,321,0.0567375886524823,0.0369649805447471,0.0373831775700935,0.370985207904488,0.196403686892418,0.263061023441908,0.975196254826424,TRUE,NA,"scamp2l",10,0.946130644029703,0.736011878184017,0.967135584683882,0.993837437298819
"15",5,9,11,282,514,321,0.0177304964539007,0.0175097276264591,0.0342679127725857,0.245915554574428,0.981918556868586,0.215461149122976,0.13033136815961,TRUE,NA,"myo9aa",10,0.912735063388691,0.992469599285387,0.967135584683882,0.98845693563369
"16",4,4,3,282,514,321,0.0141843971631206,0.00778210116731518,0.00934579439252336,0.684463699990837,0.393437424274027,0.582656495608287,0.809750373530529,TRUE,NA,"senp8",10,0.98530130830112,0.84920889687679,0.967135584683882,0.98845693563369
"17",2,2,2,282,514,321,0.00709219858156028,0.00389105058365759,0.00623052959501558,0.818159901234404,0.547257433334503,0.896592945878154,0.636973563561837,TRUE,NA,"LOC111580711",10,0.988947004593298,0.908942674590179,0.978946580018929,0.98845693563369
"18",10,14,18,282,514,321,0.0354609929078014,0.0272373540856031,0.0560747663551402,0.144349791510066,0.513631272806448,0.247918150801302,0.0533185756329289,FALSE,NA,"anp32a",10,0.843001840490237,0.905535365323074,0.967135584683882,0.98845693563369
"19",67,111,86,282,514,321,0.23758865248227,0.215953307392996,0.26791277258567,0.261497755670637,0.50507078944369,0.405738099199712,0.101446269622414,FALSE,NA,"coro2ba",10,0.916638728634697,0.899217081466024,0.967135584683882,0.98845693563369
"20",2,5,8,282,514,321,0.00709219858156028,0.00972762645914397,0.0249221183800623,0.124152214479031,0.704434456659724,0.108724777108978,0.0960699411166354,TRUE,NA,"itga11a",10,0.831322972398066,0.926897256705249,0.967135584683882,0.98845693563369
"21",1,7,4,282,514,321,0.00354609929078014,0.0136186770428016,0.0124610591900312,0.445340688267377,0.205823364008205,0.258859560883123,0.886548573719022,TRUE,NA,"LOC111564416",10,0.950632301931213,0.749964805707212,0.967135584683882,0.98845693563369
"22",17,28,16,282,514,321,0.0602836879432624,0.0544747081712062,0.0498442367601246,0.853587227816422,0.734398566580277,0.574411957408237,0.770867739844425,TRUE,NA,"cpeb1b",10,0.988947004593298,0.932713983353995,0.967135584683882,0.98845693563369
"23",1,1,2,282,514,321,0.00354609929078014,0.00194552529182879,0.00623052959501558,0.628180417926008,0.670809215672201,0.644538487228832,0.340972729800965,TRUE,NA,"LOC111564421",10,0.96879175320653,0.923388024599185,0.967135584683882,0.98845693563369
