"","individual","Status","slc39a13","LOC111575115","cracd","LOC111564229","mtmr7b","sorcs3a","dusp7","LOC111568952","LOC111577053","tnfaip2a","LOC118469578","mrps21","macrod2","wdr5","reep3b","ppfia3","ppfia2","LOC111578553","slc22a17","ptgdsb.1","jph1a","pop7","ehbp1l1a","NC-072775.1-31346321-31347186"
"11","C14M","M",0.15732696625004,0.158407982463539,0.799321327192966,1.209677700459,0.0312200774637486,0.965065693528651,0.663795215946901,0.248040341811144,0.0783575025761196,0.0498757912122278,0.160686495259161,0.101051614418349,0.52923126369823,0.0821739861373758,0.223973177936337,0.0822384628729958,1.42654081418688,0.0866048497414121,0.160619009973506,0.0563730071304131,0.288064335204768,0.0235656877237217,0.355778528689134,0.100774515652376
"12","C15F","F",0,0.05428187366348,0.625362469932158,0.850687134650152,0.126853908944324,0.540737622741702,0.553420392194063,0.268356490961846,0.1742494658208,0.0392047189435981,0.297903524010618,0,0.656398944574496,0,0.419317722217533,0.0933244224111049,1.04887696415052,0.0129441604262287,0.149075183012521,1.01071826534021,0.388904633565085,0.0395738170357333,0.366887003700032,0.469522053292801
"13","C15M","M",0.045995164780139,0.210635922219473,0.648901203515242,1.10316734086513,0.0151732253958937,1.0905666937362,0.758540395421943,0.108255254082818,0.149043869104469,0.0165548810364306,0.131354319636334,0.0863844999065633,0.561187325547754,0.0786571498048596,0.244659992274552,0.145820722247741,1.39013527629326,0.0522607486387354,0.26261479608541,0.183154544696235,0.296481705285789,0,0.213996822881751,0
"14","C21D","D",0.0759767486590765,0.0589969163028778,0.557541989414532,1.08602948965496,0.0474490364708776,0.631911235243864,0.958530399447356,0.252381583429122,0.245441693454207,0,0.230022809511087,0.0209419077106017,0.883209953900027,0.0522440226591654,0.424143412886388,0.0995162511898902,1.72744738124401,0.0194186246773947,0.11327174822899,0.200841299065257,0.365649778350301,0.0103420895490561,0.48137786991673,0.0425025728100524
"15","D4F","F",0.0177564718436856,0.034008490367259,0.701886034819625,0.842946397849701,0.0396253124526657,0.680539827166956,0.821761305686721,0.305757936584347,0.207002461469699,0.134087440689911,0.492231515628769,0.0196809461241622,0.55867025936097,0,0.49001279023174,0.160995040386437,1.36889222346422,0.0604168781665154,0.178587274756298,0.290093035376671,0.447212121887224,0.0762834348452605,0.754802957603496,0.429262922460183
"16","D4M","M",0.0654138578968716,0.120400011230279,0.680733262616878,0.960398169134622,0.0299773268941517,0.667249857594081,0.684674599939265,0.463257417797649,0.123891184343479,0.0387500198857532,0.231053508971329,0.0650949734257117,0.587917203260648,0.0686347067119931,0.315304251007583,0.0784067140022417,1.75874245155198,0.0554062966022898,0.170326837193981,0.384060888369477,0.287189862611164,0.0283870843874301,0.302134865070761,0.0975770460532336
"17","T11D","E",0.0571596328436444,0.0450045242424171,0.568010457622046,0.647105288702744,0.0748971574840558,1.35266021400896,0.725991329179514,0.329914768695361,0.138420433572052,0.0472602624662122,0.368308983587433,0.0232493280604461,0.577309534180523,0.0399085740776829,0.420469690114621,0.101963180119221,1.21565695568081,0.0459270143081294,0.163590200822034,0.11414610211415,0.368023439310909,0.0199792001730199,0.481275861515656,0.189705920868048
"18","T13D","D",0.0619716561567376,0.0784603886699444,0.57402803204279,0.984859862753115,0,0.308046624820055,0.712042108661808,0.612807177746556,0.302243054106905,0.0356611468984475,0.362520856729766,0.066914013644379,0.681635546229099,0.0361564979265157,0.293368349502233,0.101838312636944,1.65244089670792,0.0381574125316776,0.0928950519317307,0.154304150303427,0.582822457979394,0.0282329940552721,0.578750433042334,0.228751164409649
"19","T14D","D",0.0435106165323081,0.0803518705423266,0.646570129187774,1.02319403941363,0,0.444517964254165,0.984066018411909,0.613594919306158,0.0394683741756676,0.0566738903285466,0.315887626796219,0,0.871384641094576,0,0.414496974988741,0.0405180067917053,1.81448782811617,0.0424829508340358,0.0947507974463045,0.263102687449262,0.499042164520802,0,0.685491426117721,0
"20","T17D","NF",0.0814375576301848,0.0851866938169395,0.624327931487107,1.10951305997082,0.0975549084614607,0.606106044019144,0.899569389237512,0.576282191302923,0.221439488494137,0.0534384894247242,0.242664058567234,0.0393698342501883,0.668311309407131,0.0478921843398357,0.314680897572675,0.107705672365199,1.51720166831647,0.0254194571364722,0.152406492681774,0.284388314384233,0.317837776500755,0.0127656484698703,0.591761300355594,0.118825310733071
"21","T19D","D",0.0512656891213244,0.147853192263553,0.71978609229543,1.21816271536338,0.0443836479442241,0.744487074126282,0.70531701816374,0.422781867423417,0.233065115459998,0.0603843472862115,0.120770420438991,0,0.842884205154107,0,0.166042104473265,0,1.65456176082523,0.0158535052870463,0.0642550825007638,0.132853787095636,0.451312027282358,0,0.250433765469656,0.133725944188569
"22","T5D","D",0,0.150867628584801,0.608693157945125,1.23160335266671,0.0931089737463106,0.580006742923119,0.942472085287637,0.274734723549719,0.191933902681029,0.0382440989860992,0.353517589989853,0.0259145958970601,0.391710347095924,0.0203728638283057,0.329004660455037,0.025797089909419,1.39038699608894,0,0.137607632050809,0.0926963443013091,0.55249125836739,0.025797089909419,0.469149405041288,0.260556267568387
