"","individual","Status","slc39a13","LOC111575115","cracd","LOC111564229","mtmr7b","sorcs3a","dusp7","LOC111568952","LOC111577053","tnfaip2a","LOC118469578","mrps21","macrod2","wdr5","reep3b","ppfia3","ppfia2","LOC111578553","slc22a17","ptgdsb.1","jph1a","pop7","ehbp1l1a","NC-072775.1-31346321-31347186"
"1","A12D","E",0.0391881469800303,0.108889568405275,0.366404926606971,0.723852025242386,0.0587337091569757,0.824781026684062,0.51214817216922,0.247035966271468,0.0827660177576237,0.0798804227113242,0.135713576044478,0.0250322012536847,0.476714888339644,0.0307232132427716,0.262318030526967,0.0920265364902922,1.19021917249956,0.0451306281788127,0.113300661018707,0.0669169208310692,0.408180329348157,0.014845465430622,0.195652788136581,0.314065527511504
"2","A22D","D",0.0231579082142339,0.0855918916892965,0.707124613863373,1.0415071842528,0.0374312916736863,0.770985816603097,0.877443564224604,0.420839979896654,0.354288978172483,0.0373527865244906,0.255514475341157,0.0192686261231589,0.829474534610534,0.0991583659612229,0.506083924102932,0.167121446420712,1.28763716244453,0.0284349414611932,0.154055863074981,0.275791664308356,0.480316523242995,0.0171222267076786,0.411241246303606,0.467912112710701
"3","A25D","D",0.0558565635272449,0.0323607744752123,0.451890973327171,1.1084034226157,0.0682779684454035,0.580784296214703,0.745409460871095,0.382455261274832,0.207247746796957,0.0159470309407365,0.121444677576354,0.0159586361188705,0.648938937319225,0.0210468441491368,0.351518417293126,0.0765682049288968,1.63606384441784,0,0.0564213078171782,0.160596033561537,0.343754824080533,0,0.429044250826227,0.153468464430907
"4","B21F","F",0,0.106881567480168,0.640603029508191,0.840668641633052,0.117396906286853,0.439276308290995,0.369245320881562,0.178093811686982,0.331605725148935,0.0264342787113123,0.363618189742357,0.0186845335766438,0.598197312788053,0.0474234539668524,0.343395145782078,0.125071817023194,1.27963314853149,0.0289868808322826,0.121869682063225,0.142808811976718,0.291824580126596,0.0448807903142211,0.550882856377666,0.230577799627031
"5","B21M","M",0.162192706277273,0.20260278624737,0.97501261760923,1.16093613144204,0.0320548869711691,0.513619300801178,0.99305654964546,0.572218703602512,0.195833304249337,0,0.229878095794065,0.0320180171149171,0.401146910476439,0.0679890224668001,0.418341967795558,0.147793980056079,1.80786211121901,0.22166110447235,0.142563717118172,0.0697173882573264,0.307562479583624,0,0.391144783984287,0.0993040938672512
"6","B23F","F",0.0951492510678571,0.0229971462324604,0.750741356991987,0.856311446686566,0,0.819982627760089,0.543482763902494,0.123084562257971,0.0653475850987306,0.0577991388366876,0.321987412051192,0.0334246116295802,0.711246429108585,0.03797369566885,0.521308776887541,0.213112995833172,1.22924556146223,0.0336722878330771,0.187061837751821,0.450088891435637,0.336359939791818,0,0.539726363897352,0.21590529743808
"7","B23M","M",0.178493014742385,0.18418661392287,0.687085053712364,1.14960280197158,0.0174116067726863,1.20444691422684,0.817997856419871,0.534940183324668,0.0978230254292566,0.0213511567298381,0.300401239848333,0.0551986931587056,0.538026170897523,0.143661964074199,0.491496205948697,0.152939662903187,1.63953974567925,0.0278456872013276,0.196490512767564,0.122268159346044,0.308190034398342,0.0207935872459163,0.383441583102311,0.0466123621013021
"8","C13F","F",0.0255463002898429,0.0500798472290089,0.497413567939838,0.592249559458917,0.0668171067261183,0.381111872744045,0.472735508244556,0.136915383460565,0.14497745893442,0.0405323506840058,0.322946328010558,0.00717077871754708,0.57904828884382,0.0277153532773374,0.361699356148482,0.131530203727829,1.08325225792409,0.0150071996355018,0.0649044032393571,0.167698851887339,0.365601044562073,0.0603971016561044,0.321789876943672,0.351496955392916
"9","C13M","M",0.141169031048111,0.0862993268176797,0.666553962287412,0.966823760943943,0.0168387339869703,0.802517336531575,0.572540534979405,0.53954518950691,0.102358151141675,0.0283919958578733,0.134023742915902,0.0788827849323628,0.376578091404222,0.12478022705551,0.241056447338528,0.0217515454007599,1.39455334429626,0.0239649616109288,0.217507852282629,0.0294535772333579,0.147257145540968,0,0.215963130058971,0
"10","C14F","F",0.0673551997427194,0.0409181466646939,0.530960363420838,0.85558770071011,0.122052868230867,0.30800326106056,0.471300624646229,0.0753922729628157,0.302354338581214,0.149646510227436,0.34178495576974,0.00716702380013373,0.55501260487934,0.0217515549876807,0.60134121837761,0.0824360971926965,1.24474180505617,0.0206840098011703,0.127446008952767,0.464858577773414,0.525331447122187,0.0237218810297825,0.503517068555278,0.266876563269673
