"","individual","Status","zcchc14","lrp1bb","spock1","gria1a","hectd2","nfixb","LOC129348253"
"1","A12D","E",0,1.52247720262847,0.549521750732228,0.509726777174113,0.0563635473908866,0.178524013162819,0.180715194505247
"2","A22D","D",0,1.6559379002773,0.817798061020785,0.647990183856128,0,0.120012624539198,0.0802072137266873
"3","A25D","D",0,1.63076465440025,0.534936225665318,0.603259918506338,0,0,0.06297051527972
"4","B21F","F",0.0312102839254933,1.29397790784548,0.645872983244741,0.701151276834221,0.157385252332046,0.233096999860506,0.217099495006744
"5","B21M","M",0.126377948380822,1.05522573323996,0.625758496519637,0.598941270693086,0,0,0.0986495493533651
"6","B23F","F",0.15253226740218,1.28528943580707,0.73976260005135,0.577926045275192,0.180503368788228,0.125602844246895,0.217211727974959
"7","B23M","M",0.256090226483413,1.34003180944825,0.666949641842541,1.00630176289404,0.0449194260305009,0.127839284715698,0.100944498859026
"8","C13F","F",0.106157042346585,1.05052206103435,0.725110491743386,0.225142407294943,0.0460225763183301,0.18452529226048,0.181491378123476
"9","C13M","M",0.179702530227006,0.657471269401177,0.456370380917044,0.758948420264944,0,0.0279229946942819,0.0560762484552742
"10","C14F","F",0.0531037360413015,0.990277970459496,0.957119923088453,0.588832648578942,0.0229269050160161,0.214621436413876,0.29194500263999
"11","C14M","M",0.214556589440528,0.851510269709814,0.403247578672303,1.15093197823637,0,0.104526447152469,0
"12","C15F","F",0.0478383908582378,1.31578938479983,0.994481302991773,0.525284168467971,0.158697780393365,0.175322922804042,0.0939698329138855
"13","C15M","M",0.0877260460549042,0.864210076416774,0.463898304609639,0.716127337996382,0.0422383745307144,0.0422383745307144,0.065535245320042
"14","C21D","D",0.127065986817392,1.21556668638464,0.580138668363772,0.710512780164751,0,0.11451429821632,0.0363765233436767
"15","D4F","F",0.0416412025344462,1.47294226826349,1.0670811151436,0.638033605050585,0.143317618296592,0.162917919140306,0.0649547255714295
"16","D4M","M",0.0869141021359187,1.14201659646254,0.48625884824654,0.561860877104963,0.0350735905631662,0.130456186087999,0.0462795137343207
"17","T11D","E",0.0511485911086717,1.15273426537453,0.610469690597761,0.90490611364033,0.0916959729075063,0.166821159611444,0.0264086907110473
"18","T13D","D",0.0603914192859561,1.76444234030067,0.908221475065224,0.569833762475997,0,0.136224726702027,0
"19","T14D","D",0.144103112712836,1.6925295538046,0.614685078631795,0.91066710805346,0.107213425043425,0.165680277572006,0.142462052812583
"20","T17D","NF",0.0524587231165901,1.25373013344838,0.62223123345565,0.673871431276999,0,0.0983390390053251,0.0631938765290243
"21","T19D","D",0.0819266480296646,1.40412465269303,0.2402960966015,0.299556677061666,0,0.097376095194498,0
"22","T5D","D",0,1.11637330684233,0.760035318215636,0.687192968470398,0,0.0576705770824588,0
