"","individual","Status","rgma","grm8b","tubb2b","epn1a","LOC111562384","LOC111584347"
"1","A12D","E",0.179986985429599,0.213835217699237,0.193484055431044,0.166564649522172,0.169110722069196,0.160534080846161
"2","A22D","D",0.526435357339197,0.303059014114581,0.642264278017592,0.553895838970437,0.0579454326325397,0
"3","A25D","D",0.359351032250906,0.474543429080754,0.874308474951126,0.425914825662162,0,0.0732473899469255
"4","B21F","F",0.426960777780031,0.466250014092212,0.731440851588454,0,0.17808333198986,0.0911610882734145
"5","B21M","M",0.287425349661943,0.238194090578111,0.233618230928414,0,0,0
"6","B23F","F",0.297332538655392,0.742689302532846,0.62815925681799,0.10055841167717,0.138814593632238,0.0821741568729216
"7","B23M","M",0.302981947748096,0.0504714014734679,0.394934696303016,0.398792902226971,0,0.132234782099668
"8","C13F","F",0.382067085494026,0.586674090540322,0.382649240946917,0.197148950329364,0.0561350918239979,0.158294903138472
"9","C13M","M",0.164808509994397,0.261325801940137,0.374819243545952,0.316059256464761,0.0851969953390728,0.018303932834286
"10","C14F","F",0.393018755737225,0.631356111721945,0.786010991336522,0.157324931574915,0.126050572792971,0.147373802592828
"11","C14M","M",0.138446691387365,0.356830584744105,0.28159381346406,0.3193280899046,0.0830153516842481,0.0734789154949533
"12","C15F","F",0.552595422476482,0.770486613258905,0.545005854382964,0.0679541108867421,0.220114040106817,0.138216851887426
"13","C15M","M",0,0.225571526522565,0.299063248332819,0.0941845403513299,0,0.131190768156898
"14","C21D","D",0.269812824037016,0.355203866557078,1.07170793298554,0.615118272334979,0,0
"15","D4F","F",0.448110927091531,0.377903462200197,0.822564832391639,0.0931303757507159,0.113528542070779,0.0798760060027098
"16","D4M","M",0.173779131656673,0.164698629257635,0.357390048508118,0.375268319448017,0.0341066800320905,0.119545855755338
"17","T11D","E",0.304198787435089,0.326641005336567,0.657111764368524,0.374445183198276,0.0472357023202204,0
"18","T13D","D",0.210202702319968,0.179642482092553,0.758023586769807,0.28076429408141,0.0564622896696866,0.0740788944045085
"19","T14D","D",0,0,0.972571567772745,0,0,0
"20","T17D","NF",0.313749570652813,0.338359759573149,0.910712879935527,0.461458303655027,0.182993349242412,0.131113551702814
"21","T19D","D",0.523537519200469,0.198834713805176,1.14321217000835,0.638060236969511,0.0691510932604892,0.076583253558147
"22","T5D","D",0.41696094731089,0.478030628839492,0.604269714430362,0.427978542270627,0.146077621384186,0.0819354346814995
