"","individual","Status","fam189a2","igsf11","ppiab","LOC111581796","adam19a","si:ch211-200p22.4","LOC111562780"
"1","A12D","E",0.207076018384888,0.0165792682625012,0.410381702442393,0.226925984920645,0.673741586369669,0.640973385346262,0.127696871839206
"2","A22D","D",0.129551999815438,0.0613955495003046,0.693576327123698,0.539463248015741,1.31341088715271,0.830257096397123,0.130246881914452
"3","A25D","D",0.312610165048814,0.0642755514507293,0.644607662539187,0.622436493615763,1.27550021470356,0.983094581552785,0.173361822412389
"4","B21F","F",0.204610820971316,0,0.535749709093076,0.304553310869014,0.897572706632979,0.508240024900951,0.32766022418606
"5","B21M","M",0.0717961793659157,0.0678074203829114,0.255114882793723,0.332164669298947,1.37968428819216,0.739843176148871,0.244283781387344
"6","B23F","F",0.330774092114131,0.0577357187169002,0.373524533997342,0.398224055613621,1.1126749958527,0.710880463746195,0
"7","B23M","M",0.0621688884815882,0.100112891630835,0.403495970988532,0.60339960705498,1.60514365710669,0.928455626025071,0.0925049045071448
"8","C13F","F",0.227991968332905,0.0101605860186004,0.413388214824335,0.252036226555396,0.806251126969647,0.546856396740057,0.117943685721153
"9","C13M","M",0.103982529662659,0.0738059350822984,0.417957484239938,0.417943193701821,1.39756436187138,0.8821032164546,0.0236874600114903
"10","C14F","F",0.178375880218645,0.0421584357808117,0.631361146743104,0.409537662368465,0.913788097689261,0.421380256094415,0.155702046120444
"11","C14M","M",0.061540046225483,0.0157073998964826,0.215755224075872,0.543729389438723,1.41722273091154,0.850096081169609,0.0247021461504068
"12","C15F","F",0.202026483751651,0,0.529012469368455,0.367161851334314,1.06754075210081,0.589296958689554,0.280440439291276
"13","C15M","M",0,0,0.372449976197518,0.153761832539982,0.652464876491499,0.837010601645877,0
"14","C21D","D",0.0941673675986289,0.239073221337423,1.04112268442636,0.20944551477881,1.50139918963077,1.21693238278198,0.26586800432371
"15","D4F","F",0.112555454276396,0.0766750505133108,0.765597621995231,0.219762582875239,0.916048591116291,0.765782997824834,0.222422953504702
"16","D4M","M",0.0881356097211648,0.13677059848703,0.489897047991652,0.497659224725283,1.36964215940631,0.900198592480577,0.0396594557474593
"17","T11D","E",0.184873007534866,0.055418618781044,0.483643959117083,0.479410552462219,1.02022235188584,0.341142265443702,0.225681756210269
"18","T13D","D",0.267342128277031,0.143921546769123,1.05505391263676,0.791503424462777,1.28039506877898,0.626906815743823,0
"19","T14D","D",0,1.18012819735336,0,0,0,1.70648891496058,0
"20","T17D","NF",0.223794129260914,0.0820938394978316,0.273595757264048,0.511409923730935,1.32663680791851,1.04235458553837,0.13281362683426
"21","T19D","D",0.130747535771505,0.155911941086767,0.603125622046887,0.614428789858137,1.47290332406341,0.967364795192763,0.0268793727621329
"22","T5D","D",0.202337600670681,0.130559407058314,0.859211426154047,0.54146310742251,1.15042455751737,0.728809020630613,0.0322883265892612
