"","individual","Status","b4galnt4a","cpne2","ppp1r16b","LOC111579927","atp1b4","rtn4rl2b","etv6","NC-072773.1-32782502-32783925"
"1","A12D","E",0.147313359407082,0.143138187357292,0.490348631358114,0,0,0,0.260909199874429,0.484626196536718
"2","A22D","D",0.710306419329384,0.532417499819924,1.15093423385588,0.213677298092966,0.128724299095551,0,0.521885498892895,0.420630898411702
"3","A25D","D",0.261847993719192,0.382407654840821,1.57103034692703,0.148021808145366,0.104372631043211,0,0.0658040335184759,0.588597106660846
"4","B21F","F",0,0,0.305089393364556,0,0.318500110544855,0.37266387654694,0.546207781951288,0.388960230559197
"5","B21M","M",0,0.227259328257625,0.868858724256219,0.267414421194087,0,0.234277937203939,0.542150329164528,0.783358234546534
"6","B23F","F",0.20180606229767,0.301629897744889,0.34884061434768,0.199929259196682,0.0616952056034844,0.223808347401511,0.886625870058905,0.0997447506201856
"7","B23M","M",0.160576187657784,0.267588907926092,0.542362085655422,0.107819173848179,0.440744162600743,0,0.301049447533105,0.571805612971431
"8","C13F","F",0,0,0.424447642240375,0.0831341247329952,0.0691185437593889,0.187743336882783,0.64420615454419,0.127076918792101
"9","C13M","M",0.422211475381192,0.338038240160051,0.790589112393608,0.486262534000777,0.183572291413332,0,0.326314954423485,0.321576313665758
"10","C14F","F",0.20887135638331,0.455035393963525,0.321842811489146,0.174143029588842,0.3918286209373,0,1.17299909933496,0.256201916804864
"11","C14M","M",0.581939389810522,0.523477267362015,1.31563766644065,0.450305554357876,0.265073077191169,0,0.276596409159498,0.878491204461568
"12","C15F","F",0.358973047383219,0,0.680060112615922,0.320894544631005,0.300123238159904,0,0.646798749719822,0
"13","C15M","M",0.581500980644782,0.640970052816231,1.39676731958327,0.340917181986318,0.562581607564449,0,0.228697988098588,1.20682277159921
"14","C21D","D",0.834705507318313,0.120433157013775,1.71903111170125,0.151346148901748,0.34393821701604,0,0.279766528302407,0.39554033289589
"15","D4F","F",0.258155574114456,0.0951861816441098,0.712860288742912,0.0645058921033269,0.130357350930458,0.128446918402556,0.22836948117173,0
"16","D4M","M",0.428737575849002,0.547233908912927,1.0746060123666,0.517674729370674,0.340998973896879,0.170856261465827,0.34085666618886,0.251792429612017
"17","T11D","E",0.141322930660092,0.212694817590473,1.75350903246597,0.0961872197784037,0.256430426316716,0.141619348669691,0.648945389373099,0.81674595079879
"18","T13D","D",0.595559893841122,0.626941839541124,0.991317208086055,0.358694516650689,0.0884793180637987,0,0.396222312784142,0.746506303881105
"19","T14D","D",0.0905566380733956,0.0858773668079634,1.27073086521565,0.119066002283626,0,0.0806290718955478,0.218033900329917,0.26952556640988
"20","T17D","NF",0.678050100196891,0.564098792606808,0.757228392000677,0.312645472310605,0.329738002265739,0,0.244804799875333,0.429550429692252
"21","T19D","D",0.598423285396338,0.348289402051475,1.0011827008528,0.210451338259963,0.151418116641997,0,0.444224067986372,0.41912963990132
"22","T5D","D",0.627228581471871,0.596621671486822,1.31311069871299,0,0.350265204158918,0,0.493061140420805,0.430618029508072
