"","individual","Status","cabp1a","LOC111569679","esr2b"
"1","A12D","E",0.0634235272672135,1.8953994350844,0.115000006465107
"2","A22D","D",0.0614844941743172,1.94547077531403,0.0527193774133315
"3","A25D","D",0.0319398045536292,2.67394117615078,0.0695614139943818
"4","B21F","F",0.0883971186763401,1.52729958308276,0.292005055817824
"5","B21M","M",0,1.94671129314814,0.0396614852093352
"6","B23F","F",0.0866038367985737,1.36849151671468,0.104327548531295
"7","B23M","M",0,1.28669234818528,0.112147082015195
"8","C13F","F",0.130846162169352,1.44732512006555,0.148806277980984
"9","C13M","M",0.0167831355705139,1.81649976716196,0.0184565888317759
"10","C14F","F",0.08094416919441,1.3305978316462,0.30033396998399
"11","C14M","M",0,1.60243802766468,0.10083060500302
"12","C15F","F",0.205147169963164,1.59152247220718,0.178269055650074
"13","C15M","M",0.0444701535627478,1.84583669570523,0.101600922174855
"14","C21D","D",0.0201772169776721,2.1203110575792,0.162504229033168
"15","D4F","F",0.0872236846600072,1.51570731797039,0.0944773717512027
"16","D4M","M",0.0448974081078116,1.94295957640835,0.125127612969565
"17","T11D","E",0.0792254676920289,1.36926115353905,0.32964759374912
"18","T13D","D",0.043884355783686,2.2531184554938,0.205210295087437
"19","T14D","D",0.0670111087770681,1.88294756749252,0.181976793584209
"20","T17D","NF",0,2.32423616520097,0.0957009684495075
"21","T19D","D",0.0289906588372653,1.96507390847308,0.055455733846935
"22","T5D","D",0.0124735456428234,1.8112859570288,0.153482003543936
