"","individual","Status","gnrhr4","LOC111583687","drd2a","htr2cl1","LOC111573844"
"1","A12D","E",0.0612026761752543,0,0.22370723282692,0.470936203893,0
"2","A22D","D",0.0215458624396297,0.0341782238680209,0.328486526347414,0.420523813111945,0.0577523680548463
"3","A25D","D",0.115491187658021,0,0.1502790371255,0.702544397373924,0
"4","B21F","F",0.221136770120973,0.0887627029266387,0.838146541448604,0.712116357236845,0.0706447534491689
"5","B21M","M",0,0.148829153510967,0.188061511815136,1.18936381631621,0.175867579380309
"6","B23F","F",0.358990935913761,0.0356123873300059,0.44621211690948,0.849596049830776,0.0943415444665073
"7","B23M","M",0.182787786669719,0.0880735580988779,0.109811566077351,1.16988137799555,0.52206940759258
"8","C13F","F",0.102827669092361,0,0.680258607049399,0.815400577753618,0.123526312449761
"9","C13M","M",0.0435801893801353,0.13388563637136,0.276627429649841,0.775019982651653,0.396500769472207
"10","C14F","F",0,0,0.827131440168731,0,0
"11","C14M","M",0.0430717096781447,0.0842887149601898,0.354578551321307,0.755185345843496,0.298752330366996
"12","C15F","F",0.168245398003902,0.069273496393551,1.0212106674704,0.999330141519019,0
"13","C15M","M",0.0603535562374902,0.177794964521212,0.29461871953784,1.05945984168068,0.218010595708531
"14","C21D","D",0,0,0.217590757214402,0.425901020711311,0.0261382643531245
"15","D4F","F",0.188638232788955,0,0.492799043971035,0.488302841148561,0.117136388048548
"16","D4M","M",0,0.455494971451522,0.211420401278301,1.38591494793404,0.127628269202251
"17","T11D","E",0.189343761781759,0,0,1.54518815400669,0
"18","T13D","D",0,0,0.293963319110087,0.625862738127796,0.0432585435370046
"19","T14D","D",0.0488972625002952,0,0.613217562611639,0.367352024245028,0.0488972625002952
"20","T17D","NF",0.163736613706174,0,0.423127517869589,0.702197350521085,0.195416894329531
"21","T19D","D",0.0776717089149594,0.0492874133061681,0.209776502011371,0.655883756479912,0.257451615030945
"22","T5D","D",0,0,0.532151763095996,0.905160375234469,0.507920539550161
