gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.0	0.065	0.376	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.0	0.0	0.088	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.0	0.091	0.0	0.0
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.055	0.0	0.09	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.184	0.153	0.178	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.492	0.443	0.479	0.911
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.492	0.443	0.479	0.911
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.08	0.143	0.116	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.08	0.143	0.116	0.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.086	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.064	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.064	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.064	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.064	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.064	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.064	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.064	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.064	0.0	0.0	0.0
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS0D81115C8	DHCR24	0.089	0.0	0.0	0.0
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS03D61E885	DHCR24	0.089	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.184	0.153	0.178	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.184	0.153	0.178	0.0
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0B87D36A1	CYP19A1	0.44	0.351	0.149	0.0
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	HDC	0.0	0.086	0.0	0.0
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS045AC7D7C	HDC	0.0	0.086	0.0	0.0
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.0	0.166	0.0	0.0
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS0C9671CB6	PTGES3	0.195	0.165	0.074	0.0
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS036B95798	PTGES3	0.195	0.165	0.074	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS03C4A5CCC	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS08B8EB95C	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0DF5F733F	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS029E9BA69	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS07508694A	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS008E4E6F9	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS062F16E86	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0AB91708D	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0E5E6A50E	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0682222D2	DDC	0.0	0.036	0.09	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0EA8C2964	DDC	0.0	0.036	0.09	0.0
HSD17B12	Q53GQ0	True	DHB12_HUMAN	Testosterone_byHSD17B12	CPI-CS0BE6576AD	HSD17B12	0.431	0.467	0.276	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS0F0B490F5	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS00BD98DE0	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS074DE2005	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS0DA387E54	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS09068835B	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS03FD72BE3	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS05EB7549F	TPH2	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS0F0B490F5	SLC18A1	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS00BD98DE0	SLC18A1	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS074DE2005	SLC18A1	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS0DA387E54	SLC18A1	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS09068835B	SLC18A1	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS03FD72BE3	SLC18A1	0.0	0.066	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	5-HT_byTPH2_and_SLC18A1	CPI-CS05EB7549F	SLC18A1	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS01C80FFD5	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0F3B46E17	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS08A9A272D	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0C605AFB6	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0233F2354	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS031EF306F	TPH2	0.0	0.066	0.0	0.0
TPH2	Q8IWU9	True	TPH2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0778BF832	TPH2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS01C80FFD5	SLC18A2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0F3B46E17	SLC18A2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS08A9A272D	SLC18A2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0C605AFB6	SLC18A2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0233F2354	SLC18A2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS031EF306F	SLC18A2	0.0	0.066	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH2_and_SLC18A2	CPI-CS0778BF832	SLC18A2	0.0	0.066	0.0	0.0
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS005209739	POMC	0.0	0.104	0.088	0.0
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS040CDD259	POMC	0.0	0.104	0.088	0.0
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS0FFD6263C	POMC	0.0	0.104	0.088	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A1	CPI-CS05C6641C3	DDC	0.0	0.036	0.09	0.0
