"","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster"
"1","LOC129348986",0.0735456540710411,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"2","trip4",0.01920826247514,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"3","chrna7a",0.99999996503039,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,"11_0"
"4","cln6a",0.739721832532671,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"5","LOC118470268",0.965000837390142,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"6","LOC111568352",0.728268126680563,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"7","rxfp3.3a2",0.999999999953394,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"8","rps17",0.945655186317294,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"9","LOC129347713",0.997847372721002,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"10","csnk1g1",0.366741901199726,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"11","LOC111571203",0.527093981121312,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"12","neo1a",0.490187245457948,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"13","LOC129349243",0.966122690094674,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"14","LOC111567962",0.572301934633347,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"15","bbs4",0.721942061892793,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"16","scamp2l",0.729275247661987,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"17","LOC129347348",0.999999999311365,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"18","myo9aa",0.36495775809761,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"19","senp8",0.999999098063473,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"20","LOC111580711",0.0256105546524225,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"21","anp32a",0.945668075051171,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"22","coro2ba",0.297740010751575,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"23","itga11a",0.849248989703283,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"24","LOC111588606",0.816434603453594,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"25","LOC111564424",0.99999934552733,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"26","LOC129349160",0.965652233896913,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"27","LOC111564416",0.410083823940099,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"28","LOC111564421",0.967180708275677,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"29","LOC111564418",0.389358275593868,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"30","LOC111564417",0.646926520602131,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"31","LOC111564410",0.166398982167417,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"32","LOC111564425",0.999999999859671,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"33","cars1",0.342535263210083,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"34","pex16",0.870243342763866,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"35","arfgap2",0.817060903282562,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"36","glceb",0.553589572442872,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"37","LOC111564414",0.997892264254088,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"38","tle3b",0.255765393103858,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"39","LOC129348677",0.576386363630525,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"40","uacab",0.9999980509414,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,"11_0"
"41","LOC111564639",0.0495773031003433,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"42","pias1a",0.453913567305175,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"43","skor1a",0.925466093089463,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"44","map2k5",0.245916740956676,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"45","smad3a",0.120751151950014,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"46","smad6a",0.345394401206064,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"47","tmem208",0.776429258771945,NA,FALSE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"48","slc39a1",0.222771433742752,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"49","LOC111565738",0.849691767528029,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"50","LOC111565745",0.426399723282901,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"51","mibp2",0.600425144383285,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"52","bloc1s6",0.0813918258654673,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
"53","slc30a4",0.18993458672807,NA,TRUE,"0.999999999962733",NA,NA,NA,NA,NA,NA,"11_0"
