"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",131,158,148,235,316,332,0.557446808510638,0.5,0.44578313253012,0.177641272579828,0.551763917338063,0.0687253417819351,0.238793144052449,FALSE,NA,"LOC129348986",17,0.728230016425141,0.923065091031048,0.452378099907018,0.992944947305542
"2",81,83,92,235,316,332,0.34468085106383,0.262658227848101,0.27710843373494,0.119247436156675,0.0506432703323266,0.0952229587017772,0.681445902030333,FALSE,NA,"trip4",17,0.669927620553119,0.580864153886912,0.484466670615051,0.992944947305542
"3",2,5,5,235,316,332,0.00851063829787234,0.0158227848101266,0.0150602409638554,0.738880037390581,0.455631642204635,0.492402159655245,0.937266004699116,TRUE,NA,"chrna7a",17,0.946795958916945,0.874637805529488,0.802823601254994,0.992944947305542
"4",34,25,40,235,316,332,0.14468085106383,0.0791139240506329,0.120481927710843,0.261206257885073,0.130944327909041,0.819068466251545,0.174756370447386,FALSE,NA,"cln6a",17,0.781885402984815,0.712711270476353,0.92398173307694,0.992944947305542
"5",5,13,15,235,316,332,0.0212765957446809,0.0411392405063291,0.0451807228915663,0.319445931117593,0.202504143680029,0.137429250024963,0.800406238661296,TRUE,NA,"LOC118470268",17,0.805282928476973,0.795026478305834,0.544858421492457,0.992944947305542
"6",3,2,1,235,316,332,0.0127659574468085,0.00632911392405063,0.00301204819277108,0.420714603466567,0.439970824393142,0.209207391439431,0.543355564644674,TRUE,NA,"calml4a",17,0.860032321130788,0.868622982070866,0.619639333336972,0.992944947305542
"7",13,20,17,235,316,332,0.0553191489361702,0.0632911392405063,0.0512048192771084,0.797860922542378,0.696720413358395,0.829340462936624,0.508216924848237,TRUE,NA,"LOC111568352",17,0.967332165980209,0.961226850994142,0.927239197723683,0.992944947305542
"8",7,9,10,235,316,332,0.0297872340425532,0.0284810126582278,0.0301204819277108,0.99176633671864,0.928047154741476,0.981712429267151,0.901603198965991,TRUE,NA,"rxfp3.3a2",17,0.997046550292529,0.981139221774724,0.991463355689274,0.992944947305542
"9",25,32,16,235,316,332,0.106382978723404,0.10126582278481,0.0481927710843374,0,0,0,0,FALSE,"Model failed to converge with max|grad| = 0.012040","rps17",17,0,0,0,0
"10",3,1,1,235,316,332,0.0127659574468085,0.00316455696202532,0.00301204819277108,0.295921647216643,0.225172641679928,0.20920766221758,0.972095699569708,TRUE,NA,"LOC129347713",17,0.796882378668157,0.801938577484624,0.619639333336972,0.992944947305542
"11",87,102,82,235,316,332,0.370212765957447,0.322784810126582,0.246987951807229,0.378886711127294,0.654880167670952,0.169451496238065,0.381415139496863,FALSE,NA,"csnk1g1",17,0.838060011259791,0.961226850994142,0.581839690685189,0.992944947305542
"12",22,23,23,235,316,332,0.0936170212765957,0.0727848101265823,0.0692771084337349,0.531917504308795,0.378343292494528,0.292528767575496,0.862036871163653,TRUE,NA,"LOC111571203",17,0.895214960920451,0.868622982070866,0.68430252330696,0.992944947305542
"13",136,153,168,235,316,332,0.578723404255319,0.484177215189873,0.506024096385542,0.198673412344136,0.100790110483454,0.133450737979605,0.854636143975938,FALSE,NA,"neo1a",17,0.740714467514573,0.688513787057798,0.544858421492457,0.992944947305542
"14",3,6,2,235,316,332,0.0127659574468085,0.0189873417721519,0.00602409638554217,0.362464098694402,0.571312766174698,0.408510240347021,0.15693216387677,TRUE,NA,"LOC129349243",17,0.830400073669938,0.932478653550743,0.73931407096405,0.992944947305542
"15",56,59,62,235,316,332,0.238297872340426,0.186708860759494,0.186746987951807,0.474554600520678,0.619150186839135,0.223304622613533,0.503300749620945,FALSE,NA,"LOC111567962",17,0.874976525891605,0.956482366728585,0.629956057347551,0.992944947305542
"16",64,54,65,235,316,332,0.272340425531915,0.170886075949367,0.19578313253012,0.0863932317743809,0.0530222106541158,0.0594863637524446,0.659151086305848,FALSE,NA,"bbs4",17,0.619714299529951,0.582098454096658,0.424364184130382,0.992944947305542
"17",21,27,29,235,316,332,0.0893617021276596,0.0854430379746835,0.0873493975903614,0.98701458664043,0.871851597825382,0.933658083375233,0.931207212068507,TRUE,NA,"scamp2l",17,0.997046550292529,0.973602471656129,0.975198902904231,0.992944947305542
"18",3,3,6,235,316,332,0.0127659574468085,0.00949367088607595,0.0180722891566265,0.64375902272951,0.715318884208691,0.620207276827571,0.359151395608227,TRUE,NA,"LOC129347348",17,0.924638166523268,0.961226850994142,0.875065461579343,0.992944947305542
"19",29,35,27,235,316,332,0.123404255319149,0.110759493670886,0.0813253012048193,0.232195192573196,0.646986123979326,0.100241254292587,0.20456409990289,TRUE,NA,"myo9aa",17,0.760123673642087,0.960664450906572,0.495128828529918,0.992944947305542
"20",8,5,8,235,316,332,0.0340425531914894,0.0158227848101266,0.0240963855421687,0.393726238738481,0.173561239527398,0.483203893331935,0.456019922790058,TRUE,NA,"senp8",17,0.846751506250989,0.74667385501193,0.797757682360584,0.992944947305542
"21",21,26,32,235,316,332,0.0893617021276596,0.0822784810126582,0.0963855421686747,0.820804927058051,0.768520300316219,0.777192803129277,0.529886987960372,TRUE,NA,"LOC111580711",17,0.971873184944137,0.961226850994142,0.92079916428925,0.992944947305542
"22",10,15,22,235,316,332,0.0425531914893617,0.0474683544303797,0.0662650602409639,0.399210414396011,0.78405055204093,0.231719815791432,0.304769067360455,TRUE,NA,"anp32a",17,0.85069071562211,0.961226850994142,0.629956057347551,0.992944947305542
"23",91,100,109,235,316,332,0.387234042553191,0.316455696202532,0.328313253012048,0.279474490756874,0.13446640628911,0.196553408174787,0.787053952035693,FALSE,NA,"coro2ba",17,0.795782257135431,0.720420209341849,0.613598013899837,0.992944947305542
"24",8,6,15,235,316,332,0.0340425531914894,0.0189873417721519,0.0451807228915663,0,0,4.61647359132661e-139,0,FALSE,"Model failed to converge with max|grad| = 0.006435","itga11a",17,0,0,6.24117445846768e-137,0
