"","gene","estimate","p.value","warning","singular","q.value","cluster"
"10835","LOC129350179",-3.25698286649222,0.305910215279202,NA,TRUE,"0.971342189386492",20
"10836","hmgn3",-0.21036126182804,0.445699318248064,NA,FALSE,"0.971342189386492",20
"10837","phip",-0.0561316150582861,0.692230780390756,NA,TRUE,"0.989111372187956",20
"10838","si:dkey-261l7.2",0.232945577381186,2.95293478444617e-250,"Model failed to converge with max|grad| = 0.010272",FALSE,"NA",20
"10839","LOC129350261",-10.1349012928392,0.460430026274278,NA,TRUE,"0.971342189386492",20
"10840","selenoi",0.147437093719836,0.69456661997697,NA,FALSE,"0.989111372187956",20
"10841","ost4",-0.0694998670123815,0.857075316154936,NA,TRUE,"1",20
"10842","agbl5",0.0513910430034897,0.841581916214353,NA,TRUE,"1",20
"10843","LOC129350182",-340.116152679474,0.970398840226097,NA,TRUE,"1",20
"10844","bcl11bb",-0.45609313005303,0.0502429525149788,NA,FALSE,"0.971342189386492",20
"10845","ccnk",1.28577559971908,0.457978912939661,NA,TRUE,"0.971342189386492",20
"10846","ccdc85cb",0.277416028508334,0.22105560928781,NA,FALSE,"0.971342189386492",20
"10847","LOC111578258",-0.356219393834902,0.351130281079256,NA,FALSE,"0.971342189386492",20
"10848","ism2b",-3.68475955898904,0.467998072991024,NA,TRUE,"0.971342189386492",20
"10849","sptlc2b",-0.334601676821256,0.289073142960142,NA,FALSE,"0.971342189386492",20
"10850","snw1",0.16648288695026,0.64642153743705,NA,TRUE,"0.989111372187956",20
"10851","LOC118471281",-0.484799980500882,0.374871496194064,NA,FALSE,"0.971342189386492",20
"10852","LOC129350131",2.98830068281793,0.435855397981559,NA,TRUE,"0.971342189386492",20
"10853","LOC111582007",-0.192717669789317,0.200294961520063,NA,FALSE,"0.971342189386492",20
"10854","LOC111569119",-0.228366999364161,0.509346587002832,NA,FALSE,"0.973250871963574",20
"10855","tshr",-2.4573724232775,0.463993441606817,NA,TRUE,"0.971342189386492",20
"10856","gtf2a1",-0.243012266626164,0.555663832740048,NA,FALSE,"0.976642211925952",20
"10857","ches1",-0.232955198655542,0.0840555247470023,NA,TRUE,"0.971342189386492",20
"10858","LOC111566091",1.46168127341725,0.439595627641125,NA,TRUE,"0.971342189386492",20
"10859","LOC111566089",0.258011761188731,0.468147248326798,NA,TRUE,"0.971342189386492",20
"10860","LOC111566088",0.0216471789056187,0.859802166179037,NA,FALSE,"1",20
"10861","LOC111577553",-0.176600467947968,0.542706740684702,NA,FALSE,"0.973838582129297",20
"10862","LOC118471228",-5.7432521400567,0.289160953508357,NA,TRUE,"0.971342189386492",20
"10863","LOC111577551",0.162977662858835,0.576239024647791,NA,TRUE,"0.982274440003406",20
"10864","LOC111577552",0.108278975677801,0.806984123032516,NA,FALSE,"0.995987421672783",20
"10865","zgc:153383",-0.0796284538809265,0.841898275210403,NA,TRUE,"1",20
"10866","LOC129350162",0.645837839325141,0.337440608269304,NA,TRUE,"0.971342189386492",20
"10867","flrt2",-0.0605664811266161,0.813771958204755,NA,FALSE,"0.997196938050228",20
"10868","LOC118470282",-1.38803955306821,0.0663103493774045,NA,TRUE,"0.971342189386492",20
"10869","LOC111563596",-0.556658554744449,0.688050529094534,NA,TRUE,"0.989111372187956",20
"10870","LOC111563601",-2.45725815648444,0.466411485750674,NA,TRUE,"0.971342189386492",20
"10871","clmnb",-0.434623619713953,0.74528481195933,NA,TRUE,"0.989111372187956",20
"10872","prkrip1",0.336787722034392,0.38219987859137,NA,TRUE,"0.971342189386492",20
"10873","glrx5",-0.591164724768997,0.120152088402551,NA,TRUE,"0.971342189386492",20
"10874","ints9",0.319625009839469,0.427094843320364,NA,TRUE,"0.971342189386492",20
"10875","pla2g7",-0.686371681224362,0.175397427442323,NA,FALSE,"0.971342189386492",20
"10876","sf3b6",-0.0923643295452382,0.84646036525599,NA,TRUE,"1",20
"10877","vsnl1a",-0.064581986353694,0.661992220904555,NA,FALSE,"0.989111372187956",20
"10878","fam49a",-0.036934137133478,0.76067478820599,NA,TRUE,"0.991430820313529",20
"10879","fzd3a",-0.258893587560858,0.330131731175357,NA,TRUE,"0.971342189386492",20
"10880","cdc42bpab",0.132904688898903,0.315973487623024,NA,TRUE,"0.971342189386492",20
"10881","hnrnpub",-0.0828861304817151,0.632920030039109,NA,TRUE,"0.989111372187956",20
"10882","kif26bb",0.799091550129491,0.22751017383997,NA,FALSE,"0.971342189386492",20
"10883","LOC129350187",-0.611867377249238,0.337953673151333,NA,FALSE,"0.971342189386492",20
"10884","cnstb",0.0426931441522194,0.89010925498521,NA,FALSE,"1",20
"10885","LOC111572213",-0.0303705974962214,0.913160028188668,NA,FALSE,"1",20
"10886","snap25a",-0.102494474828451,0.385869379824237,NA,FALSE,"0.971342189386492",20
"10887","ankef1a",-12.0427978626259,0.311290644583436,NA,TRUE,"0.971342189386492",20
"10888","emilin1a",0.443916828057385,0.622883359970642,NA,TRUE,"0.989111372187956",20
"10889","stmn4",0.186067710613604,0.382940662173889,NA,FALSE,"0.971342189386492",20
"10890","il17a/f3",-0.0871263231827291,0.90415099160668,NA,FALSE,"1",20
"10891","mcm3",0.370922879441055,0.680106593640402,NA,TRUE,"0.989111372187956",20
"10892","paqr8",-0.434633805296912,0.744629202904501,NA,TRUE,"0.989111372187956",20
"10893","LOC129350188",3.02921475856563,0.436253757300433,NA,TRUE,"0.971342189386492",20
"10894","znf395b",-0.364989519612308,0.302960721669447,NA,TRUE,"0.971342189386492",20
"10895","pnocb",-0.489465967014248,0.394217222330489,NA,FALSE,"0.971342189386492",20
"10896","si:ch211-63o20.7",-0.0372269941574725,0.937406663598747,NA,TRUE,"1",20
"10897","LOC129350185",-11.9515095544618,0.463068747521293,NA,TRUE,"0.971342189386492",20
"10898","LOC111571030",-0.213335756397462,0.893555400787253,NA,FALSE,"1",20
"10899","LOC129350186",-1.09434280057692,0.526159754770084,NA,TRUE,"0.973250871963574",20
"10900","elp3",-0.0436979862953156,0.839220154201359,NA,TRUE,"0.99946464132773",20
"10901","LOC111562636",0.504677248585057,0.472960031342999,NA,FALSE,"0.971941947520607",20
"10902","LOC111571287",0.417085613624454,0.301490124322211,NA,FALSE,"0.971342189386492",20
"10903","hmbox1b",0.502377441214085,0.101483686162367,NA,TRUE,"0.971342189386492",20
"10904","disp1",-0.118794491133647,0.492394800689227,NA,TRUE,"0.973250871963574",20
"10905","LOC129350166",-4.04501562978073,0.304596576773894,NA,TRUE,"0.971342189386492",20
"10906","thbd",0.37686805995641,0.672587319577208,NA,TRUE,"0.989111372187956",20
"10907","LOC129350192",-0.829066386628183,0.351646010166743,NA,TRUE,"0.971342189386492",20
"10908","LOC111567873",-1.8260420180885,0.175024233124921,NA,FALSE,"0.971342189386492",20
"10909","brox",0.201445585517508,0.562720177059331,NA,FALSE,"0.97923035219888",20
"10910","LOC111567871",-1.8208605098382,0.1422597777238,NA,TRUE,"0.971342189386492",20
"10911","LOC111585390",7.04468365091119,0.391569691600993,NA,FALSE,"0.971342189386492",20
"10912","b4galt7",-0.00676005910684052,0.983530024041155,NA,TRUE,"1",20
"10913","tmed9",0.0245020314210477,0.929030055431598,NA,TRUE,"1",20
"10914","tmem216",0.0893903327185618,0.942548775702762,NA,TRUE,"1",20
"10915","LOC118470545",-17.4281105159623,0.431890526600655,NA,TRUE,"0.971342189386492",20
"10916","LOC111582719",-0.124345839308796,0.416392507635844,NA,FALSE,"0.971342189386492",20
"10917","LOC129350351",0.596081472596055,0.435947672575678,NA,TRUE,"0.971342189386492",20
"10918","LOC129350317",1.4616651798684,0.440372580481637,NA,TRUE,"0.971342189386492",20
"10919","LOC111563099",1.99218634478568,0.428248011735926,NA,TRUE,"0.971342189386492",20
"10920","trappc11",-0.103919572007209,0.710925999846682,NA,TRUE,"0.989111372187956",20
"10921","rell2",-0.11944462085273,0.805380548895753,NA,FALSE,"0.995901512486267",20
"10922","LOC111573626",0.150306685011813,0.555252839502265,NA,TRUE,"0.976642211925952",20
"10923","mmp17b",2.05369753685329,0.259284165997672,NA,TRUE,"0.971342189386492",20
"10924","zgc:154054",0.620863123094727,0.418500662783981,NA,TRUE,"0.971342189386492",20
